datetime,value
2026-02-23T00:00:54,80.43
2026-02-23T00:01:54,80.49
2026-02-23T00:02:55,80.51
2026-02-23T00:03:55,80.47
2026-02-23T00:04:55,80.58
2026-02-23T00:05:54,80.73
2026-02-23T00:06:55,80.72
2026-02-23T00:07:55,80.57
2026-02-23T00:08:55,80.67
2026-02-23T00:09:55,80.69
2026-02-23T00:10:55,80.76
2026-02-23T00:11:55,80.82
2026-02-23T00:12:55,80.82
2026-02-23T00:13:55,80.81
2026-02-23T00:14:55,80.93
2026-02-23T00:15:55,81
2026-02-23T00:16:55,81.1
2026-02-23T00:17:55,81.26
2026-02-23T00:18:56,81.34
2026-02-23T00:19:55,81.41
2026-02-23T00:20:55,81.34
2026-02-23T00:21:56,81.34
2026-02-23T00:22:56,81.34
2026-02-23T00:23:56,81.3
2026-02-23T00:24:56,81.3
2026-02-23T00:25:56,81.33
2026-02-23T00:26:56,81.41
2026-02-23T00:27:56,81.55
2026-02-23T00:28:56,81.56
2026-02-23T00:29:56,81.64
2026-02-23T00:30:56,81.67
2026-02-23T00:31:56,81.7
2026-02-23T00:32:56,81.73
2026-02-23T00:33:56,81.8
2026-02-23T00:34:56,81.79
2026-02-23T00:35:56,81.89
2026-02-23T00:36:57,81.9
2026-02-23T00:37:56,81.87
2026-02-23T00:38:56,81.76
2026-02-23T00:39:56,81.75
2026-02-23T00:40:57,81.7
2026-02-23T00:41:57,81.68
2026-02-23T00:42:57,81.64
2026-02-23T00:43:57,81.5
2026-02-23T00:44:57,81.45
2026-02-23T00:45:57,81.3
2026-02-23T00:46:57,81.17
2026-02-23T00:47:57,81.19
2026-02-23T00:48:57,81.26
2026-02-23T00:49:57,81.21
2026-02-23T00:50:57,81.21
2026-02-23T00:51:57,81.06
2026-02-23T00:52:57,81.03
2026-02-23T00:53:57,80.96
2026-02-23T00:54:57,81.1
2026-02-23T00:55:57,80.84
2026-02-23T00:56:58,80.79
2026-02-23T00:57:58,80.48
2026-02-23T00:58:58,80.34
2026-02-23T00:59:58,80.13
2026-02-23T01:00:58,79.81
2026-02-23T01:01:58,79.68
2026-02-23T01:02:58,79.49
2026-02-23T01:03:58,79.32
2026-02-23T01:04:58,79.31
2026-02-23T01:05:58,79.13
2026-02-23T01:06:58,79.07
2026-02-23T01:07:58,79.17
2026-02-23T01:08:58,79.24
2026-02-23T01:09:58,79.06
2026-02-23T01:10:58,79.24
2026-02-23T01:11:59,79.36
2026-02-23T01:12:58,79.47
2026-02-23T01:13:58,79.56
2026-02-23T01:14:58,79.64
2026-02-23T01:15:59,79.85
2026-02-23T01:16:59,79.93
2026-02-23T01:17:59,80.03
2026-02-23T01:18:59,80.09
2026-02-23T01:19:59,80.11
2026-02-23T01:20:59,80.12
2026-02-23T01:21:59,80.18
2026-02-23T01:22:59,80.01
2026-02-23T01:23:59,79.85
2026-02-23T01:24:59,79.99
2026-02-23T01:25:59,80.02
2026-02-23T01:26:59,79.98
2026-02-23T01:27:59,80.09
2026-02-23T01:28:59,80.12
2026-02-23T01:29:59,80.26
2026-02-23T01:30:59,80.34
2026-02-23T01:32:00,80.42
2026-02-23T01:33:00,80.37
2026-02-23T01:34:00,80.18
2026-02-23T01:34:59,79.96
2026-02-23T01:36:00,80.03
2026-02-23T01:37:00,80.16
