timestamp_local,value
2026-01-30T00:00:04,58
2026-01-30T00:01:04,57
2026-01-30T00:02:04,56
2026-01-30T00:03:04,58
2026-01-30T00:04:04,58
2026-01-30T00:05:04,57
2026-01-30T00:06:05,56
2026-01-30T00:07:04,56
2026-01-30T00:08:04,54
2026-01-30T00:09:04,62
2026-01-30T00:10:05,58
2026-01-30T00:11:05,65
2026-01-30T00:12:05,60
2026-01-30T00:13:05,58
2026-01-30T00:14:05,61
2026-01-30T00:15:05,60
2026-01-30T00:16:05,54
2026-01-30T00:17:05,61
2026-01-30T00:18:05,57
2026-01-30T00:19:05,65
2026-01-30T00:20:05,55
2026-01-30T00:21:05,54
2026-01-30T00:22:06,56
2026-01-30T00:23:05,57
2026-01-30T00:24:05,52
2026-01-30T00:25:05,63
2026-01-30T00:26:06,63
2026-01-30T00:27:06,62
2026-01-30T00:28:06,58
2026-01-30T00:29:06,62
2026-01-30T00:30:06,56
2026-01-30T00:31:06,67
2026-01-30T00:32:06,60
2026-01-30T00:33:06,59
2026-01-30T00:34:06,53
2026-01-30T00:35:06,61
2026-01-30T00:36:06,57
2026-01-30T00:37:06,58
2026-01-30T00:38:06,62
2026-01-30T00:39:06,62
2026-01-30T00:40:06,62
2026-01-30T00:41:06,62
2026-01-30T00:42:07,57
2026-01-30T00:43:07,57
2026-01-30T00:44:06,55
2026-01-30T00:45:06,65
2026-01-30T00:46:07,62
2026-01-30T00:47:07,61
2026-01-30T00:48:07,62
2026-01-30T00:49:07,65
2026-01-30T00:50:07,63
2026-01-30T00:51:07,57
2026-01-30T00:52:07,65
2026-01-30T00:53:07,65
2026-01-30T00:54:07,67
2026-01-30T00:55:07,65
2026-01-30T00:56:07,64
2026-01-30T00:57:07,63
2026-01-30T00:58:07,64
2026-01-30T00:59:07,61
2026-01-30T01:00:07,69
2026-01-30T01:01:08,67
2026-01-30T01:02:08,66
2026-01-30T01:03:08,62
2026-01-30T01:04:08,61
2026-01-30T01:05:08,72
2026-01-30T01:06:08,67
2026-01-30T01:07:08,62
2026-01-30T01:08:08,62
2026-01-30T01:09:08,70
2026-01-30T01:10:08,69
2026-01-30T01:11:08,62
2026-01-30T01:12:08,62
2026-01-30T01:13:08,69
2026-01-30T01:14:08,61
2026-01-30T01:15:08,65
2026-01-30T01:16:08,66
2026-01-30T01:17:08,65
2026-01-30T01:18:08,66
2026-01-30T01:19:08,70
2026-01-30T01:20:09,69
2026-01-30T01:21:09,71
2026-01-30T01:22:09,65
2026-01-30T01:23:09,64
2026-01-30T01:24:09,65
2026-01-30T01:25:09,65
2026-01-30T01:26:09,62
2026-01-30T01:27:09,69
2026-01-30T01:28:09,66
2026-01-30T01:29:09,65
2026-01-30T01:30:09,66
2026-01-30T01:31:09,64
2026-01-30T01:32:09,62
2026-01-30T01:33:09,60
2026-01-30T01:34:09,63
2026-01-30T01:35:09,63
2026-01-30T01:36:10,66
2026-01-30T01:37:10,66
2026-01-30T01:38:09,58
2026-01-30T01:39:10,67
2026-01-30T01:40:10,67
2026-01-30T01:41:10,68
2026-01-30T01:42:10,65
2026-01-30T01:43:10,70
2026-01-30T01:44:10,66
2026-01-30T01:45:10,69
2026-01-30T01:46:10,70
2026-01-30T01:47:10,64
2026-01-30T01:48:10,67
2026-01-30T01:49:10,67
2026-01-30T01:50:10,64
2026-01-30T01:51:10,73
2026-01-30T01:52:10,67
2026-01-30T01:53:10,69
2026-01-30T01:54:10,65
2026-01-30T01:55:11,66
2026-01-30T01:56:11,67
2026-01-30T01:57:11,69
2026-01-30T01:58:10,69
2026-01-30T01:59:11,65
2026-01-30T02:00:11,73
2026-01-30T02:01:11,69
2026-01-30T02:02:11,67
2026-01-30T02:03:11,64
2026-01-30T02:04:11,73
2026-01-30T02:05:11,73
2026-01-30T02:06:11,72
2026-01-30T02:07:11,69
2026-01-30T02:08:11,71
2026-01-30T02:09:11,71
2026-01-30T02:10:11,68
2026-01-30T02:11:12,70
2026-01-30T02:12:12,65
2026-01-30T02:13:11,70
2026-01-30T02:14:12,69
2026-01-30T02:15:12,62
2026-01-30T02:16:12,73
2026-01-30T02:17:12,65
2026-01-30T02:18:12,67
2026-01-30T02:19:12,71
2026-01-30T02:20:12,73
2026-01-30T02:21:12,65
2026-01-30T02:22:12,71
2026-01-30T02:23:12,69
2026-01-30T02:24:12,64
2026-01-30T02:25:12,69
2026-01-30T02:26:12,67
2026-01-30T02:27:12,71
2026-01-30T02:28:12,73
2026-01-30T02:29:12,71
2026-01-30T02:30:13,71
2026-01-30T02:31:13,72
2026-01-30T02:32:12,67
2026-01-30T02:33:12,69
2026-01-30T02:34:13,70
2026-01-30T02:35:13,66
2026-01-30T02:36:13,70
2026-01-30T02:37:13,67
2026-01-30T02:38:13,73
2026-01-30T02:39:13,66
2026-01-30T02:40:13,71
2026-01-30T02:41:13,66
2026-01-30T02:42:13,72
2026-01-30T02:43:13,68
2026-01-30T02:44:13,69
2026-01-30T02:45:13,69
2026-01-30T02:46:14,69
2026-01-30T02:47:14,67
2026-01-30T02:48:13,69
2026-01-30T02:49:14,74
2026-01-30T02:50:14,71
2026-01-30T02:51:14,67
2026-01-30T02:52:14,69
2026-01-30T02:53:14,74
2026-01-30T02:54:14,73
2026-01-30T02:55:14,78
2026-01-30T02:56:14,74
2026-01-30T02:57:14,76
2026-01-30T02:58:14,73
2026-01-30T02:59:14,73
2026-01-30T03:00:14,75
2026-01-30T03:01:14,73
2026-01-30T03:02:14,73
2026-01-30T03:03:14,75
2026-01-30T03:04:14,75
2026-01-30T03:05:15,69
2026-01-30T03:06:15,71
2026-01-30T03:07:15,69
2026-01-30T03:08:14,68
2026-01-30T03:09:15,73
2026-01-30T03:10:15,68
2026-01-30T03:11:15,72
2026-01-30T03:12:15,72
2026-01-30T03:13:15,67
2026-01-30T03:14:15,66
2026-01-30T03:15:15,66
2026-01-30T03:16:15,66
2026-01-30T03:17:15,61
2026-01-30T03:18:15,67
2026-01-30T03:19:15,70
2026-01-30T03:20:15,64
2026-01-30T03:21:16,67
2026-01-30T03:22:15,62
2026-01-30T03:23:15,62
2026-01-30T03:24:16,66
2026-01-30T03:25:16,64
2026-01-30T03:26:16,66
2026-01-30T03:27:16,62
2026-01-30T03:28:16,67
2026-01-30T03:29:16,69
2026-01-30T03:30:16,67
2026-01-30T03:31:16,64
2026-01-30T03:32:16,63
2026-01-30T03:33:16,69
2026-01-30T03:34:16,62
2026-01-30T03:35:16,62
2026-01-30T03:36:16,62
2026-01-30T03:37:16,60
2026-01-30T03:38:16,67
2026-01-30T03:39:16,72
2026-01-30T03:40:17,63
2026-01-30T03:41:16,56
2026-01-30T03:42:16,67
2026-01-30T03:43:17,60
2026-01-30T03:44:17,62
2026-01-30T03:45:17,62
2026-01-30T03:46:17,61
2026-01-30T03:47:17,63
2026-01-30T03:48:17,62
2026-01-30T03:49:17,66
2026-01-30T03:50:17,65
2026-01-30T03:51:17,61
2026-01-30T03:52:17,62
2026-01-30T03:53:17,59
2026-01-30T03:54:17,58
2026-01-30T03:55:17,65
2026-01-30T03:56:17,61
2026-01-30T03:57:17,62
2026-01-30T03:58:18,54
2026-01-30T03:59:18,58
2026-01-30T04:00:18,52
2026-01-30T04:01:18,57
2026-01-30T04:02:18,56
2026-01-30T04:03:18,60
2026-01-30T04:04:18,56
2026-01-30T04:05:18,61
2026-01-30T04:06:18,60
2026-01-30T04:07:18,61
2026-01-30T04:08:18,58
2026-01-30T04:09:18,54
2026-01-30T04:10:18,58
2026-01-30T04:11:18,53
2026-01-30T04:12:18,56
2026-01-30T04:13:18,60
2026-01-30T04:14:19,57
2026-01-30T04:15:19,54
2026-01-30T04:16:19,60
2026-01-30T04:17:18,58
2026-01-30T04:18:18,54
2026-01-30T04:19:19,54
2026-01-30T04:20:19,53
2026-01-30T04:21:19,54
2026-01-30T04:22:19,64
2026-01-30T04:23:19,60
2026-01-30T04:24:19,54
2026-01-30T04:25:19,52
2026-01-30T04:26:19,62
2026-01-30T04:27:19,56
2026-01-30T04:28:19,58
2026-01-30T04:29:19,56
2026-01-30T04:30:19,57
2026-01-30T04:31:19,54
2026-01-30T04:32:19,54
2026-01-30T04:33:19,55
2026-01-30T04:34:20,54
2026-01-30T04:35:20,58
2026-01-30T04:36:20,53
2026-01-30T04:37:20,50
2026-01-30T04:38:20,53
2026-01-30T04:39:20,50
2026-01-30T04:40:20,49
2026-01-30T04:41:20,57
2026-01-30T04:42:20,52
2026-01-30T04:43:20,52
2026-01-30T04:44:20,54
2026-01-30T04:45:20,51
2026-01-30T04:46:20,53
2026-01-30T04:47:20,49
2026-01-30T04:48:20,53
2026-01-30T04:49:21,54
2026-01-30T04:50:21,60
2026-01-30T04:51:21,52
2026-01-30T04:52:20,52
2026-01-30T04:53:21,52
2026-01-30T04:54:21,50
2026-01-30T04:55:21,52
2026-01-30T04:56:21,52
2026-01-30T04:57:21,52
2026-01-30T04:58:21,52
2026-01-30T04:59:21,50
2026-01-30T05:00:21,52
2026-01-30T05:01:21,53
2026-01-30T05:02:21,56
2026-01-30T05:03:21,53
2026-01-30T05:04:21,52
2026-01-30T05:05:21,54
2026-01-30T05:06:21,56
2026-01-30T05:07:21,49
2026-01-30T05:08:22,52
2026-01-30T05:09:22,56
2026-01-30T05:10:21,48
2026-01-30T05:11:22,47
2026-01-30T05:12:22,48
2026-01-30T05:13:22,52
2026-01-30T05:14:22,52
2026-01-30T05:15:22,54
2026-01-30T05:16:22,50
2026-01-30T05:17:22,53
2026-01-30T05:18:22,52
2026-01-30T05:19:22,52
2026-01-30T05:20:22,48
2026-01-30T05:21:22,58
2026-01-30T05:22:22,57
2026-01-30T05:23:23,49
2026-01-30T05:24:23,53
2026-01-30T05:25:22,53
2026-01-30T05:26:22,51
2026-01-30T05:27:23,50
2026-01-30T05:28:23,53
2026-01-30T05:29:23,47
2026-01-30T05:30:23,45
2026-01-30T05:31:23,50
2026-01-30T05:32:23,45
2026-01-30T05:33:23,47
2026-01-30T05:34:23,52
2026-01-30T05:35:23,52
2026-01-30T05:36:23,48
2026-01-30T05:37:23,53
2026-01-30T05:38:23,49
2026-01-30T05:39:23,52
2026-01-30T05:40:23,45
2026-01-30T05:41:23,53
2026-01-30T05:42:24,47
2026-01-30T05:43:24,48
2026-01-30T05:44:24,50
2026-01-30T05:45:24,48
2026-01-30T05:46:24,52
2026-01-30T05:47:24,53
2026-01-30T05:48:24,55
2026-01-30T05:49:24,57
2026-01-30T05:50:24,67
2026-01-30T05:51:24,55
2026-01-30T05:52:24,54
2026-01-30T05:53:24,51
2026-01-30T05:54:24,53
2026-01-30T05:55:24,54
2026-01-30T05:56:24,50
2026-01-30T05:57:24,58
2026-01-30T05:58:25,53
2026-01-30T05:59:25,57
2026-01-30T06:00:24,52
2026-01-30T06:01:25,48
2026-01-30T06:02:25,53
2026-01-30T06:03:25,48
2026-01-30T06:04:25,48
2026-01-30T06:05:25,53
2026-01-30T06:06:25,49
2026-01-30T06:07:25,51
2026-01-30T06:08:25,54
2026-01-30T06:09:25,54
2026-01-30T06:10:25,53
2026-01-30T06:11:25,53
2026-01-30T06:12:25,58
2026-01-30T06:13:25,52
2026-01-30T06:14:26,47
2026-01-30T06:15:25,54
2026-01-30T06:16:25,59
2026-01-30T06:17:26,53
2026-01-30T06:18:26,47
2026-01-30T06:19:26,51
2026-01-30T06:20:26,48
2026-01-30T06:21:26,51
2026-01-30T06:22:26,56
2026-01-30T06:23:26,56
2026-01-30T06:24:26,52
2026-01-30T06:25:26,52
2026-01-30T06:26:26,48
2026-01-30T06:27:26,56
2026-01-30T06:28:26,57
2026-01-30T06:29:26,49
2026-01-30T06:30:26,53
2026-01-30T06:31:26,62
2026-01-30T06:32:27,54
2026-01-30T06:33:26,48
2026-01-30T06:34:26,55
2026-01-30T06:35:26,49
2026-01-30T06:36:27,53
2026-01-30T06:37:27,52
2026-01-30T06:38:27,49
