datetime,value
2026-01-30T00:00:04,25.39
2026-01-30T00:01:04,25.39
2026-01-30T00:02:04,25.42
2026-01-30T00:03:04,25.36
2026-01-30T00:04:04,25.33
2026-01-30T00:05:04,25.28
2026-01-30T00:06:04,25.22
2026-01-30T00:07:04,25.21
2026-01-30T00:08:04,25.18
2026-01-30T00:09:04,25.18
2026-01-30T00:10:04,25.16
2026-01-30T00:11:04,25.22
2026-01-30T00:12:04,25.22
2026-01-30T00:13:05,25.21
2026-01-30T00:14:04,25.18
2026-01-30T00:15:04,25.14
2026-01-30T00:16:04,25.09
2026-01-30T00:17:05,25.08
2026-01-30T00:18:05,25.02
2026-01-30T00:19:05,24.99
2026-01-30T00:20:05,24.95
2026-01-30T00:21:05,24.88
2026-01-30T00:22:05,24.82
2026-01-30T00:23:05,24.75
2026-01-30T00:24:05,24.71
2026-01-30T00:25:05,24.68
2026-01-30T00:26:05,24.66
2026-01-30T00:27:05,24.64
2026-01-30T00:28:05,24.6
2026-01-30T00:29:06,24.62
2026-01-30T00:30:05,24.59
2026-01-30T00:31:05,24.59
2026-01-30T00:32:05,24.53
2026-01-30T00:33:06,24.53
2026-01-30T00:34:06,24.52
2026-01-30T00:35:06,24.52
2026-01-30T00:36:06,24.53
2026-01-30T00:37:06,24.53
2026-01-30T00:38:06,24.53
2026-01-30T00:39:06,24.53
2026-01-30T00:40:06,24.5
2026-01-30T00:41:06,24.5
2026-01-30T00:42:06,24.44
2026-01-30T00:43:06,24.46
2026-01-30T00:44:06,24.44
2026-01-30T00:45:06,24.42
2026-01-30T00:46:06,24.39
2026-01-30T00:47:06,24.35
2026-01-30T00:48:06,24.37
2026-01-30T00:49:07,24.36
2026-01-30T00:50:06,24.35
2026-01-30T00:51:06,24.37
2026-01-30T00:52:07,24.33
2026-01-30T00:53:07,24.36
2026-01-30T00:54:07,24.37
2026-01-30T00:55:07,24.39
2026-01-30T00:56:07,24.37
2026-01-30T00:57:07,24.37
2026-01-30T00:58:07,24.39
2026-01-30T00:59:07,24.39
2026-01-30T01:00:07,24.4
2026-01-30T01:01:07,24.4
2026-01-30T01:02:07,24.4
2026-01-30T01:03:07,24.37
2026-01-30T01:04:07,24.37
2026-01-30T01:05:07,24.33
2026-01-30T01:06:07,24.33
2026-01-30T01:07:08,24.32
2026-01-30T01:08:08,24.29
2026-01-30T01:09:08,24.26
2026-01-30T01:10:07,24.22
2026-01-30T01:11:08,24.18
2026-01-30T01:12:08,24.15
2026-01-30T01:13:08,24.13
2026-01-30T01:14:08,24.11
2026-01-30T01:15:08,24.04
2026-01-30T01:16:08,24.02
2026-01-30T01:17:08,23.95
2026-01-30T01:18:08,23.94
2026-01-30T01:19:08,23.94
2026-01-30T01:20:08,23.94
2026-01-30T01:21:08,23.97
2026-01-30T01:22:08,24.01
2026-01-30T01:23:09,24.05
2026-01-30T01:24:08,24.08
2026-01-30T01:25:08,24.07
2026-01-30T01:26:08,24.08
2026-01-30T01:27:09,24.09
2026-01-30T01:28:09,24.07
2026-01-30T01:29:09,24.07
2026-01-30T01:30:09,24.09
2026-01-30T01:31:09,24.11
2026-01-30T01:32:09,24.11
2026-01-30T01:33:09,24.08
2026-01-30T01:34:09,24.01
2026-01-30T01:35:09,23.94
2026-01-30T01:36:09,23.89
2026-01-30T01:37:09,23.84
2026-01-30T01:38:09,23.81
2026-01-30T01:39:09,23.84
2026-01-30T01:40:09,23.89
2026-01-30T01:41:09,23.92
2026-01-30T01:42:09,23.98
2026-01-30T01:43:10,24.01
2026-01-30T01:44:10,24.07
2026-01-30T01:45:09,24.08
2026-01-30T01:46:10,24.07
2026-01-30T01:47:10,24.12
2026-01-30T01:48:10,24.11
2026-01-30T01:49:10,24.15
2026-01-30T01:50:10,24.15
2026-01-30T01:51:10,24.13
2026-01-30T01:52:10,24.18
2026-01-30T01:53:10,24.18
2026-01-30T01:54:10,24.22
2026-01-30T01:55:10,24.19
2026-01-30T01:56:10,24.2
2026-01-30T01:57:10,24.2
2026-01-30T01:58:10,24.2
2026-01-30T01:59:10,24.2
2026-01-30T02:00:10,24.2
2026-01-30T02:01:11,24.22
2026-01-30T02:02:11,24.19
2026-01-30T02:03:11,24.2
2026-01-30T02:04:11,24.2
2026-01-30T02:05:11,24.22
2026-01-30T02:06:11,24.19
