datetime,value
2026-02-23T00:00:54,0
2026-02-23T00:01:55,315
2026-02-23T00:02:55,315
2026-02-23T00:03:55,0
2026-02-23T00:04:55,315
2026-02-23T00:05:55,315
2026-02-23T00:06:55,0
2026-02-23T00:07:55,270
2026-02-23T00:08:55,0
2026-02-23T00:09:55,315
2026-02-23T00:10:55,315
2026-02-23T00:11:55,67.5
2026-02-23T00:12:55,315
2026-02-23T00:13:55,315
2026-02-23T00:14:55,315
2026-02-23T00:15:55,270
2026-02-23T00:16:55,315
2026-02-23T00:17:56,315
2026-02-23T00:18:56,0
2026-02-23T00:19:55,315
2026-02-23T00:20:56,315
2026-02-23T00:21:56,315
2026-02-23T00:22:56,270
2026-02-23T00:23:56,315
2026-02-23T00:24:56,270
2026-02-23T00:25:56,315
2026-02-23T00:26:56,315
2026-02-23T00:27:56,0
2026-02-23T00:28:56,315
2026-02-23T00:29:56,0
2026-02-23T00:30:56,315
2026-02-23T00:31:56,315
2026-02-23T00:32:56,315
2026-02-23T00:33:56,315
2026-02-23T00:34:56,337.5
2026-02-23T00:35:57,0
2026-02-23T00:36:57,315
2026-02-23T00:37:56,225
2026-02-23T00:38:56,315
2026-02-23T00:39:57,315
2026-02-23T00:40:57,0
2026-02-23T00:41:57,0
2026-02-23T00:42:57,0
2026-02-23T00:43:57,0
2026-02-23T00:44:57,0
2026-02-23T00:45:57,0
2026-02-23T00:46:57,22.5
2026-02-23T00:47:57,270
2026-02-23T00:48:57,0
2026-02-23T00:49:57,315
2026-02-23T00:50:57,315
2026-02-23T00:51:58,315
2026-02-23T00:52:57,315
2026-02-23T00:53:57,0
2026-02-23T00:54:57,337.5
2026-02-23T00:55:58,0
2026-02-23T00:56:58,0
2026-02-23T00:57:58,315
2026-02-23T00:58:58,315
2026-02-23T00:59:58,315
2026-02-23T01:00:58,315
2026-02-23T01:01:58,315
2026-02-23T01:02:58,135
2026-02-23T01:03:58,0
2026-02-23T01:04:58,0
2026-02-23T01:05:58,0
2026-02-23T01:06:58,0
2026-02-23T01:07:58,225
2026-02-23T01:08:58,225
2026-02-23T01:09:58,0
2026-02-23T01:10:58,0
2026-02-23T01:11:59,0
2026-02-23T01:12:58,337.5
2026-02-23T01:13:58,135
2026-02-23T01:14:59,135
2026-02-23T01:15:59,135
2026-02-23T01:16:59,135
2026-02-23T01:17:59,225
2026-02-23T01:18:59,225
2026-02-23T01:19:59,225
2026-02-23T01:20:59,225
2026-02-23T01:21:59,225
2026-02-23T01:22:59,225
2026-02-23T01:23:59,225
2026-02-23T01:24:59,225
2026-02-23T01:25:59,225
2026-02-23T01:27:00,225
2026-02-23T01:27:59,225
2026-02-23T01:28:59,45
2026-02-23T01:29:59,45
2026-02-23T01:31:00,135
2026-02-23T01:32:00,135
2026-02-23T01:33:00,135
2026-02-23T01:34:00,135
2026-02-23T01:35:00,135
