datetime,value
2026-02-23T00:00:36,66.05
2026-02-23T00:01:36,66.16
2026-02-23T00:02:36,66.27
2026-02-23T00:03:36,66.41
2026-02-23T00:04:36,66.54
2026-02-23T00:05:36,66.68
2026-02-23T00:06:36,66.83
2026-02-23T00:07:36,66.93
2026-02-23T00:08:36,67.06
2026-02-23T00:09:36,67.12
2026-02-23T00:10:36,67.11
2026-02-23T00:11:36,66.81
2026-02-23T00:12:36,66.78
2026-02-23T00:13:36,66.86
2026-02-23T00:14:36,66.95
2026-02-23T00:15:36,66.7
2026-02-23T00:16:36,66.55
2026-02-23T00:17:36,66.38
2026-02-23T00:18:36,66.26
2026-02-23T00:19:37,66.13
2026-02-23T00:20:37,65.92
2026-02-23T00:21:37,65.79
2026-02-23T00:22:37,65.81
2026-02-23T00:23:37,65.88
2026-02-23T00:24:37,66.04
2026-02-23T00:25:37,66.14
2026-02-23T00:26:37,66.34
2026-02-23T00:27:37,66.2
2026-02-23T00:28:37,66.38
2026-02-23T00:29:37,66.92
2026-02-23T00:30:37,66.83
2026-02-23T00:31:37,67.19
2026-02-23T00:32:37,67.41
2026-02-23T00:33:37,67.26
2026-02-23T00:34:37,67.62
2026-02-23T00:35:37,67.15
2026-02-23T00:36:38,67.32
2026-02-23T00:37:37,67.23
2026-02-23T00:38:38,67.09
2026-02-23T00:39:38,67.28
2026-02-23T00:40:37,67.25
2026-02-23T00:41:38,67.22
2026-02-23T00:42:37,67.45
2026-02-23T00:43:38,67.27
2026-02-23T00:44:38,67.19
2026-02-23T00:45:38,67.5
2026-02-23T00:46:38,67.75
2026-02-23T00:47:38,67.9
2026-02-23T00:48:38,68.04
2026-02-23T00:49:38,68.1
2026-02-23T00:50:38,67.77
2026-02-23T00:51:38,67.5
2026-02-23T00:52:38,67.38
2026-02-23T00:53:38,67.38
2026-02-23T00:54:39,67.35
2026-02-23T00:55:38,67.44
2026-02-23T00:56:39,67.43
2026-02-23T00:57:38,67.61
2026-02-23T00:58:39,67.53
2026-02-23T00:59:39,67.4
2026-02-23T01:00:39,67.62
2026-02-23T01:01:39,67.88
2026-02-23T01:02:39,68.07
2026-02-23T01:03:39,68.17
2026-02-23T01:04:39,68.21
2026-02-23T01:05:39,67.9
2026-02-23T01:06:39,67.58
2026-02-23T01:07:39,67.47
2026-02-23T01:08:39,67.66
2026-02-23T01:09:39,67.87
2026-02-23T01:10:39,67.93
2026-02-23T01:11:39,67.99
2026-02-23T01:12:39,67.96
2026-02-23T01:13:39,67.81
2026-02-23T01:14:39,67.56
2026-02-23T01:15:39,67.51
2026-02-23T01:16:39,67.52
2026-02-23T01:17:39,67.45
2026-02-23T01:18:39,67.53
2026-02-23T01:19:40,67.37
2026-02-23T01:20:39,67.6
2026-02-23T01:21:40,67.79
