datetime,value
2026-02-23T00:00:36,37
2026-02-23T00:01:36,43
2026-02-23T00:02:36,43
2026-02-23T00:03:36,36
2026-02-23T00:04:36,42
2026-02-23T00:05:36,40
2026-02-23T00:06:36,40
2026-02-23T00:07:37,39
2026-02-23T00:08:36,47
2026-02-23T00:09:37,41
2026-02-23T00:10:36,30
2026-02-23T00:11:37,42
2026-02-23T00:12:36,42
2026-02-23T00:13:37,39
2026-02-23T00:14:37,38
2026-02-23T00:15:37,40
2026-02-23T00:16:37,43
2026-02-23T00:17:37,41
2026-02-23T00:18:37,42
2026-02-23T00:19:37,42
2026-02-23T00:20:37,43
2026-02-23T00:21:37,39
2026-02-23T00:22:37,39
2026-02-23T00:23:37,40
2026-02-23T00:24:37,39
2026-02-23T00:25:37,43
2026-02-23T00:26:37,46
2026-02-23T00:27:37,37
2026-02-23T00:28:37,42
2026-02-23T00:29:37,47
2026-02-23T00:30:37,46
2026-02-23T00:31:38,52
2026-02-23T00:32:37,48
2026-02-23T00:33:38,42
2026-02-23T00:34:38,46
2026-02-23T00:35:38,39
2026-02-23T00:36:38,45
2026-02-23T00:37:38,43
2026-02-23T00:38:38,39
2026-02-23T00:39:38,48
2026-02-23T00:40:38,36
2026-02-23T00:41:38,43
2026-02-23T00:42:38,45
2026-02-23T00:43:38,39
2026-02-23T00:44:38,46
2026-02-23T00:45:38,47
2026-02-23T00:46:38,47
2026-02-23T00:47:38,45
2026-02-23T00:48:38,40
2026-02-23T00:49:39,40
2026-02-23T00:50:38,33
2026-02-23T00:51:39,36
2026-02-23T00:52:38,38
2026-02-23T00:53:39,39
2026-02-23T00:54:39,47
2026-02-23T00:55:39,45
2026-02-23T00:56:39,42
2026-02-23T00:57:39,40
2026-02-23T00:58:39,48
2026-02-23T00:59:39,52
2026-02-23T01:00:39,40
2026-02-23T01:01:39,42
2026-02-23T01:02:39,42
2026-02-23T01:03:39,40
2026-02-23T01:04:39,37
2026-02-23T01:05:39,42
2026-02-23T01:06:39,37
2026-02-23T01:07:39,40
2026-02-23T01:08:39,39
2026-02-23T01:09:39,48
2026-02-23T01:10:39,46
2026-02-23T01:11:40,39
2026-02-23T01:12:40,49
2026-02-23T01:13:40,45
2026-02-23T01:14:39,42
2026-02-23T01:15:40,45
2026-02-23T01:16:40,47
2026-02-23T01:17:40,45
2026-02-23T01:18:40,45
2026-02-23T01:19:40,48
2026-02-23T01:20:40,47
2026-02-23T01:21:40,36
2026-02-23T01:22:40,45
2026-02-23T01:23:40,45
2026-02-23T01:24:40,45
2026-02-23T01:25:40,38
2026-02-23T01:26:40,49
2026-02-23T01:27:40,46
2026-02-23T01:28:40,42
