datetime,value
2026-02-23T00:00:36,26.88
2026-02-23T00:01:36,26.88
2026-02-23T00:02:36,26.84
2026-02-23T00:03:36,26.84
2026-02-23T00:04:36,26.78
2026-02-23T00:05:36,26.74
2026-02-23T00:06:36,26.73
2026-02-23T00:07:36,26.67
2026-02-23T00:08:36,26.67
2026-02-23T00:09:36,26.66
2026-02-23T00:10:36,26.64
2026-02-23T00:11:36,26.69
2026-02-23T00:12:36,26.77
2026-02-23T00:13:36,26.74
2026-02-23T00:14:36,26.69
2026-02-23T00:15:36,26.77
2026-02-23T00:16:36,26.86
2026-02-23T00:17:36,26.9
2026-02-23T00:18:36,26.94
2026-02-23T00:19:36,26.97
2026-02-23T00:20:37,27.05
2026-02-23T00:21:37,27.09
2026-02-23T00:22:37,27.06
2026-02-23T00:23:36,27.06
2026-02-23T00:24:37,27.06
2026-02-23T00:25:37,27.02
2026-02-23T00:26:37,26.97
2026-02-23T00:27:37,26.98
2026-02-23T00:28:37,26.99
2026-02-23T00:29:37,26.91
2026-02-23T00:30:37,26.8
2026-02-23T00:31:37,26.91
2026-02-23T00:32:37,26.83
2026-02-23T00:33:37,26.78
2026-02-23T00:34:37,26.8
2026-02-23T00:35:37,26.8
2026-02-23T00:36:37,26.86
2026-02-23T00:37:37,26.81
2026-02-23T00:38:37,26.88
2026-02-23T00:39:38,26.94
2026-02-23T00:40:37,26.93
2026-02-23T00:41:38,26.93
2026-02-23T00:42:37,26.95
2026-02-23T00:43:38,26.94
2026-02-23T00:44:38,26.98
2026-02-23T00:45:38,26.95
2026-02-23T00:46:38,26.93
2026-02-23T00:47:38,26.87
2026-02-23T00:48:38,26.81
2026-02-23T00:49:38,26.76
2026-02-23T00:50:38,26.83
2026-02-23T00:51:38,26.9
2026-02-23T00:52:38,26.99
2026-02-23T00:53:38,27.05
2026-02-23T00:54:38,27.04
2026-02-23T00:55:38,26.99
2026-02-23T00:56:38,26.99
2026-02-23T00:57:38,26.93
2026-02-23T00:58:38,26.93
2026-02-23T00:59:39,26.94
2026-02-23T01:00:38,26.94
2026-02-23T01:01:39,26.86
2026-02-23T01:02:38,26.77
2026-02-23T01:03:39,26.71
2026-02-23T01:04:39,26.71
2026-02-23T01:05:39,26.77
2026-02-23T01:06:39,26.88
2026-02-23T01:07:39,26.95
2026-02-23T01:08:39,26.91
2026-02-23T01:09:39,26.86
2026-02-23T01:10:39,26.83
2026-02-23T01:11:39,26.78
2026-02-23T01:12:39,26.74
2026-02-23T01:13:39,26.83
2026-02-23T01:14:39,26.88
2026-02-23T01:15:39,26.9
2026-02-23T01:16:39,26.86
2026-02-23T01:17:39,26.8
2026-02-23T01:18:39,26.78
2026-02-23T01:19:39,26.76
2026-02-23T01:20:39,26.66
2026-02-23T01:21:39,26.66
2026-02-23T01:22:40,26.63
2026-02-23T01:23:40,26.66
2026-02-23T01:24:40,26.71
2026-02-23T01:25:39,26.67
2026-02-23T01:26:40,26.63
2026-02-23T01:27:40,26.54
2026-02-23T01:28:40,26.45
2026-02-23T01:29:40,26.42
2026-02-23T01:30:40,26.36
2026-02-23T01:31:40,26.31
2026-02-23T01:32:40,26.31
2026-02-23T01:33:40,26.27
2026-02-23T01:34:40,26.25
2026-02-23T01:35:40,26.22
2026-02-23T01:36:40,26.32
2026-02-23T01:37:40,26.39
2026-02-23T01:38:41,26.46
2026-02-23T01:39:40,26.46
2026-02-23T01:40:41,26.39
2026-02-23T01:41:40,26.32
2026-02-23T01:42:41,26.28
2026-02-23T01:43:40,26.24
2026-02-23T01:44:41,26.21
2026-02-23T01:45:40,26.17
2026-02-23T01:46:41,26.15
2026-02-23T01:47:41,26.11
2026-02-23T01:48:41,26.15
2026-02-23T01:49:41,26.34
2026-02-23T01:50:41,26.34
2026-02-23T01:51:41,26.35
2026-02-23T01:52:41,26.4
2026-02-23T01:53:41,26.49
2026-02-23T01:54:41,26.53
2026-02-23T01:55:41,26.54
2026-02-23T01:56:41,26.57
2026-02-23T01:57:41,26.47
2026-02-23T01:58:41,26.38
2026-02-23T01:59:42,26.35
2026-02-23T02:00:41,26.43
2026-02-23T02:01:41,26.5
2026-02-23T02:02:41,26.54
2026-02-23T02:03:41,26.57
2026-02-23T02:04:41,26.53
2026-02-23T02:05:42,26.54
