datetime,value
2026-02-23T00:08:33,78.46
2026-02-23T00:18:24,78.03
2026-02-23T00:28:27,78
2026-02-23T00:38:20,78.53
2026-02-23T00:48:16,78.36
2026-02-23T00:58:11,78.72
2026-02-23T01:08:10,78.79
2026-02-23T01:18:04,79.4
2026-02-23T01:28:11,78.68
2026-02-23T01:38:06,78.92
2026-02-23T01:47:59,78.74
2026-02-23T01:57:55,78.92
2026-02-23T02:07:49,78.79
2026-02-23T02:17:48,78.76
2026-02-23T02:27:42,79.46
2026-02-23T02:37:41,79.61
2026-02-23T02:47:37,79.01
2026-02-23T02:57:39,78.66
2026-02-23T03:07:32,78.33
2026-02-23T03:17:32,78.74
2026-02-23T03:27:32,78.9
2026-02-23T03:37:22,79.58
2026-02-23T03:47:22,79.75
2026-02-23T03:57:15,79.76
2026-02-23T04:07:16,79.63
2026-02-23T04:17:15,79.89
2026-02-23T04:27:09,80.21
2026-02-23T04:37:08,80.82
2026-02-23T04:46:58,80.93
2026-02-23T04:57:00,80.57
2026-02-23T05:06:52,79.97
2026-02-23T05:16:48,79.25
2026-02-23T05:26:46,79.5
2026-02-23T05:36:42,79.45
2026-02-23T05:46:41,79.35
2026-02-23T05:56:38,79.64
2026-02-23T06:06:35,79.71
2026-02-23T06:16:32,80
2026-02-23T06:26:27,80.09
2026-02-23T06:36:24,80.31
2026-02-23T06:46:23,80.42
2026-02-23T06:56:20,80.49
2026-02-23T07:06:15,80.43
2026-02-23T07:16:15,80.03
2026-02-23T07:26:12,79.91
2026-02-23T07:36:06,79.78
2026-02-23T07:46:03,79.52
2026-02-23T07:56:05,78.1
2026-02-23T08:05:58,76.19
2026-02-23T08:15:53,75.44
2026-02-23T08:25:54,76.34
2026-02-23T08:35:47,76.91
2026-02-23T08:45:44,75.44
2026-02-23T08:55:43,75.5
2026-02-23T09:05:42,74.63
2026-02-23T09:15:35,73.89
2026-02-23T09:25:39,72.81
2026-02-23T09:35:29,70.8
2026-02-23T09:45:26,70.4
2026-02-23T09:55:23,70.83
2026-02-23T10:05:22,68.92
2026-02-23T10:15:17,69.69
2026-02-23T10:25:18,66.8
2026-02-23T10:35:20,67.34
2026-02-23T10:45:15,67.57
2026-02-23T10:55:10,66.39
2026-02-23T11:05:02,67.44
2026-02-23T11:15:00,66.9
2026-02-23T11:25:00,66.23
2026-02-23T11:34:52,66.17
2026-02-23T11:44:49,65.01
2026-02-23T11:54:46,65.47
2026-02-23T12:04:43,65.36
2026-02-23T12:14:42,66.03
2026-02-23T12:24:38,64.87
2026-02-23T12:34:36,63.87
2026-02-23T12:44:38,61.77
2026-02-23T12:54:30,64.28
2026-02-23T13:04:26,60.36
2026-02-23T13:14:23,59.27
2026-02-23T13:24:20,57.4
2026-02-23T13:34:17,56.4
2026-02-23T13:44:12,57.41
2026-02-23T13:54:08,56.59
2026-02-23T14:04:08,55.42
2026-02-23T14:14:05,53.03
2026-02-23T14:23:59,55.81
2026-02-23T14:34:03,57.03
2026-02-23T14:43:53,56.95
2026-02-23T14:53:50,56.47
2026-02-23T15:03:49,57.73
2026-02-23T15:13:47,58.69
2026-02-23T15:23:46,59.18
