datetime,value
2026-02-23T00:08:33,36
2026-02-23T00:18:24,43
2026-02-23T00:28:28,37
2026-02-23T00:38:21,36
2026-02-23T00:48:16,30
2026-02-23T00:58:11,28
2026-02-23T01:08:10,30
2026-02-23T01:18:05,30
2026-02-23T01:28:11,29
2026-02-23T01:38:06,32
2026-02-23T01:47:59,28
2026-02-23T01:57:56,30
2026-02-23T02:07:49,29
2026-02-23T02:17:48,28
2026-02-23T02:27:43,30
2026-02-23T02:37:41,30
2026-02-23T02:47:38,30
2026-02-23T02:57:39,28
2026-02-23T03:07:33,28
2026-02-23T03:17:32,27
2026-02-23T03:27:32,30
2026-02-23T03:37:22,30
2026-02-23T03:47:23,30
2026-02-23T03:57:16,23
2026-02-23T04:07:16,28
2026-02-23T04:17:15,24
2026-02-23T04:27:09,28
2026-02-23T04:37:08,31
2026-02-23T04:46:58,29
2026-02-23T04:57:00,36
2026-02-23T05:06:52,40
2026-02-23T05:16:49,30
2026-02-23T05:26:46,48
2026-02-23T05:36:42,36
2026-02-23T05:46:42,32
2026-02-23T05:56:38,42
2026-02-23T06:06:36,38
2026-02-23T06:16:32,38
2026-02-23T06:26:27,39
2026-02-23T06:36:24,40
2026-02-23T06:46:23,40
2026-02-23T06:56:20,41
2026-02-23T07:06:15,32
2026-02-23T07:16:15,38
2026-02-23T07:26:12,34
2026-02-23T07:36:06,45
2026-02-23T07:46:03,31
2026-02-23T07:56:05,32
2026-02-23T08:05:58,30
2026-02-23T08:15:54,25
2026-02-23T08:25:54,23
2026-02-23T08:35:47,27
2026-02-23T08:45:44,27
2026-02-23T08:55:43,31
2026-02-23T09:05:43,24
2026-02-23T09:15:36,28
2026-02-23T09:25:39,29
2026-02-23T09:35:30,33
2026-02-23T09:45:26,23
2026-02-23T09:55:23,25
2026-02-23T10:05:22,28
2026-02-23T10:15:17,31
2026-02-23T10:25:18,28
2026-02-23T10:35:20,27
2026-02-23T10:45:15,33
2026-02-23T10:55:10,29
2026-02-23T11:05:02,30
2026-02-23T11:15:01,25
2026-02-23T11:25:00,28
2026-02-23T11:34:53,33
2026-02-23T11:44:49,30
2026-02-23T11:54:46,20
2026-02-23T12:04:43,28
2026-02-23T12:14:42,25
2026-02-23T12:24:39,32
2026-02-23T12:34:36,31
2026-02-23T12:44:38,40
2026-02-23T12:54:30,29
2026-02-23T13:04:27,31
2026-02-23T13:14:23,31
2026-02-23T13:24:20,25
2026-02-23T13:34:17,33
2026-02-23T13:44:12,34
2026-02-23T13:54:09,36
2026-02-23T14:04:08,31
2026-02-23T14:14:06,36
2026-02-23T14:23:59,37
2026-02-23T14:34:04,33
2026-02-23T14:43:54,32
2026-02-23T14:53:50,30
2026-02-23T15:03:49,36
2026-02-23T15:13:47,30
2026-02-23T15:23:46,32
