datetime,value
2026-02-23T00:08:33,28.86
2026-02-23T00:18:24,28.81
2026-02-23T00:28:27,28.79
2026-02-23T00:38:20,28.78
2026-02-23T00:48:16,28.78
2026-02-23T00:58:11,28.77
2026-02-23T01:08:10,28.75
2026-02-23T01:18:04,28.67
2026-02-23T01:28:11,28.68
2026-02-23T01:38:06,28.65
2026-02-23T01:47:59,28.71
2026-02-23T01:57:55,28.62
2026-02-23T02:07:49,28.61
2026-02-23T02:17:48,28.68
2026-02-23T02:27:42,28.6
2026-02-23T02:37:41,28.58
2026-02-23T02:47:37,28.69
2026-02-23T02:57:39,28.71
2026-02-23T03:07:32,28.78
2026-02-23T03:27:32,28.69
2026-02-23T03:37:22,28.6
2026-02-23T03:47:22,28.57
2026-02-23T03:57:15,28.64
2026-02-23T04:07:16,28.6
2026-02-23T04:17:15,28.58
2026-02-23T04:27:09,28.5
2026-02-23T04:37:08,28.43
2026-02-23T04:46:58,28.41
2026-02-23T04:57:00,28.39
2026-02-23T05:06:52,28.36
2026-02-23T05:16:48,28.37
2026-02-23T05:26:46,28.3
2026-02-23T05:36:42,28.34
2026-02-23T05:46:41,28.31
2026-02-23T05:56:38,28.22
2026-02-23T06:06:35,28.23
2026-02-23T06:16:32,28.24
2026-02-23T06:26:27,28.22
2026-02-23T06:36:24,28.23
2026-02-23T06:46:23,28.27
2026-02-23T06:56:19,28.28
2026-02-23T07:06:15,28.37
2026-02-23T07:16:15,28.48
2026-02-23T07:26:12,28.6
2026-02-23T07:36:06,28.64
2026-02-23T07:46:03,28.79
2026-02-23T07:56:05,29.06
2026-02-23T08:05:58,29.26
2026-02-23T08:15:53,29.3
2026-02-23T08:25:54,29.31
2026-02-23T08:35:47,29.57
2026-02-23T08:45:44,29.95
2026-02-23T08:55:43,29.98
2026-02-23T09:05:42,30.16
2026-02-23T09:15:35,30.44
2026-02-23T09:25:39,30.48
2026-02-23T09:35:29,30.67
2026-02-23T09:45:26,30.85
2026-02-23T09:55:23,30.84
2026-02-23T10:05:22,30.94
2026-02-23T10:15:17,31.29
2026-02-23T10:25:18,31.44
2026-02-23T10:35:20,31.49
2026-02-23T10:45:15,31.64
2026-02-23T10:55:10,31.98
2026-02-23T11:05:02,31.83
2026-02-23T11:15:00,31.8
2026-02-23T11:34:52,31.96
2026-02-23T11:44:49,32.16
2026-02-23T11:54:46,31.74
2026-02-23T12:04:43,32.22
2026-02-23T12:14:42,32.07
2026-02-23T12:24:38,32.25
2026-02-23T12:34:36,32.56
2026-02-23T12:54:30,32.35
2026-02-23T13:04:26,32.35
2026-02-23T13:14:23,32.73
2026-02-23T13:24:19,33
2026-02-23T13:34:17,33.32
2026-02-23T13:44:12,33.39
2026-02-23T13:54:08,33.42
2026-02-23T14:04:08,34.01
2026-02-23T14:14:05,34.12
2026-02-23T14:23:59,34.45
2026-02-23T14:43:53,34.83
2026-02-23T14:53:50,34.86
2026-02-23T15:03:49,34.94
2026-02-23T15:13:47,35.04
2026-02-23T15:23:46,34.94
