datetime,value
2026-02-23T00:08:33,225
2026-02-23T00:18:24,315
2026-02-23T00:28:28,180
2026-02-23T00:38:21,315
2026-02-23T00:48:16,180
2026-02-23T00:58:11,180
2026-02-23T01:08:10,225
2026-02-23T01:18:05,180
2026-02-23T01:28:11,180
2026-02-23T01:38:06,315
2026-02-23T01:47:59,225
2026-02-23T01:57:55,180
2026-02-23T02:07:49,225
2026-02-23T02:17:48,225
2026-02-23T02:27:43,225
2026-02-23T02:37:41,225
2026-02-23T02:47:38,225
2026-02-23T02:57:39,225
2026-02-23T03:07:32,247.5
2026-02-23T03:17:32,225
2026-02-23T03:27:32,225
2026-02-23T03:37:22,225
2026-02-23T03:47:22,270
2026-02-23T03:57:16,270
2026-02-23T04:07:16,225
2026-02-23T04:17:15,225
2026-02-23T04:27:09,225
2026-02-23T04:37:08,225
2026-02-23T04:46:58,225
2026-02-23T04:57:00,225
2026-02-23T05:06:52,225
2026-02-23T05:16:49,225
2026-02-23T05:26:46,202.5
2026-02-23T05:36:42,270
2026-02-23T05:46:41,225
2026-02-23T05:56:38,180
2026-02-23T06:06:35,225
2026-02-23T06:16:32,225
2026-02-23T06:26:27,225
2026-02-23T06:36:24,225
2026-02-23T06:46:23,225
2026-02-23T06:56:20,225
2026-02-23T07:06:15,225
2026-02-23T07:16:15,225
2026-02-23T07:26:12,225
2026-02-23T07:36:06,180
2026-02-23T07:46:03,180
2026-02-23T07:56:05,225
2026-02-23T08:05:58,225
2026-02-23T08:15:53,225
2026-02-23T08:25:54,157.5
2026-02-23T08:35:47,225
2026-02-23T08:45:44,225
2026-02-23T08:55:43,225
2026-02-23T09:05:42,315
2026-02-23T09:15:36,270
2026-02-23T09:25:39,180
2026-02-23T09:35:29,225
2026-02-23T09:45:26,135
2026-02-23T09:55:23,180
2026-02-23T10:05:22,180
2026-02-23T10:15:17,180
2026-02-23T10:25:18,225
2026-02-23T10:35:20,135
2026-02-23T10:45:15,180
2026-02-23T10:55:10,180
2026-02-23T11:05:02,180
2026-02-23T11:15:01,180
2026-02-23T11:25:00,225
2026-02-23T11:34:52,180
2026-02-23T11:44:49,270
2026-02-23T11:54:46,135
2026-02-23T12:04:43,270
2026-02-23T12:14:42,180
2026-02-23T12:24:38,225
2026-02-23T12:34:36,225
2026-02-23T12:44:38,270
2026-02-23T12:54:30,45
2026-02-23T13:04:27,180
2026-02-23T13:14:23,157.5
2026-02-23T13:24:20,180
2026-02-23T13:34:17,225
2026-02-23T13:44:12,180
2026-02-23T13:54:08,180
2026-02-23T14:04:08,45
2026-02-23T14:14:05,180
2026-02-23T14:23:59,225
2026-02-23T14:34:03,225
2026-02-23T14:43:53,135
2026-02-23T14:53:50,135
2026-02-23T15:03:49,45
2026-02-23T15:13:47,225
2026-02-23T15:23:46,180
