datetime,value
2026-02-23T00:08:33,3.86
2026-02-23T00:18:24,2.22
2026-02-23T00:28:28,3.8
2026-02-23T00:38:21,0.63
2026-02-23T00:48:16,3.3
2026-02-23T00:58:11,1.51
2026-02-23T01:08:10,1.25
2026-02-23T01:18:04,1.32
2026-02-23T01:28:11,2.05
2026-02-23T01:38:06,1.57
2026-02-23T01:47:59,2.34
2026-02-23T01:57:55,2.96
2026-02-23T02:07:49,1.69
2026-02-23T02:17:48,0
2026-02-23T02:27:43,0
2026-02-23T02:37:41,0
2026-02-23T02:47:38,0
2026-02-23T02:57:39,0
2026-02-23T03:07:32,0
2026-02-23T03:17:32,0
2026-02-23T03:27:32,0
2026-02-23T03:37:22,0
2026-02-23T03:47:22,0
2026-02-23T03:57:15,0
2026-02-23T04:07:16,0
2026-02-23T04:17:15,0
2026-02-23T04:27:09,0
2026-02-23T04:37:08,0
2026-02-23T04:46:58,0.22
2026-02-23T04:57:00,0
2026-02-23T05:06:52,0
2026-02-23T05:16:49,0
2026-02-23T05:26:46,0
2026-02-23T05:36:42,0
2026-02-23T05:46:41,0
2026-02-23T05:56:38,0.75
2026-02-23T06:06:35,0
2026-02-23T06:16:32,0
2026-02-23T06:26:27,0
2026-02-23T06:36:24,0
2026-02-23T06:46:23,0
2026-02-23T06:56:20,0
2026-02-23T07:06:15,0
2026-02-23T07:16:15,0
2026-02-23T07:26:12,0.71
2026-02-23T07:36:06,2
2026-02-23T07:46:03,1.97
2026-02-23T07:56:05,1.62
2026-02-23T08:05:58,1.24
2026-02-23T08:15:53,0
2026-02-23T08:25:54,3.54
2026-02-23T08:35:47,0
2026-02-23T08:45:44,0
2026-02-23T08:55:43,1.52
2026-02-23T09:05:42,0
2026-02-23T09:15:35,1.1
2026-02-23T09:25:39,3.32
2026-02-23T09:35:29,2.56
2026-02-23T09:45:26,5.44
2026-02-23T09:55:23,3.38
2026-02-23T10:05:22,4.56
2026-02-23T10:15:17,3.74
2026-02-23T10:25:18,1.69
2026-02-23T10:35:20,7.13
2026-02-23T10:45:15,3.34
2026-02-23T10:55:10,1.27
2026-02-23T11:05:02,3.63
2026-02-23T11:15:01,4.39
2026-02-23T11:25:00,2.87
2026-02-23T11:34:52,5.57
2026-02-23T11:44:49,2.8
2026-02-23T11:54:46,6.61
2026-02-23T12:04:43,0
2026-02-23T12:14:42,3.48
2026-02-23T12:24:38,2.46
2026-02-23T12:34:36,4.25
2026-02-23T12:44:38,0
2026-02-23T12:54:30,3.15
2026-02-23T13:04:27,2.51
2026-02-23T13:14:23,2.57
2026-02-23T13:24:20,6.28
2026-02-23T13:34:17,3.12
2026-02-23T13:44:12,3.65
2026-02-23T13:54:08,5.06
2026-02-23T14:04:08,2.4
2026-02-23T14:14:05,3.59
2026-02-23T14:23:59,2.07
2026-02-23T14:34:03,3.94
2026-02-23T14:43:53,5.58
2026-02-23T14:53:50,4.21
2026-02-23T15:03:49,3.23
2026-02-23T15:13:47,4.19
2026-02-23T15:23:46,7.59
