datetime,value
2026-02-23T00:03:22,85.16
2026-02-23T00:13:20,83.38
2026-02-23T00:23:17,81.95
2026-02-23T00:33:15,82.8
2026-02-23T00:43:13,83.34
2026-02-23T00:53:10,84.05
2026-02-23T01:03:08,85.07
2026-02-23T01:13:05,84.57
2026-02-23T01:23:03,84.09
2026-02-23T01:32:59,84.84
2026-02-23T01:42:57,86.71
2026-02-23T01:52:54,87.37
2026-02-23T02:02:52,87.38
2026-02-23T02:12:50,86
2026-02-23T02:22:48,87.42
2026-02-23T02:32:45,88.46
2026-02-23T02:42:42,87.67
2026-02-23T02:52:40,87.99
2026-02-23T03:02:37,86.83
2026-02-23T03:12:35,86.35
2026-02-23T03:22:32,86.42
2026-02-23T03:32:30,86.88
2026-02-23T03:42:28,86.28
2026-02-23T03:52:25,84.44
2026-02-23T04:02:23,83.54
2026-02-23T04:12:20,84.08
2026-02-23T04:22:18,85.15
2026-02-23T04:32:15,85.97
2026-02-23T04:42:12,85.9
2026-02-23T04:52:10,84.77
2026-02-23T05:02:08,84.22
2026-02-23T05:12:05,83.95
2026-02-23T05:22:03,83.81
2026-02-23T05:32:00,84.1
2026-02-23T05:41:57,84.19
2026-02-23T05:51:55,84.05
2026-02-23T06:01:52,84.72
2026-02-23T06:11:49,84.53
2026-02-23T06:21:47,84.64
2026-02-23T06:31:45,84.65
2026-02-23T06:41:42,84.71
2026-02-23T06:51:40,84.37
2026-02-23T07:01:37,83.37
2026-02-23T07:11:35,82.52
2026-02-23T07:21:32,80.51
2026-02-23T07:31:31,76.52
2026-02-23T07:41:30,73.66
2026-02-23T07:51:28,72.08
2026-02-23T08:01:25,72.75
2026-02-23T08:11:22,73.8
2026-02-23T08:21:20,73.06
2026-02-23T08:31:18,71.28
2026-02-23T08:41:16,69.76
2026-02-23T08:51:14,66.59
2026-02-23T09:01:13,63.68
2026-02-23T09:11:11,59.23
2026-02-23T09:21:09,58.66
2026-02-23T09:31:07,55.77
2026-02-23T09:41:05,57.45
2026-02-23T09:51:02,53.99
2026-02-23T10:01:00,51.35
2026-02-23T10:10:57,50.37
2026-02-23T10:20:55,49.35
2026-02-23T10:30:53,48.04
2026-02-23T10:40:51,45.87
2026-02-23T10:50:48,46.26
2026-02-23T11:00:46,45.47
2026-02-23T11:10:43,42.97
2026-02-23T11:20:41,42.41
2026-02-23T11:30:39,41.48
2026-02-23T11:40:36,40.9
2026-02-23T11:50:34,40.53
2026-02-23T12:00:32,38.63
2026-02-23T12:10:29,39.35
2026-02-23T12:20:27,38.1
2026-02-23T12:30:24,37.92
2026-02-23T12:40:22,37.47
2026-02-23T12:50:20,38.12
2026-02-23T13:00:17,37.86
2026-02-23T13:10:15,36.65
2026-02-23T13:20:13,36.89
2026-02-23T13:30:11,36.06
2026-02-23T13:40:08,36.72
2026-02-23T13:50:06,35.43
2026-02-23T14:00:04,34.54
2026-02-23T14:10:03,33.61
2026-02-23T14:20:00,33.19
2026-02-23T14:29:58,32.91
2026-02-23T14:39:56,31.86
2026-02-23T14:49:51,36.21
2026-02-23T14:59:44,41.11
2026-02-23T15:09:41,41.89
2026-02-23T15:19:41,38.72
