datetime,value
2026-02-23T00:03:22,62
2026-02-23T00:13:20,62
2026-02-23T00:23:18,56
2026-02-23T00:33:15,60
2026-02-23T00:43:13,62
2026-02-23T00:53:11,64
2026-02-23T01:03:08,66
2026-02-23T01:13:05,63
2026-02-23T01:23:03,64
2026-02-23T01:33:00,67
2026-02-23T01:42:57,65
2026-02-23T01:52:55,65
2026-02-23T02:02:53,65
2026-02-23T02:12:50,61
2026-02-23T02:22:48,65
2026-02-23T02:32:45,69
2026-02-23T02:42:43,65
2026-02-23T02:52:40,69
2026-02-23T03:02:37,65
2026-02-23T03:12:35,64
2026-02-23T03:22:33,68
2026-02-23T03:32:31,66
2026-02-23T03:42:28,64
2026-02-23T03:52:26,65
2026-02-23T04:02:23,59
2026-02-23T04:12:21,62
2026-02-23T04:22:18,59
2026-02-23T04:32:15,62
2026-02-23T04:42:13,62
2026-02-23T04:52:10,65
2026-02-23T05:02:08,59
2026-02-23T05:12:05,60
2026-02-23T05:22:03,58
2026-02-23T05:32:00,56
2026-02-23T05:41:57,57
2026-02-23T05:51:55,53
2026-02-23T06:01:52,59
2026-02-23T06:11:50,54
2026-02-23T06:21:47,58
2026-02-23T06:31:45,60
2026-02-23T06:41:43,61
2026-02-23T06:51:40,67
2026-02-23T07:01:37,72
2026-02-23T07:11:35,73
2026-02-23T07:21:33,70
2026-02-23T07:31:32,62
2026-02-23T07:41:31,56
2026-02-23T07:51:29,62
2026-02-23T08:01:25,54
2026-02-23T08:11:22,57
2026-02-23T08:21:20,56
2026-02-23T08:31:18,55
2026-02-23T08:41:16,61
2026-02-23T08:51:14,57
2026-02-23T09:01:13,65
2026-02-23T09:11:11,59
2026-02-23T09:21:09,53
2026-02-23T09:31:08,58
2026-02-23T09:41:05,56
2026-02-23T09:51:03,46
2026-02-23T10:01:00,49
2026-02-23T10:10:58,49
2026-02-23T10:20:56,52
2026-02-23T10:30:53,52
2026-02-23T10:40:51,58
2026-02-23T10:50:49,60
2026-02-23T11:00:46,60
2026-02-23T11:10:43,57
2026-02-23T11:20:41,53
2026-02-23T11:30:39,49
2026-02-23T11:40:37,43
2026-02-23T11:50:34,48
2026-02-23T12:00:32,42
2026-02-23T12:10:30,48
2026-02-23T12:20:27,56
2026-02-23T12:30:25,49
2026-02-23T12:40:22,49
2026-02-23T12:50:20,50
2026-02-23T13:00:18,43
2026-02-23T13:10:15,49
2026-02-23T13:20:13,51
2026-02-23T13:30:11,53
2026-02-23T13:40:09,51
2026-02-23T13:50:07,47
2026-02-23T14:00:05,48
2026-02-23T14:10:03,40
2026-02-23T14:20:03,47
2026-02-23T14:29:59,45
2026-02-23T14:39:57,40
2026-02-23T14:49:51,39
2026-02-23T14:59:45,47
2026-02-23T15:09:42,40
2026-02-23T15:19:41,47
