datetime,value
2026-02-23T00:03:22,51
2026-02-23T00:13:20,50
2026-02-23T00:23:18,46
2026-02-23T00:33:15,49
2026-02-23T00:43:13,51
2026-02-23T00:53:10,51
2026-02-23T01:03:08,53
2026-02-23T01:13:05,51
2026-02-23T01:23:03,52
2026-02-23T01:33:00,54
2026-02-23T01:42:57,53
2026-02-23T01:52:55,51
2026-02-23T02:02:53,52
2026-02-23T02:12:50,50
2026-02-23T02:22:48,53
2026-02-23T02:32:45,56
2026-02-23T02:42:42,52
2026-02-23T02:52:40,58
2026-02-23T03:02:37,54
2026-02-23T03:12:35,51
2026-02-23T03:22:33,56
2026-02-23T03:32:31,54
2026-02-23T03:42:28,51
2026-02-23T03:52:26,52
2026-02-23T04:02:23,49
2026-02-23T04:12:21,51
2026-02-23T04:22:18,48
2026-02-23T04:32:15,51
2026-02-23T04:42:12,50
2026-02-23T04:52:10,52
2026-02-23T05:02:08,48
2026-02-23T05:12:05,48
2026-02-23T05:22:03,46
2026-02-23T05:32:00,46
2026-02-23T05:41:57,46
2026-02-23T05:51:55,43
2026-02-23T06:01:52,47
2026-02-23T06:11:50,45
2026-02-23T06:21:47,48
2026-02-23T06:31:45,48
2026-02-23T06:41:43,50
2026-02-23T06:51:40,56
2026-02-23T07:01:37,62
2026-02-23T07:11:35,66
2026-02-23T07:21:32,57
2026-02-23T07:31:32,49
2026-02-23T07:41:30,47
2026-02-23T07:51:28,49
2026-02-23T08:01:25,45
2026-02-23T08:11:22,47
2026-02-23T08:21:20,47
2026-02-23T08:31:18,46
2026-02-23T08:41:16,50
2026-02-23T08:51:14,47
2026-02-23T09:01:13,52
2026-02-23T09:11:11,49
2026-02-23T09:21:09,44
2026-02-23T09:31:07,47
2026-02-23T09:41:05,46
2026-02-23T09:51:02,38
2026-02-23T10:01:00,42
2026-02-23T10:10:58,42
2026-02-23T10:20:56,44
2026-02-23T10:30:53,44
2026-02-23T10:40:51,48
2026-02-23T10:50:48,50
2026-02-23T11:00:46,48
2026-02-23T11:10:43,48
2026-02-23T11:20:41,45
2026-02-23T11:30:39,42
2026-02-23T11:40:37,36
2026-02-23T11:50:34,41
2026-02-23T12:00:32,37
2026-02-23T12:10:30,41
2026-02-23T12:20:27,46
2026-02-23T12:30:25,40
2026-02-23T12:40:22,42
2026-02-23T12:50:20,42
2026-02-23T13:00:18,38
2026-02-23T13:10:15,42
2026-02-23T13:20:13,42
2026-02-23T13:30:11,45
2026-02-23T13:40:09,44
2026-02-23T13:50:07,40
2026-02-23T14:00:05,41
2026-02-23T14:10:03,36
2026-02-23T14:20:03,40
2026-02-23T14:29:59,39
2026-02-23T14:39:57,35
2026-02-23T14:49:51,35
2026-02-23T14:59:45,40
2026-02-23T15:09:42,36
2026-02-23T15:19:41,39
