datetime,value
2026-02-23T00:03:22,24.53
2026-02-23T00:13:20,24.61
2026-02-23T00:23:17,24.82
2026-02-23T00:33:15,24.96
2026-02-23T00:43:13,24.94
2026-02-23T00:53:10,24.77
2026-02-23T01:03:08,24.75
2026-02-23T01:13:05,24.77
2026-02-23T01:23:02,24.67
2026-02-23T01:32:59,24.61
2026-02-23T01:42:57,24.43
2026-02-23T01:52:54,24.3
2026-02-23T02:02:52,24.3
2026-02-23T02:12:50,24.47
2026-02-23T02:22:48,24.27
2026-02-23T02:32:45,23.98
2026-02-23T02:42:42,23.79
2026-02-23T02:52:39,23.77
2026-02-23T03:02:37,23.89
2026-02-23T03:12:35,23.92
2026-02-23T03:22:32,23.85
2026-02-23T03:32:30,23.85
2026-02-23T03:42:28,23.96
2026-02-23T03:52:25,24.17
2026-02-23T04:02:23,24.39
2026-02-23T04:12:20,24.34
2026-02-23T04:22:18,24.16
2026-02-23T04:32:15,23.98
2026-02-23T04:42:12,23.91
2026-02-23T04:52:10,23.88
2026-02-23T05:02:07,23.86
2026-02-23T05:12:05,23.84
2026-02-23T05:22:03,23.62
2026-02-23T05:31:59,23.57
2026-02-23T05:41:57,23.44
2026-02-23T05:51:54,23.44
2026-02-23T06:01:52,23.31
2026-02-23T06:11:49,23.31
2026-02-23T06:21:47,23.44
2026-02-23T06:31:45,23.4
2026-02-23T06:41:42,23.44
2026-02-23T06:51:40,23.57
2026-02-23T07:01:37,23.82
2026-02-23T07:11:35,24.3
2026-02-23T07:21:32,24.98
2026-02-23T07:31:31,26.02
2026-02-23T07:41:30,26.91
2026-02-23T07:51:28,27.39
2026-02-23T08:01:25,26.91
2026-02-23T08:11:22,26.73
2026-02-23T08:21:19,27.12
2026-02-23T08:31:17,27.87
2026-02-23T08:41:15,28.72
2026-02-23T08:51:13,29.75
2026-02-23T09:01:12,31
2026-02-23T09:11:10,32.32
2026-02-23T09:21:09,32.47
2026-02-23T09:31:07,33.39
2026-02-23T09:41:05,33.12
2026-02-23T09:51:02,34.14
2026-02-23T10:01:00,34.87
2026-02-23T10:10:57,35.65
2026-02-23T10:20:55,35.76
2026-02-23T10:30:53,36.23
2026-02-23T10:40:51,37.32
2026-02-23T10:50:48,37.3
2026-02-23T11:00:46,37.88
2026-02-23T11:10:43,38.49
2026-02-23T11:20:41,38.8
2026-02-23T11:30:39,39.44
2026-02-23T11:40:36,39.29
2026-02-23T11:50:34,39.39
2026-02-23T12:00:32,40.18
2026-02-23T12:10:29,40.01
2026-02-23T12:20:27,41.13
2026-02-23T12:30:24,40.81
2026-02-23T12:40:22,40.61
2026-02-23T12:50:20,40.88
2026-02-23T13:00:17,40.75
2026-02-23T13:10:15,42.22
2026-02-23T13:20:13,41.78
2026-02-23T13:30:11,42.51
2026-02-23T13:40:08,42.23
2026-02-23T13:50:06,42.69
2026-02-23T14:00:04,43.7
2026-02-23T14:10:03,44.29
2026-02-23T14:20:00,44.55
2026-02-23T14:29:58,44.7
2026-02-23T14:39:56,45
2026-02-23T14:49:50,40.45
2026-02-23T14:59:44,37.48
2026-02-23T15:09:41,36.98
2026-02-23T15:19:41,39.65
