datetime,value
2026-02-23T00:03:22,270
2026-02-23T00:13:20,270
2026-02-23T00:23:17,225
2026-02-23T00:33:15,225
2026-02-23T00:43:13,225
2026-02-23T00:53:10,225
2026-02-23T01:03:08,225
2026-02-23T01:13:05,225
2026-02-23T01:23:03,225
2026-02-23T01:33:00,225
2026-02-23T01:42:57,270
2026-02-23T01:52:55,315
2026-02-23T02:02:52,315
2026-02-23T02:12:50,315
2026-02-23T02:22:48,135
2026-02-23T02:32:45,135
2026-02-23T02:42:42,90
2026-02-23T02:52:40,90
2026-02-23T03:02:37,90
2026-02-23T03:12:35,90
2026-02-23T03:22:33,90
2026-02-23T03:32:31,90
2026-02-23T03:42:28,90
2026-02-23T03:52:25,90
2026-02-23T04:02:23,225
2026-02-23T04:12:20,135
2026-02-23T04:22:18,180
2026-02-23T04:32:15,180
2026-02-23T04:42:12,180
2026-02-23T04:52:10,180
2026-02-23T05:02:08,180
2026-02-23T05:12:05,180
2026-02-23T05:22:03,180
2026-02-23T05:32:00,180
2026-02-23T05:41:57,180
2026-02-23T05:51:55,180
2026-02-23T06:01:52,225
2026-02-23T06:11:50,225
2026-02-23T06:21:47,225
2026-02-23T06:31:45,225
2026-02-23T06:41:42,225
2026-02-23T06:51:40,225
2026-02-23T07:01:37,135
2026-02-23T07:11:35,135
2026-02-23T07:21:32,225
2026-02-23T07:31:31,270
2026-02-23T07:41:30,270
2026-02-23T07:51:28,225
2026-02-23T08:01:25,225
2026-02-23T08:11:22,135
2026-02-23T08:21:20,90
2026-02-23T08:31:18,135
2026-02-23T08:41:16,90
2026-02-23T08:51:14,90
2026-02-23T09:01:13,90
2026-02-23T09:11:11,90
2026-02-23T09:21:09,247.5
2026-02-23T09:31:07,90
2026-02-23T09:41:05,225
2026-02-23T09:51:02,270
2026-02-23T10:01:00,180
2026-02-23T10:10:57,45
2026-02-23T10:20:55,225
2026-02-23T10:30:53,90
2026-02-23T10:40:51,225
2026-02-23T10:50:48,90
2026-02-23T11:00:46,90
2026-02-23T11:10:43,90
2026-02-23T11:20:41,225
2026-02-23T11:30:39,270
2026-02-23T11:40:37,270
2026-02-23T11:50:34,270
2026-02-23T12:00:32,270
2026-02-23T12:10:30,315
2026-02-23T12:20:27,90
2026-02-23T12:30:25,270
2026-02-23T12:40:22,225
2026-02-23T12:50:20,225
2026-02-23T13:00:17,270
2026-02-23T13:10:15,90
2026-02-23T13:20:13,225
2026-02-23T13:30:11,90
2026-02-23T13:40:08,45
2026-02-23T13:50:06,315
2026-02-23T14:00:04,45
2026-02-23T14:10:03,0
2026-02-23T14:20:03,90
2026-02-23T14:29:58,180
2026-02-23T14:39:56,225
2026-02-23T14:49:51,270
2026-02-23T14:59:45,90
2026-02-23T15:09:42,270
2026-02-23T15:19:41,270
