datetime,value
2026-02-23T00:03:22,0
2026-02-23T00:13:20,0
2026-02-23T00:23:17,1.69
2026-02-23T00:33:15,0
2026-02-23T00:43:13,0
2026-02-23T00:53:10,0
2026-02-23T01:03:08,0
2026-02-23T01:13:05,0
2026-02-23T01:23:03,2.11
2026-02-23T01:33:00,0.58
2026-02-23T01:42:57,1.82
2026-02-23T01:52:54,1.15
2026-02-23T02:02:52,0
2026-02-23T02:12:50,0
2026-02-23T02:22:48,1.29
2026-02-23T02:32:45,0
2026-02-23T02:42:42,0.88
2026-02-23T02:52:40,0
2026-02-23T03:02:37,0
2026-02-23T03:12:35,0
2026-02-23T03:22:33,2.39
2026-02-23T03:32:30,1.1
2026-02-23T03:42:28,0
2026-02-23T03:52:25,0.84
2026-02-23T04:02:23,0
2026-02-23T04:12:20,0
2026-02-23T04:22:18,0
2026-02-23T04:32:15,0
2026-02-23T04:42:12,0
2026-02-23T04:52:10,1.39
2026-02-23T05:02:08,0
2026-02-23T05:12:05,0
2026-02-23T05:22:03,0
2026-02-23T05:32:00,0
2026-02-23T05:41:57,0
2026-02-23T05:51:55,0
2026-02-23T06:01:52,0.97
2026-02-23T06:11:50,0
2026-02-23T06:21:47,0
2026-02-23T06:31:45,0
2026-02-23T06:41:42,0
2026-02-23T06:51:40,0
2026-02-23T07:01:37,0
2026-02-23T07:11:35,0
2026-02-23T07:21:32,0.89
2026-02-23T07:31:31,0
2026-02-23T07:41:30,0
2026-02-23T07:51:28,0
2026-02-23T08:01:25,0
2026-02-23T08:11:22,0
2026-02-23T08:21:20,0
2026-02-23T08:31:18,0
2026-02-23T08:41:16,2.17
2026-02-23T08:51:14,0
2026-02-23T09:01:13,1.68
2026-02-23T09:11:11,0.45
2026-02-23T09:21:09,1.97
2026-02-23T09:31:07,1.02
2026-02-23T09:41:05,1.76
2026-02-23T09:51:02,2.59
2026-02-23T10:01:00,2.33
2026-02-23T10:10:57,1.91
2026-02-23T10:20:55,2.97
2026-02-23T10:30:53,2.16
2026-02-23T10:40:51,0.75
2026-02-23T10:50:48,4.87
2026-02-23T11:00:46,4.24
2026-02-23T11:10:43,4.47
2026-02-23T11:20:41,3.65
2026-02-23T11:30:39,2.44
2026-02-23T11:40:37,5.15
2026-02-23T11:50:34,4.56
2026-02-23T12:00:32,6.61
2026-02-23T12:10:30,2.6
2026-02-23T12:20:27,6.88
2026-02-23T12:30:24,5.57
2026-02-23T12:40:22,3.02
2026-02-23T12:50:20,3.17
2026-02-23T13:00:17,6.8
2026-02-23T13:10:15,4.16
2026-02-23T13:20:13,3.35
2026-02-23T13:30:11,5.39
2026-02-23T13:40:08,3.07
2026-02-23T13:50:06,4.12
2026-02-23T14:00:04,2.6
2026-02-23T14:10:03,4.04
2026-02-23T14:20:00,1.82
2026-02-23T14:29:58,1.7
2026-02-23T14:39:56,5.24
2026-02-23T14:49:51,3.46
2026-02-23T14:59:44,2.22
2026-02-23T15:09:41,2.53
2026-02-23T15:19:41,1.32
