datetime,value
2026-02-23T00:00:03,83.29
2026-02-23T00:09:57,82.96
2026-02-23T00:19:54,82.81
2026-02-23T00:29:51,82.58
2026-02-23T00:39:47,82.81
2026-02-23T00:49:44,83.11
2026-02-23T00:59:41,83.14
2026-02-23T01:09:38,83.21
2026-02-23T01:19:34,83.37
2026-02-23T01:29:31,83.32
2026-02-23T01:39:28,83.57
2026-02-23T01:49:25,83.5
2026-02-23T01:59:21,84.08
2026-02-23T02:09:17,83.34
2026-02-23T02:19:15,83.36
2026-02-23T02:29:12,83.67
2026-02-23T02:39:08,83.2
2026-02-23T02:49:05,82.38
2026-02-23T02:59:02,82.28
2026-02-23T03:08:59,79.16
2026-02-23T03:18:55,80.52
2026-02-23T03:28:52,82.02
2026-02-23T03:38:49,82.22
2026-02-23T03:48:45,83.24
2026-02-23T03:58:42,82.6
2026-02-23T04:08:38,84.86
2026-02-23T04:18:35,84.46
2026-02-23T04:28:31,85.51
2026-02-23T04:38:29,87.35
2026-02-23T04:48:25,87.78
2026-02-23T04:58:22,88.11
2026-02-23T05:08:18,88.01
2026-02-23T05:18:15,88.7
2026-02-23T05:28:12,88.61
2026-02-23T05:38:09,88.67
2026-02-23T05:48:05,88.85
2026-02-23T05:58:02,88.87
2026-02-23T06:07:59,88.5
2026-02-23T06:17:55,88.35
2026-02-23T06:27:52,88.84
2026-02-23T06:37:49,88.9
2026-02-23T06:47:46,88.99
2026-02-23T06:57:42,88.7
2026-02-23T07:07:39,88.5
2026-02-23T07:17:36,87.89
2026-02-23T07:27:33,87.87
2026-02-23T07:37:30,87.44
2026-02-23T07:47:27,85.32
2026-02-23T07:57:24,84.4
2026-02-23T08:07:21,84.41
2026-02-23T08:17:17,84.43
2026-02-23T08:27:14,82.14
2026-02-23T08:37:12,82.51
2026-02-23T08:47:08,80.63
2026-02-23T08:57:05,77.06
2026-02-23T09:07:02,76.72
2026-02-23T09:16:59,75.25
2026-02-23T09:26:56,73.07
2026-02-23T09:36:53,73.23
2026-02-23T09:46:50,70.88
2026-02-23T09:56:47,69.41
2026-02-23T10:06:46,63.13
2026-02-23T10:16:44,58
2026-02-23T10:26:41,54.51
2026-02-23T10:36:38,51.85
2026-02-23T10:46:35,53.14
2026-02-23T10:56:32,54.64
2026-02-23T11:06:29,54.29
2026-02-23T11:16:26,54.76
2026-02-23T11:26:23,51.86
2026-02-23T11:36:19,52.1
2026-02-23T11:46:17,52.34
2026-02-23T11:56:13,49.2
2026-02-23T12:06:11,46.58
2026-02-23T12:16:08,44.93
2026-02-23T12:26:05,45.44
2026-02-23T12:36:02,42.61
2026-02-23T12:45:59,44.6
2026-02-23T12:55:54,44.11
2026-02-23T13:05:51,46.62
2026-02-23T13:15:47,49.67
2026-02-23T13:25:45,45.96
2026-02-23T13:35:42,47.61
2026-02-23T13:45:39,47.01
2026-02-23T13:55:35,48.33
2026-02-23T14:05:33,48.75
2026-02-23T14:15:29,48.12
2026-02-23T14:25:26,47.31
2026-02-23T14:35:22,46.71
2026-02-23T14:45:19,49.52
2026-02-23T14:55:15,48.61
2026-02-23T15:05:12,50.57
2026-02-23T15:15:08,50.86
2026-02-23T15:25:05,49.01
