datetime,value
2026-02-23T00:00:03,38
2026-02-23T00:09:58,48
2026-02-23T00:19:55,40
2026-02-23T00:29:51,41
2026-02-23T00:39:48,45
2026-02-23T00:49:45,39
2026-02-23T00:59:41,47
2026-02-23T01:09:38,38
2026-02-23T01:19:35,49
2026-02-23T01:29:32,47
2026-02-23T01:39:28,48
2026-02-23T01:49:25,47
2026-02-23T01:59:21,55
2026-02-23T02:09:18,42
2026-02-23T02:19:15,48
2026-02-23T02:29:12,47
2026-02-23T02:39:08,41
2026-02-23T02:49:06,34
2026-02-23T02:59:02,43
2026-02-23T03:08:59,30
2026-02-23T03:18:56,47
2026-02-23T03:28:52,45
2026-02-23T03:38:49,41
2026-02-23T03:48:46,51
2026-02-23T03:58:42,33
2026-02-23T04:08:39,40
2026-02-23T04:18:35,49
2026-02-23T04:28:32,52
2026-02-23T04:38:29,49
2026-02-23T04:48:25,53
2026-02-23T04:58:22,58
2026-02-23T05:08:19,47
2026-02-23T05:18:15,47
2026-02-23T05:28:12,53
2026-02-23T05:38:09,48
2026-02-23T05:48:06,53
2026-02-23T05:58:03,54
2026-02-23T06:07:59,52
2026-02-23T06:17:56,47
2026-02-23T06:27:52,58
2026-02-23T06:37:50,47
2026-02-23T06:47:46,48
2026-02-23T06:57:43,51
2026-02-23T07:07:40,49
2026-02-23T07:17:36,52
2026-02-23T07:27:33,49
2026-02-23T07:37:30,54
2026-02-23T07:47:27,52
2026-02-23T07:57:24,49
2026-02-23T08:07:21,57
2026-02-23T08:17:18,54
2026-02-23T08:27:14,45
2026-02-23T08:37:12,40
2026-02-23T08:47:09,41
2026-02-23T08:57:06,39
2026-02-23T09:07:03,38
2026-02-23T09:16:59,24
2026-02-23T09:26:56,40
2026-02-23T09:36:54,40
2026-02-23T09:46:51,27
2026-02-23T09:56:48,36
2026-02-23T10:06:46,29
2026-02-23T10:16:44,23
2026-02-23T10:26:42,24
2026-02-23T10:36:39,34
2026-02-23T10:46:36,32
2026-02-23T10:56:33,34
2026-02-23T11:06:29,29
2026-02-23T11:16:26,32
2026-02-23T11:26:23,33
2026-02-23T11:36:20,30
2026-02-23T11:46:17,33
2026-02-23T11:56:14,32
2026-02-23T12:06:11,30
2026-02-23T12:16:08,30
2026-02-23T12:26:05,27
2026-02-23T12:36:02,33
2026-02-23T12:45:59,29
2026-02-23T12:55:54,33
2026-02-23T13:05:52,30
2026-02-23T13:15:48,37
2026-02-23T13:25:45,36
2026-02-23T13:35:43,32
2026-02-23T13:45:40,38
2026-02-23T13:55:36,29
2026-02-23T14:05:33,30
2026-02-23T14:15:30,32
2026-02-23T14:25:26,30
2026-02-23T14:35:23,28
2026-02-23T14:45:19,30
2026-02-23T14:55:15,32
2026-02-23T15:05:12,45
2026-02-23T15:15:08,30
2026-02-23T15:25:05,40
