datetime,value
2026-02-23T00:00:03,32
2026-02-23T00:09:58,37
2026-02-23T00:19:55,35
2026-02-23T00:29:51,36
2026-02-23T00:39:48,34
2026-02-23T00:49:45,35
2026-02-23T00:59:41,36
2026-02-23T01:09:38,35
2026-02-23T01:19:34,40
2026-02-23T01:29:32,36
2026-02-23T01:39:28,41
2026-02-23T01:49:25,36
2026-02-23T01:59:21,42
2026-02-23T02:09:18,37
2026-02-23T02:19:15,36
2026-02-23T02:29:12,36
2026-02-23T02:39:08,36
2026-02-23T02:49:05,32
2026-02-23T02:59:02,36
2026-02-23T03:08:59,30
2026-02-23T03:18:56,35
2026-02-23T03:28:52,34
2026-02-23T03:38:49,36
2026-02-23T03:48:45,39
2026-02-23T03:58:42,32
2026-02-23T04:08:39,35
2026-02-23T04:18:35,36
2026-02-23T04:28:32,39
2026-02-23T04:38:29,39
2026-02-23T04:48:25,41
2026-02-23T04:58:22,46
2026-02-23T05:08:19,36
2026-02-23T05:18:15,41
2026-02-23T05:28:12,41
2026-02-23T05:38:09,41
2026-02-23T05:48:05,42
2026-02-23T05:58:03,40
2026-02-23T06:07:59,41
2026-02-23T06:17:56,40
2026-02-23T06:27:52,46
2026-02-23T06:37:49,41
2026-02-23T06:47:46,41
2026-02-23T06:57:43,41
2026-02-23T07:07:40,41
2026-02-23T07:17:36,42
2026-02-23T07:27:33,40
2026-02-23T07:37:30,43
2026-02-23T07:47:27,42
2026-02-23T07:57:24,42
2026-02-23T08:07:21,44
2026-02-23T08:17:18,41
2026-02-23T08:27:14,36
2026-02-23T08:37:12,36
2026-02-23T08:47:09,35
2026-02-23T08:57:06,30
2026-02-23T09:07:03,33
2026-02-23T09:16:59,21
2026-02-23T09:26:56,30
2026-02-23T09:36:53,32
2026-02-23T09:46:51,21
2026-02-23T09:56:48,30
2026-02-23T10:06:46,27
2026-02-23T10:16:44,22
2026-02-23T10:26:42,24
2026-02-23T10:36:38,31
2026-02-23T10:46:35,31
2026-02-23T10:56:33,30
2026-02-23T11:06:29,29
2026-02-23T11:16:26,31
2026-02-23T11:26:23,32
2026-02-23T11:36:20,30
2026-02-23T11:46:17,31
2026-02-23T11:56:13,23
2026-02-23T12:06:11,30
2026-02-23T12:16:08,30
2026-02-23T12:26:05,25
2026-02-23T12:36:02,28
2026-02-23T12:45:59,27
2026-02-23T12:55:54,32
2026-02-23T13:05:52,28
2026-02-23T13:15:48,33
2026-02-23T13:25:45,32
2026-02-23T13:35:42,30
2026-02-23T13:45:40,31
2026-02-23T13:55:36,29
2026-02-23T14:05:33,29
2026-02-23T14:15:30,30
2026-02-23T14:25:26,23
2026-02-23T14:35:23,28
2026-02-23T14:45:19,30
2026-02-23T14:55:15,31
2026-02-23T15:05:12,39
2026-02-23T15:15:08,30
2026-02-23T15:25:05,31
