datetime,value
2026-02-23T00:00:03,26.23
2026-02-23T00:09:57,26.23
2026-02-23T00:19:54,26.33
2026-02-23T00:29:51,26.38
2026-02-23T00:39:47,26.28
2026-02-23T00:49:44,26.14
2026-02-23T00:59:41,26.04
2026-02-23T01:09:37,26.03
2026-02-23T01:19:34,26.08
2026-02-23T01:29:31,26.16
2026-02-23T01:39:28,26.27
2026-02-23T01:49:25,26.33
2026-02-23T01:59:21,26.33
2026-02-23T02:09:17,26.28
2026-02-23T02:19:14,26.34
2026-02-23T02:29:12,26.27
2026-02-23T02:39:08,26.3
2026-02-23T02:49:05,26.3
2026-02-23T02:59:02,26.24
2026-02-23T03:08:59,26.37
2026-02-23T03:18:55,26.31
2026-02-23T03:28:52,26.17
2026-02-23T03:38:49,26.12
2026-02-23T03:48:45,25.9
2026-02-23T03:58:42,26.1
2026-02-23T04:08:38,25.78
2026-02-23T04:18:35,25.8
2026-02-23T04:28:31,25.95
2026-02-23T04:38:28,25.58
2026-02-23T04:48:25,25.6
2026-02-23T04:58:22,25.44
2026-02-23T05:08:18,25.26
2026-02-23T05:18:15,25.23
2026-02-23T05:28:12,25.1
2026-02-23T05:38:08,25.05
2026-02-23T05:48:05,25.1
2026-02-23T05:58:02,25.09
2026-02-23T06:07:59,25
2026-02-23T06:17:55,24.97
2026-02-23T06:27:52,25.03
2026-02-23T06:37:49,25.1
2026-02-23T06:47:46,25.13
2026-02-23T06:57:42,25.2
2026-02-23T07:07:39,25.27
2026-02-23T07:17:36,25.47
2026-02-23T07:27:33,25.64
2026-02-23T07:37:30,25.88
2026-02-23T07:47:27,26.13
2026-02-23T07:57:24,26.54
2026-02-23T08:07:21,26.95
2026-02-23T08:17:17,26.9
2026-02-23T08:27:14,27.4
2026-02-23T08:37:11,27.33
2026-02-23T08:47:08,28.09
2026-02-23T08:57:05,28.41
2026-02-23T09:07:02,28.72
2026-02-23T09:16:59,28.9
2026-02-23T09:26:56,29.2
2026-02-23T09:36:53,29.52
2026-02-23T09:46:50,29.75
2026-02-23T09:56:47,30.2
2026-02-23T10:06:46,31.99
2026-02-23T10:16:44,33.76
2026-02-23T10:26:41,34.2
2026-02-23T10:36:38,34.64
2026-02-23T10:46:35,35.65
2026-02-23T10:56:32,35.48
2026-02-23T11:06:29,35.44
2026-02-23T11:16:25,35.3
2026-02-23T11:26:23,35.98
2026-02-23T11:36:19,36.26
2026-02-23T11:46:16,35.89
2026-02-23T11:56:13,37.13
2026-02-23T12:06:11,38.37
2026-02-23T12:16:08,39.18
2026-02-23T12:26:05,38.12
2026-02-23T12:36:02,39.36
2026-02-23T12:45:59,38.67
2026-02-23T12:55:54,39.18
2026-02-23T13:05:51,37.95
2026-02-23T13:15:47,37.09
2026-02-23T13:25:45,39.23
2026-02-23T13:35:42,39.11
2026-02-23T13:45:39,39
2026-02-23T13:55:35,38.42
2026-02-23T14:05:33,38.39
2026-02-23T14:15:29,38.66
2026-02-23T14:25:26,38.49
2026-02-23T14:35:22,39
2026-02-23T14:45:19,37.84
2026-02-23T14:55:15,38.23
2026-02-23T15:05:12,37.29
2026-02-23T15:15:08,37.37
2026-02-23T15:25:05,38.11
