datetime,value
2026-02-23T00:00:03,0
2026-02-23T00:09:57,270
2026-02-23T00:19:54,270
2026-02-23T00:29:51,270
2026-02-23T00:39:47,270
2026-02-23T00:49:45,270
2026-02-23T00:59:41,270
2026-02-23T01:09:38,270
2026-02-23T01:19:34,270
2026-02-23T01:29:31,90
2026-02-23T01:39:28,315
2026-02-23T01:49:25,270
2026-02-23T01:59:21,0
2026-02-23T02:09:18,90
2026-02-23T02:19:15,270
2026-02-23T02:29:12,225
2026-02-23T02:39:08,90
2026-02-23T02:49:05,225
2026-02-23T02:59:02,45
2026-02-23T03:08:59,0
2026-02-23T03:18:55,270
2026-02-23T03:28:52,270
2026-02-23T03:38:49,270
2026-02-23T03:48:45,90
2026-02-23T03:58:42,0
2026-02-23T04:08:38,90
2026-02-23T04:18:35,90
2026-02-23T04:28:32,225
2026-02-23T04:38:29,90
2026-02-23T04:48:25,0
2026-02-23T04:58:22,270
2026-02-23T05:08:18,315
2026-02-23T05:18:15,315
2026-02-23T05:28:12,315
2026-02-23T05:38:09,315
2026-02-23T05:48:05,315
2026-02-23T05:58:02,90
2026-02-23T06:07:59,270
2026-02-23T06:17:56,270
2026-02-23T06:27:52,315
2026-02-23T06:37:49,315
2026-02-23T06:47:46,90
2026-02-23T06:57:42,270
2026-02-23T07:07:39,270
2026-02-23T07:17:36,270
2026-02-23T07:27:33,135
2026-02-23T07:37:30,270
2026-02-23T07:47:27,270
2026-02-23T07:57:24,270
2026-02-23T08:07:21,45
2026-02-23T08:17:18,0
2026-02-23T08:27:14,315
2026-02-23T08:37:12,45
2026-02-23T08:47:08,45
2026-02-23T08:57:06,90
2026-02-23T09:07:03,90
2026-02-23T09:16:59,90
2026-02-23T09:26:56,90
2026-02-23T09:36:53,45
2026-02-23T09:46:50,90
2026-02-23T09:56:48,90
2026-02-23T10:06:46,90
2026-02-23T10:16:44,90
2026-02-23T10:26:42,45
2026-02-23T10:36:38,0
2026-02-23T10:46:35,315
2026-02-23T10:56:33,45
2026-02-23T11:06:29,45
2026-02-23T11:16:26,202.5
2026-02-23T11:26:23,270
2026-02-23T11:36:19,270
2026-02-23T11:46:17,90
2026-02-23T11:56:13,135
2026-02-23T12:06:11,225
2026-02-23T12:16:08,180
2026-02-23T12:26:05,337.5
2026-02-23T12:36:02,45
2026-02-23T12:45:59,90
2026-02-23T12:55:54,90
2026-02-23T13:05:51,315
2026-02-23T13:15:47,180
2026-02-23T13:25:45,247.5
2026-02-23T13:35:42,270
2026-02-23T13:45:40,270
2026-02-23T13:55:36,45
2026-02-23T14:05:33,45
2026-02-23T14:15:29,45
2026-02-23T14:25:26,270
2026-02-23T14:35:23,270
2026-02-23T14:45:19,225
2026-02-23T14:55:15,90
2026-02-23T15:05:12,315
2026-02-23T15:15:08,225
2026-02-23T15:25:05,45
