datetime,value
2026-02-23T00:00:03,0
2026-02-23T00:09:57,0.36
2026-02-23T00:19:54,0
2026-02-23T00:29:51,0
2026-02-23T00:39:47,0
2026-02-23T00:49:44,0
2026-02-23T00:59:41,0
2026-02-23T01:09:38,0
2026-02-23T01:19:34,3.15
2026-02-23T01:29:31,0
2026-02-23T01:39:28,1.64
2026-02-23T01:49:25,0
2026-02-23T01:59:21,2.48
2026-02-23T02:09:18,3.21
2026-02-23T02:19:15,4.2
2026-02-23T02:29:12,0.59
2026-02-23T02:39:08,1.43
2026-02-23T02:49:05,0.46
2026-02-23T02:59:02,0.44
2026-02-23T03:08:59,0.14
2026-02-23T03:18:55,1.76
2026-02-23T03:28:52,2.45
2026-02-23T03:38:49,4.14
2026-02-23T03:48:45,3.26
2026-02-23T03:58:42,0.44
2026-02-23T04:08:38,10.43
2026-02-23T04:18:35,2.9
2026-02-23T04:28:32,0
2026-02-23T04:38:29,0
2026-02-23T04:48:25,1.3
2026-02-23T04:58:22,1.79
2026-02-23T05:08:18,0
2026-02-23T05:18:15,0.41
2026-02-23T05:28:12,0.9
2026-02-23T05:38:09,0
2026-02-23T05:48:05,0.69
2026-02-23T05:58:02,0
2026-02-23T06:07:59,0.81
2026-02-23T06:17:55,1.13
2026-02-23T06:27:52,1.51
2026-02-23T06:37:49,0
2026-02-23T06:47:46,0
2026-02-23T06:57:42,0
2026-02-23T07:07:39,0
2026-02-23T07:17:36,0
2026-02-23T07:27:33,0
2026-02-23T07:37:30,1.41
2026-02-23T07:47:27,1.63
2026-02-23T07:57:24,0.53
2026-02-23T08:07:21,0.84
2026-02-23T08:17:17,0.32
2026-02-23T08:27:14,1.27
2026-02-23T08:37:12,1.38
2026-02-23T08:47:08,0
2026-02-23T08:57:05,2.93
2026-02-23T09:07:03,0.63
2026-02-23T09:16:59,4.73
2026-02-23T09:26:56,3.21
2026-02-23T09:36:53,1.34
2026-02-23T09:46:50,4.7
2026-02-23T09:56:47,2.28
2026-02-23T10:06:46,4.48
2026-02-23T10:16:44,5.15
2026-02-23T10:26:41,3.85
2026-02-23T10:36:38,1.71
2026-02-23T10:46:35,1.25
2026-02-23T10:56:32,3.25
2026-02-23T11:06:29,2.82
2026-02-23T11:16:26,1.67
2026-02-23T11:26:23,3.27
2026-02-23T11:36:19,3.61
2026-02-23T11:46:17,0.85
2026-02-23T11:56:13,5.36
2026-02-23T12:06:11,1.2
2026-02-23T12:16:08,1.51
2026-02-23T12:26:05,0.29
2026-02-23T12:36:02,5.11
2026-02-23T12:45:59,11.54
2026-02-23T12:55:54,1.46
2026-02-23T13:05:51,12.19
2026-02-23T13:15:47,1.61
2026-02-23T13:25:45,2.37
2026-02-23T13:35:42,1.32
2026-02-23T13:45:39,5.4
2026-02-23T13:55:36,2.7
2026-02-23T14:05:33,3.24
2026-02-23T14:15:29,2.71
2026-02-23T14:25:26,8.47
2026-02-23T14:35:23,10.08
2026-02-23T14:45:19,3.45
2026-02-23T14:55:15,0.95
2026-02-23T15:05:12,12.16
2026-02-23T15:15:08,0.7
2026-02-23T15:25:05,3.38
