datetime,value
2026-02-23T00:03:58,67.59
2026-02-23T00:13:55,68.07
2026-02-23T00:23:52,67.51
2026-02-23T00:33:49,68.62
2026-02-23T00:43:46,68.26
2026-02-23T00:53:44,68.2
2026-02-23T01:03:41,68.25
2026-02-23T01:13:38,68.53
2026-02-23T01:23:35,68.68
2026-02-23T01:33:32,68.06
2026-02-23T01:43:29,68.12
2026-02-23T01:53:26,68.72
2026-02-23T02:03:23,68.69
2026-02-23T02:13:20,69.3
2026-02-23T02:23:17,69.71
2026-02-23T02:33:14,71.26
2026-02-23T02:43:11,71.51
2026-02-23T02:53:08,72.25
2026-02-23T03:03:05,71.73
2026-02-23T03:13:02,71.82
2026-02-23T03:22:59,72.36
2026-02-23T03:32:56,72.15
2026-02-23T03:42:53,71.22
2026-02-23T03:52:50,71.76
2026-02-23T04:02:47,71.91
2026-02-23T04:12:44,73.35
2026-02-23T04:22:41,73.91
2026-02-23T04:32:38,73.37
2026-02-23T04:42:35,74.49
2026-02-23T04:52:32,74.39
2026-02-23T05:02:29,74.47
2026-02-23T05:12:26,74.59
2026-02-23T05:22:23,74.31
2026-02-23T05:32:20,75.04
2026-02-23T05:42:17,75.39
2026-02-23T05:52:14,75.72
2026-02-23T06:02:11,76.26
2026-02-23T06:12:08,76.05
2026-02-23T06:22:05,76.64
2026-02-23T06:32:02,76.32
2026-02-23T06:41:59,76.77
2026-02-23T06:51:56,76.63
2026-02-23T07:01:53,76.89
2026-02-23T07:11:50,75.88
2026-02-23T07:21:47,73.83
2026-02-23T07:31:45,72.88
2026-02-23T07:41:42,69.35
2026-02-23T07:51:40,69.39
2026-02-23T08:01:37,68.2
2026-02-23T08:11:35,66.56
2026-02-23T08:21:32,63.98
2026-02-23T08:31:30,61.26
2026-02-23T08:41:28,59.28
2026-02-23T08:51:25,58.4
2026-02-23T09:01:22,57.47
2026-02-23T09:11:19,54.45
2026-02-23T09:21:17,51.79
2026-02-23T09:31:15,48.76
2026-02-23T09:41:13,46.88
2026-02-23T09:51:11,46.38
2026-02-23T10:01:08,45.75
2026-02-23T10:11:05,44.78
2026-02-23T10:21:03,44.93
2026-02-23T10:30:59,44.2
2026-02-23T10:40:57,43.37
2026-02-23T10:50:54,42.86
2026-02-23T11:00:51,42.21
2026-02-23T11:10:49,40.31
2026-02-23T11:20:45,41.11
2026-02-23T11:30:41,41.15
2026-02-23T11:40:40,39.96
2026-02-23T11:50:36,39.65
2026-02-23T12:00:33,40.85
2026-02-23T12:10:31,39.41
2026-02-23T12:20:26,42.29
2026-02-23T12:30:22,43.46
2026-02-23T12:40:19,44.34
2026-02-23T12:50:15,45.17
2026-02-23T13:00:13,41.2
2026-02-23T13:10:12,39.43
2026-02-23T13:20:08,42.04
2026-02-23T13:30:04,42.64
2026-02-23T13:40:03,43.49
2026-02-23T13:49:58,45.24
2026-02-23T13:59:54,47.57
2026-02-23T14:09:51,53.21
2026-02-23T14:19:47,49.6
2026-02-23T14:29:43,47.71
2026-02-23T14:39:40,46.86
2026-02-23T14:49:37,51.13
2026-02-23T14:59:33,55.38
2026-02-23T15:09:31,48.88
2026-02-23T15:19:29,46.34
