datetime,value
2026-02-23T00:03:59,50
2026-02-23T00:13:55,48
2026-02-23T00:23:52,49
2026-02-23T00:33:50,54
2026-02-23T00:43:47,56
2026-02-23T00:53:44,58
2026-02-23T01:03:41,62
2026-02-23T01:13:38,67
2026-02-23T01:23:35,61
2026-02-23T01:33:32,61
2026-02-23T01:43:29,63
2026-02-23T01:53:26,57
2026-02-23T02:03:23,62
2026-02-23T02:13:20,60
2026-02-23T02:23:17,58
2026-02-23T02:33:14,67
2026-02-23T02:43:11,68
2026-02-23T02:53:08,67
2026-02-23T03:03:05,65
2026-02-23T03:13:02,54
2026-02-23T03:22:59,63
2026-02-23T03:32:56,66
2026-02-23T03:42:53,55
2026-02-23T03:52:50,54
2026-02-23T04:02:47,51
2026-02-23T04:12:44,49
2026-02-23T04:22:41,57
2026-02-23T04:32:38,55
2026-02-23T04:42:35,47
2026-02-23T04:52:32,40
2026-02-23T05:02:29,52
2026-02-23T05:12:26,50
2026-02-23T05:22:23,51
2026-02-23T05:32:20,49
2026-02-23T05:42:17,56
2026-02-23T05:52:14,53
2026-02-23T06:02:11,57
2026-02-23T06:12:08,56
2026-02-23T06:22:05,62
2026-02-23T06:32:02,53
2026-02-23T06:41:59,41
2026-02-23T06:51:56,53
2026-02-23T07:01:53,50
2026-02-23T07:11:50,48
2026-02-23T07:21:48,52
2026-02-23T07:31:45,61
2026-02-23T07:41:43,63
2026-02-23T07:51:40,62
2026-02-23T08:01:38,67
2026-02-23T08:11:35,63
2026-02-23T08:21:32,62
2026-02-23T08:31:30,60
2026-02-23T08:41:28,65
2026-02-23T08:51:26,61
2026-02-23T09:01:23,63
2026-02-23T09:11:20,66
2026-02-23T09:21:18,61
2026-02-23T09:31:16,67
2026-02-23T09:41:14,68
2026-02-23T09:51:11,66
2026-02-23T10:01:09,69
2026-02-23T10:11:06,66
2026-02-23T10:21:03,78
2026-02-23T10:31:00,74
2026-02-23T10:40:58,71
2026-02-23T10:50:55,73
2026-02-23T11:00:52,71
2026-02-23T11:10:49,69
2026-02-23T11:20:46,69
2026-02-23T11:30:42,67
2026-02-23T11:40:40,67
2026-02-23T11:50:37,67
2026-02-23T12:00:34,65
2026-02-23T12:10:31,67
2026-02-23T12:20:27,68
2026-02-23T12:30:23,56
2026-02-23T12:40:19,65
2026-02-23T12:50:16,62
2026-02-23T13:00:14,67
2026-02-23T13:10:13,62
2026-02-23T13:20:08,63
2026-02-23T13:30:05,61
2026-02-23T13:40:03,63
2026-02-23T13:49:58,61
2026-02-23T13:59:55,68
2026-02-23T14:09:51,69
2026-02-23T14:19:47,51
2026-02-23T14:29:44,36
2026-02-23T14:39:41,27
2026-02-23T14:49:37,24
2026-02-23T14:59:34,24
2026-02-23T15:09:31,25
2026-02-23T15:19:30,21
