datetime,value
2026-02-23T00:03:58,41
2026-02-23T00:13:55,39
2026-02-23T00:23:52,41
2026-02-23T00:33:49,44
2026-02-23T00:43:46,44
2026-02-23T00:53:44,42
2026-02-23T01:03:41,46
2026-02-23T01:13:38,53
2026-02-23T01:23:35,48
2026-02-23T01:33:32,49
2026-02-23T01:43:29,50
2026-02-23T01:53:26,47
2026-02-23T02:03:23,47
2026-02-23T02:13:20,45
2026-02-23T02:23:17,48
2026-02-23T02:33:14,54
2026-02-23T02:43:11,49
2026-02-23T02:53:08,50
2026-02-23T03:03:05,49
2026-02-23T03:13:02,43
2026-02-23T03:22:59,48
2026-02-23T03:32:56,46
2026-02-23T03:42:53,44
2026-02-23T03:52:50,44
2026-02-23T04:02:47,36
2026-02-23T04:12:44,42
2026-02-23T04:22:41,45
2026-02-23T04:32:38,42
2026-02-23T04:42:35,36
2026-02-23T04:52:32,36
2026-02-23T05:02:29,40
2026-02-23T05:12:26,41
2026-02-23T05:22:23,42
2026-02-23T05:32:20,39
2026-02-23T05:42:17,44
2026-02-23T05:52:14,42
2026-02-23T06:02:11,41
2026-02-23T06:12:08,44
2026-02-23T06:22:05,44
2026-02-23T06:32:02,40
2026-02-23T06:41:59,35
2026-02-23T06:51:56,42
2026-02-23T07:01:53,41
2026-02-23T07:11:50,39
2026-02-23T07:21:47,41
2026-02-23T07:31:45,45
2026-02-23T07:41:43,47
2026-02-23T07:51:40,48
2026-02-23T08:01:38,49
2026-02-23T08:11:35,47
2026-02-23T08:21:32,44
2026-02-23T08:31:30,45
2026-02-23T08:41:28,48
2026-02-23T08:51:26,48
2026-02-23T09:01:23,49
2026-02-23T09:11:20,49
2026-02-23T09:21:18,49
2026-02-23T09:31:16,52
2026-02-23T09:41:13,54
2026-02-23T09:51:11,51
2026-02-23T10:01:08,53
2026-02-23T10:11:06,52
2026-02-23T10:21:03,68
2026-02-23T10:31:00,62
2026-02-23T10:40:58,60
2026-02-23T10:50:55,60
2026-02-23T11:00:51,56
2026-02-23T11:10:49,56
2026-02-23T11:20:46,52
2026-02-23T11:30:42,52
2026-02-23T11:40:40,56
2026-02-23T11:50:37,56
2026-02-23T12:00:34,54
2026-02-23T12:10:31,52
2026-02-23T12:20:27,50
2026-02-23T12:30:23,46
2026-02-23T12:40:19,50
2026-02-23T12:50:16,50
2026-02-23T13:00:14,50
2026-02-23T13:10:13,51
2026-02-23T13:20:08,52
2026-02-23T13:30:05,49
2026-02-23T13:40:03,50
2026-02-23T13:49:58,50
2026-02-23T13:59:55,56
2026-02-23T14:09:51,58
2026-02-23T14:19:47,42
2026-02-23T14:29:43,33
2026-02-23T14:39:41,25
2026-02-23T14:49:37,21
2026-02-23T14:59:33,21
2026-02-23T15:09:31,20
2026-02-23T15:19:30,21
