datetime,value
2026-02-23T00:03:58,25.01
2026-02-23T00:13:55,25.18
2026-02-23T00:23:52,25.26
2026-02-23T00:33:49,25.24
2026-02-23T00:43:46,25.17
2026-02-23T00:53:44,25.14
2026-02-23T01:03:41,24.94
2026-02-23T01:13:38,24.79
2026-02-23T01:23:35,25.01
2026-02-23T01:33:32,25.13
2026-02-23T01:43:29,25.17
2026-02-23T01:53:26,25.13
2026-02-23T02:03:23,24.97
2026-02-23T02:13:20,24.8
2026-02-23T02:23:17,24.7
2026-02-23T02:33:13,24.58
2026-02-23T02:43:10,24.52
2026-02-23T02:53:07,24.44
2026-02-23T03:03:04,24.21
2026-02-23T03:13:01,24.38
2026-02-23T03:22:59,24.4
2026-02-23T03:32:56,24.36
2026-02-23T03:42:53,24.29
2026-02-23T03:52:50,24.09
2026-02-23T04:02:47,23.96
2026-02-23T04:12:44,23.73
2026-02-23T04:22:41,23.64
2026-02-23T04:32:37,23.67
2026-02-23T04:42:34,23.6
2026-02-23T04:52:31,23.5
2026-02-23T05:02:28,23.32
2026-02-23T05:12:25,23.35
2026-02-23T05:22:22,23.35
2026-02-23T05:32:19,23.18
2026-02-23T05:42:16,23.07
2026-02-23T05:52:13,23.07
2026-02-23T06:02:10,22.88
2026-02-23T06:12:07,22.84
2026-02-23T06:22:04,22.77
2026-02-23T06:32:01,22.59
2026-02-23T06:41:58,22.4
2026-02-23T06:51:55,22.42
2026-02-23T07:01:52,22.7
2026-02-23T07:11:49,22.99
2026-02-23T07:21:47,23.73
2026-02-23T07:31:45,24.38
2026-02-23T07:41:42,25.1
2026-02-23T07:51:40,25.25
2026-02-23T08:01:37,25.8
2026-02-23T08:11:35,26.34
2026-02-23T08:21:32,27.11
2026-02-23T08:31:30,28.25
2026-02-23T08:41:28,29.09
2026-02-23T08:51:25,29.62
2026-02-23T09:01:22,29.52
2026-02-23T09:11:19,30.49
2026-02-23T09:21:17,31.55
2026-02-23T09:31:15,33.09
2026-02-23T09:41:13,34.11
2026-02-23T09:51:11,34.43
2026-02-23T10:01:08,35.04
2026-02-23T10:11:05,35.79
2026-02-23T10:21:03,36.12
2026-02-23T10:30:59,36.52
2026-02-23T10:40:57,36.87
2026-02-23T10:50:54,37.27
2026-02-23T11:00:51,37.62
2026-02-23T11:10:49,38.21
2026-02-23T11:20:45,38.03
2026-02-23T11:30:41,38.26
2026-02-23T11:40:40,38.99
2026-02-23T11:50:36,38.96
2026-02-23T12:00:33,38.03
2026-02-23T12:10:31,39.21
2026-02-23T12:20:26,36.79
2026-02-23T12:30:22,36.45
2026-02-23T12:40:19,35.57
2026-02-23T12:50:15,35.61
2026-02-23T13:00:13,37.77
2026-02-23T13:10:12,39.19
2026-02-23T13:20:08,37.42
2026-02-23T13:30:04,36.73
2026-02-23T13:40:03,36.28
2026-02-23T13:49:58,35.52
2026-02-23T13:59:54,35.05
2026-02-23T14:09:51,33.01
2026-02-23T14:19:47,31.95
2026-02-23T14:29:43,31.51
2026-02-23T14:39:40,31.19
2026-02-23T14:49:37,30.59
2026-02-23T14:59:33,29.76
2026-02-23T15:09:31,31.45
2026-02-23T15:19:29,33.3
