datetime,value
2026-02-23T00:07:38,84.6
2026-02-23T00:17:35,85.41
2026-02-23T00:27:32,85.07
2026-02-23T00:37:27,84.28
2026-02-23T00:47:24,84.52
2026-02-23T00:57:20,83.89
2026-02-23T01:07:18,85.26
2026-02-23T01:17:13,85.55
2026-02-23T01:27:10,83.44
2026-02-23T01:37:07,83.93
2026-02-23T01:47:03,84.19
2026-02-23T01:57:00,83.49
2026-02-23T02:06:56,82.43
2026-02-23T02:16:54,83.69
2026-02-23T02:26:50,85.05
2026-02-23T02:36:47,86.51
2026-02-23T02:46:44,87.54
2026-02-23T02:56:40,87.88
2026-02-23T03:06:36,87
2026-02-23T03:16:32,87.08
2026-02-23T03:26:29,85.82
2026-02-23T03:36:26,84.99
2026-02-23T04:36:05,86.31
2026-02-23T04:46:01,86.31
2026-02-23T04:55:58,86.57
2026-02-23T05:05:54,86.94
2026-02-23T05:15:51,87.21
2026-02-23T05:25:48,87.37
2026-02-23T05:35:45,87.35
2026-02-23T05:45:41,87.53
2026-02-23T05:55:38,87.82
2026-02-23T06:05:34,88.37
2026-02-23T06:15:31,88.82
2026-02-23T06:25:28,88.67
2026-02-23T06:35:25,88.51
2026-02-23T06:45:21,88.42
2026-02-23T06:55:18,88.29
2026-02-23T07:05:15,87.83
2026-02-23T07:15:12,87.45
2026-02-23T07:25:09,86.31
2026-02-23T07:35:10,86.07
2026-02-23T07:45:03,85.22
2026-02-23T07:55:00,83.59
2026-02-23T08:04:57,80.73
2026-02-23T08:14:54,78.4
2026-02-23T08:24:53,76.09
2026-02-23T08:34:50,76.55
2026-02-23T08:44:46,72.44
2026-02-23T08:54:44,71.3
2026-02-23T09:04:41,69.88
2026-02-23T09:14:37,68.86
2026-02-23T09:24:36,65.57
2026-02-23T09:34:32,64.26
2026-02-23T09:44:28,66.38
2026-02-23T09:54:26,63.24
2026-02-23T10:04:23,59.7
2026-02-23T10:14:20,59.68
2026-02-23T10:24:17,56.07
2026-02-23T11:04:13,54.47
2026-02-23T11:14:03,51.45
2026-02-23T11:23:59,52.49
2026-02-23T11:33:55,52.06
2026-02-23T11:43:53,49.34
2026-02-23T11:53:50,51.55
2026-02-23T12:03:51,49.9
2026-02-23T12:13:43,49.63
2026-02-23T12:23:39,48.5
2026-02-23T12:33:36,48.6
2026-02-23T12:43:32,48.67
2026-02-23T12:53:29,47.51
2026-02-23T13:03:26,48.3
2026-02-23T13:13:25,47.06
2026-02-23T13:23:19,47.65
2026-02-23T13:33:16,49.18
2026-02-23T13:43:12,49.83
2026-02-23T13:53:10,47.35
2026-02-23T14:03:05,50.83
2026-02-23T14:13:02,50.13
2026-02-23T14:22:58,49.79
2026-02-23T14:32:54,54.42
2026-02-23T14:42:49,52.3
2026-02-23T14:52:46,53.52
2026-02-23T15:02:42,52.9
2026-02-23T15:12:38,53.66
2026-02-23T15:22:35,54.88
