datetime,value
2026-02-23T00:07:39,62
2026-02-23T00:17:36,63
2026-02-23T00:27:32,66
2026-02-23T00:37:27,62
2026-02-23T00:47:24,66
2026-02-23T00:57:21,63
2026-02-23T01:07:19,60
2026-02-23T01:17:14,54
2026-02-23T01:27:11,58
2026-02-23T01:37:08,60
2026-02-23T01:47:04,69
2026-02-23T01:57:01,56
2026-02-23T02:06:57,57
2026-02-23T02:16:56,61
2026-02-23T02:26:50,66
2026-02-23T02:36:47,65
2026-02-23T02:46:45,66
2026-02-23T02:56:40,65
2026-02-23T03:06:36,57
2026-02-23T03:16:33,66
2026-02-23T03:26:30,65
2026-02-23T03:36:26,69
2026-02-23T04:26:37,75
2026-02-23T04:36:06,70
2026-02-23T04:46:02,71
2026-02-23T04:55:59,67
2026-02-23T05:05:55,66
2026-02-23T05:15:52,73
2026-02-23T05:25:48,63
2026-02-23T05:35:45,69
2026-02-23T05:45:42,73
2026-02-23T05:55:39,65
2026-02-23T06:05:35,69
2026-02-23T06:15:32,84
2026-02-23T06:25:28,79
2026-02-23T06:35:26,65
2026-02-23T06:45:22,80
2026-02-23T06:55:19,76
2026-02-23T07:05:16,76
2026-02-23T07:15:12,73
2026-02-23T07:25:10,76
2026-02-23T07:35:11,73
2026-02-23T07:45:04,70
2026-02-23T07:55:01,76
2026-02-23T08:04:58,73
2026-02-23T08:15:01,77
2026-02-23T08:24:54,72
2026-02-23T08:34:52,64
2026-02-23T08:44:47,65
2026-02-23T08:54:45,68
2026-02-23T09:04:43,66
2026-02-23T09:14:38,72
2026-02-23T09:24:38,71
2026-02-23T09:34:34,59
2026-02-23T09:44:30,65
2026-02-23T09:54:28,54
2026-02-23T10:04:27,52
2026-02-23T10:14:23,65
2026-02-23T10:24:18,61
2026-02-23T11:04:16,68
2026-02-23T11:14:05,54
2026-02-23T11:24:00,68
2026-02-23T11:33:56,60
2026-02-23T11:43:54,58
2026-02-23T11:53:51,58
2026-02-23T12:03:53,55
2026-02-23T12:13:44,58
2026-02-23T12:23:41,53
2026-02-23T12:33:37,47
2026-02-23T12:43:33,49
2026-02-23T12:53:30,63
2026-02-23T13:03:27,55
2026-02-23T13:13:30,54
2026-02-23T13:23:20,62
2026-02-23T13:33:17,57
2026-02-23T13:43:15,56
2026-02-23T13:53:12,49
2026-02-23T14:03:07,48
2026-02-23T14:13:03,40
2026-02-23T14:22:59,48
2026-02-23T14:32:55,48
2026-02-23T14:42:50,50
2026-02-23T14:52:47,48
2026-02-23T15:02:44,49
2026-02-23T15:12:38,53
2026-02-23T15:22:38,48
