datetime,value
2026-02-23T00:07:39,46
2026-02-23T00:17:36,47
2026-02-23T00:27:32,47
2026-02-23T00:37:27,46
2026-02-23T00:47:24,47
2026-02-23T00:57:21,45
2026-02-23T01:07:19,46
2026-02-23T01:17:14,44
2026-02-23T01:27:11,48
2026-02-23T01:37:08,46
2026-02-23T01:47:04,49
2026-02-23T01:57:01,42
2026-02-23T02:06:57,44
2026-02-23T02:16:55,48
2026-02-23T02:26:50,48
2026-02-23T02:36:47,50
2026-02-23T02:46:45,48
2026-02-23T02:56:40,48
2026-02-23T03:06:36,47
2026-02-23T03:16:33,50
2026-02-23T03:26:30,48
2026-02-23T03:36:26,47
2026-02-23T04:26:37,56
2026-02-23T04:36:06,55
2026-02-23T04:46:02,51
2026-02-23T04:55:58,51
2026-02-23T05:05:55,51
2026-02-23T05:15:51,54
2026-02-23T05:25:48,51
2026-02-23T05:35:45,56
2026-02-23T05:45:42,51
2026-02-23T05:55:39,51
2026-02-23T06:05:35,53
2026-02-23T06:15:32,62
2026-02-23T06:25:28,60
2026-02-23T06:35:26,52
2026-02-23T06:45:22,60
2026-02-23T06:55:19,67
2026-02-23T07:05:15,68
2026-02-23T07:15:12,52
2026-02-23T07:25:09,58
2026-02-23T07:35:11,54
2026-02-23T07:45:04,55
2026-02-23T07:55:01,62
2026-02-23T08:04:58,52
2026-02-23T08:14:56,60
2026-02-23T08:24:54,61
2026-02-23T08:34:52,51
2026-02-23T08:44:47,51
2026-02-23T08:54:45,53
2026-02-23T09:04:43,48
2026-02-23T09:14:38,56
2026-02-23T09:24:38,56
2026-02-23T09:34:34,47
2026-02-23T09:44:29,50
2026-02-23T09:54:27,44
2026-02-23T10:04:27,44
2026-02-23T10:14:23,45
2026-02-23T10:24:17,50
2026-02-23T11:04:16,49
2026-02-23T11:14:05,43
2026-02-23T11:24:00,52
2026-02-23T11:33:56,48
2026-02-23T11:43:54,44
2026-02-23T11:53:51,46
2026-02-23T12:03:53,45
2026-02-23T12:13:44,44
2026-02-23T12:23:40,43
2026-02-23T12:33:37,37
2026-02-23T12:43:33,39
2026-02-23T12:53:30,43
2026-02-23T13:03:27,44
2026-02-23T13:13:30,43
2026-02-23T13:23:20,48
2026-02-23T13:33:17,43
2026-02-23T13:43:14,42
2026-02-23T13:53:11,42
2026-02-23T14:03:06,41
2026-02-23T14:13:03,33
2026-02-23T14:22:59,35
2026-02-23T14:32:55,40
2026-02-23T14:42:50,41
2026-02-23T14:52:47,39
2026-02-23T15:02:43,40
2026-02-23T15:12:38,41
2026-02-23T15:22:38,37
