datetime,value
2026-02-23T00:07:38,26.44
2026-02-23T00:17:34,26.26
2026-02-23T00:27:31,26.15
2026-02-23T00:37:27,26.21
2026-02-23T00:47:24,26.23
2026-02-23T00:57:20,26.23
2026-02-23T01:07:18,26.05
2026-02-23T01:17:13,26.02
2026-02-23T01:27:10,26.13
2026-02-23T01:37:07,26.23
2026-02-23T01:47:03,26.22
2026-02-23T01:57:00,26.15
2026-02-23T02:06:56,26.22
2026-02-23T02:16:54,26.15
2026-02-23T02:26:50,26.06
2026-02-23T02:36:46,25.88
2026-02-23T02:46:44,25.76
2026-02-23T02:56:39,25.76
2026-02-23T03:06:36,25.78
2026-02-23T03:16:32,25.84
2026-02-23T03:26:29,25.89
2026-02-23T03:36:26,25.92
2026-02-23T04:36:05,25.63
2026-02-23T04:46:01,25.67
2026-02-23T04:55:58,25.71
2026-02-23T05:05:54,25.7
2026-02-23T05:15:51,25.7
2026-02-23T05:25:48,25.68
2026-02-23T05:35:45,25.71
2026-02-23T05:45:41,25.71
2026-02-23T05:55:38,25.67
2026-02-23T06:05:34,25.46
2026-02-23T06:15:31,25.33
2026-02-23T06:25:27,25.37
2026-02-23T06:35:25,25.46
2026-02-23T06:45:21,25.53
2026-02-23T06:55:18,25.54
2026-02-23T07:05:15,25.71
2026-02-23T07:15:12,25.94
2026-02-23T07:25:09,26.3
2026-02-23T07:35:10,26.42
2026-02-23T07:45:03,26.8
2026-02-23T07:55:00,27.22
2026-02-23T08:04:57,28.19
2026-02-23T08:14:54,28.63
2026-02-23T08:24:52,29.37
2026-02-23T08:34:50,29.43
2026-02-23T08:44:46,30.68
2026-02-23T08:54:44,30.88
2026-02-23T09:04:41,31.23
2026-02-23T09:14:37,31.43
2026-02-23T09:24:36,32.67
2026-02-23T09:34:32,32.84
2026-02-23T09:44:28,32.46
2026-02-23T09:54:26,32.95
2026-02-23T10:04:23,34.03
2026-02-23T10:14:20,34.18
2026-02-23T10:24:17,35.64
2026-02-23T11:14:03,37.02
2026-02-23T11:23:59,37.01
2026-02-23T11:33:55,37.37
2026-02-23T11:43:53,38.37
2026-02-23T11:53:50,38.18
2026-02-23T12:13:43,38.29
2026-02-23T12:23:39,38.37
2026-02-23T12:33:36,38.23
2026-02-23T12:43:31,37.68
2026-02-23T12:53:29,38.02
2026-02-23T13:03:25,39.06
2026-02-23T13:13:24,39.36
2026-02-23T13:23:19,39.75
2026-02-23T13:33:16,39.48
2026-02-23T13:43:12,38.71
2026-02-23T13:53:10,39.57
2026-02-23T14:03:05,38.8
2026-02-23T14:13:02,38.32
2026-02-23T14:22:58,37.74
2026-02-23T14:32:53,36.71
2026-02-23T14:42:49,36.92
2026-02-23T14:52:45,36.57
2026-02-23T15:02:42,35.83
2026-02-23T15:12:37,35.74
2026-02-23T15:22:35,35.8
