datetime,value
2026-02-23T00:07:38,270
2026-02-23T00:17:35,270
2026-02-23T00:27:32,270
2026-02-23T00:37:27,270
2026-02-23T00:47:24,270
2026-02-23T00:57:21,270
2026-02-23T01:07:19,270
2026-02-23T01:17:14,270
2026-02-23T01:27:10,270
2026-02-23T01:37:07,270
2026-02-23T01:47:03,270
2026-02-23T01:57:00,270
2026-02-23T02:06:56,270
2026-02-23T02:16:55,270
2026-02-23T02:26:50,270
2026-02-23T02:36:47,270
2026-02-23T02:46:44,270
2026-02-23T02:56:40,270
2026-02-23T03:06:36,270
2026-02-23T03:16:33,270
2026-02-23T03:26:29,45
2026-02-23T03:36:26,90
2026-02-23T04:36:05,90
2026-02-23T04:46:01,90
2026-02-23T04:55:58,90
2026-02-23T05:05:54,90
2026-02-23T05:15:51,90
2026-02-23T05:25:48,90
2026-02-23T05:35:45,90
2026-02-23T05:45:41,90
2026-02-23T05:55:39,90
2026-02-23T06:05:35,90
2026-02-23T06:15:32,270
2026-02-23T06:25:28,270
2026-02-23T06:35:26,315
2026-02-23T06:45:21,315
2026-02-23T06:55:19,315
2026-02-23T07:05:15,45
2026-02-23T07:15:12,45
2026-02-23T07:25:09,45
2026-02-23T07:35:11,45
2026-02-23T07:45:03,45
2026-02-23T07:55:00,247.5
2026-02-23T08:04:58,270
2026-02-23T08:14:55,45
2026-02-23T08:24:53,225
2026-02-23T08:34:51,45
2026-02-23T08:44:47,45
2026-02-23T08:54:45,45
2026-02-23T09:04:42,67.5
2026-02-23T09:14:38,315
2026-02-23T09:24:36,90
2026-02-23T09:34:33,90
2026-02-23T09:44:29,90
2026-02-23T09:54:26,90
2026-02-23T10:04:27,45
2026-02-23T10:14:21,67.5
2026-02-23T10:24:17,292.5
2026-02-23T11:04:15,135
2026-02-23T11:14:04,45
2026-02-23T11:23:59,90
2026-02-23T11:33:55,135
2026-02-23T11:43:53,45
2026-02-23T11:53:50,90
2026-02-23T12:03:52,270
2026-02-23T12:13:43,90
2026-02-23T12:23:40,90
2026-02-23T12:33:36,90
2026-02-23T12:43:32,90
2026-02-23T12:53:30,90
2026-02-23T13:03:26,90
2026-02-23T13:13:26,90
2026-02-23T13:23:19,90
2026-02-23T13:33:17,0
2026-02-23T13:43:14,45
2026-02-23T13:53:10,45
2026-02-23T14:03:06,90
2026-02-23T14:13:03,0
2026-02-23T14:22:59,90
2026-02-23T14:32:55,90
2026-02-23T14:42:49,22.5
2026-02-23T14:52:46,45
2026-02-23T15:02:43,45
2026-02-23T15:12:38,112.5
2026-02-23T15:22:37,135
