datetime,value
2026-02-23T00:07:38,0
2026-02-23T00:17:35,0
2026-02-23T00:27:32,0
2026-02-23T00:37:27,0
2026-02-23T00:47:24,0
2026-02-23T00:57:20,0
2026-02-23T01:07:19,0
2026-02-23T01:17:13,1.2
2026-02-23T01:27:10,0
2026-02-23T01:37:07,0
2026-02-23T01:47:03,0
2026-02-23T01:57:00,0
2026-02-23T02:06:56,0
2026-02-23T02:16:54,0
2026-02-23T02:26:50,0
2026-02-23T02:36:47,0
2026-02-23T02:46:44,0
2026-02-23T02:56:40,0
2026-02-23T03:06:36,0
2026-02-23T03:16:32,0
2026-02-23T03:26:29,0
2026-02-23T03:36:26,0
2026-02-23T04:36:05,1.15
2026-02-23T04:46:01,1.24
2026-02-23T04:55:58,0
2026-02-23T05:05:54,0
2026-02-23T05:15:51,0.73
2026-02-23T05:25:48,0
2026-02-23T05:35:45,0
2026-02-23T05:45:41,0
2026-02-23T05:55:38,0
2026-02-23T06:05:34,0.99
2026-02-23T06:15:31,0.68
2026-02-23T06:25:28,0
2026-02-23T06:35:26,0
2026-02-23T06:45:21,0
2026-02-23T06:55:18,0
2026-02-23T07:05:15,0.79
2026-02-23T07:15:12,0
2026-02-23T07:25:09,0
2026-02-23T07:35:10,1.22
2026-02-23T07:45:03,0
2026-02-23T07:55:00,0
2026-02-23T08:04:58,0
2026-02-23T08:14:55,0.38
2026-02-23T08:24:53,1.09
2026-02-23T08:34:51,2.92
2026-02-23T08:44:47,2.31
2026-02-23T08:54:45,1.4
2026-02-23T09:04:42,2.79
2026-02-23T09:14:38,0
2026-02-23T09:24:36,0
2026-02-23T09:34:33,4.07
2026-02-23T09:44:28,2.8
2026-02-23T09:54:26,2.82
2026-02-23T10:04:24,3.23
2026-02-23T10:14:20,4.59
2026-02-23T10:24:17,1.26
2026-02-23T11:04:14,1.91
2026-02-23T11:14:04,2.77
2026-02-23T11:23:59,3.14
2026-02-23T11:33:55,3.05
2026-02-23T11:43:53,4.77
2026-02-23T11:53:50,3.73
2026-02-23T12:03:52,1.1
2026-02-23T12:13:43,3.53
2026-02-23T12:23:40,2.83
2026-02-23T12:33:36,8.3
2026-02-23T12:43:32,3.41
2026-02-23T12:53:29,4.13
2026-02-23T13:03:26,2.7
2026-02-23T13:13:25,3.62
2026-02-23T13:23:19,6.36
2026-02-23T13:33:16,2.17
2026-02-23T13:43:13,4.81
2026-02-23T13:53:10,2.93
2026-02-23T14:03:06,3
2026-02-23T14:13:02,4.56
2026-02-23T14:22:58,7.45
2026-02-23T14:32:54,3.88
2026-02-23T14:42:49,2.03
2026-02-23T14:52:46,2.46
2026-02-23T15:02:42,0.5
2026-02-23T15:12:38,1.82
2026-02-23T15:22:36,4.59
