datetime,value
2026-02-23T00:06:59,69.25
2026-02-23T00:16:56,69.25
2026-02-23T00:26:53,69.34
2026-02-23T00:36:49,69.33
2026-02-23T00:46:46,69.43
2026-02-23T00:56:42,69.42
2026-02-23T01:06:39,69.55
2026-02-23T01:16:36,69.52
2026-02-23T01:26:33,69.55
2026-02-23T01:36:30,69.61
2026-02-23T01:46:27,69.7
2026-02-23T01:56:23,69.78
2026-02-23T02:06:20,69.7
2026-02-23T02:16:17,69.75
2026-02-23T02:26:13,69.78
2026-02-23T02:36:10,69.72
2026-02-23T02:46:07,69.72
2026-02-23T02:56:03,69.78
2026-02-23T03:06:00,69.86
2026-02-23T03:15:57,69.77
2026-02-23T03:25:54,69.89
2026-02-23T03:35:50,69.9
2026-02-23T03:45:47,69.92
2026-02-23T03:55:44,69.96
2026-02-23T04:05:41,70.01
2026-02-23T04:15:37,70.01
2026-02-23T04:25:34,70
2026-02-23T04:35:31,70.06
2026-02-23T04:45:28,70.08
2026-02-23T04:55:25,70.08
2026-02-23T05:05:22,70.07
2026-02-23T05:15:19,70.11
2026-02-23T05:25:16,70.11
2026-02-23T05:35:12,70.12
2026-02-23T05:45:09,70.12
2026-02-23T05:55:05,70.17
2026-02-23T06:05:02,70.19
2026-02-23T06:14:59,70.26
2026-02-23T06:24:56,70.23
2026-02-23T06:34:52,70.28
2026-02-23T06:44:49,70.31
2026-02-23T06:54:46,70.32
2026-02-23T07:04:42,70.27
2026-02-23T07:14:39,70.31
2026-02-23T07:24:36,70.24
2026-02-23T07:34:33,70.32
2026-02-23T07:44:29,70.32
2026-02-23T07:54:26,70.29
2026-02-23T08:04:23,70.29
2026-02-23T08:14:19,70.32
2026-02-23T08:24:16,70.28
2026-02-23T08:34:13,70.27
2026-02-23T08:44:10,70.2
2026-02-23T08:54:07,70.1
2026-02-23T09:04:03,69.82
2026-02-23T09:14:00,69.61
2026-02-23T09:23:57,69.38
2026-02-23T09:33:54,69.3
2026-02-23T09:43:51,69.13
2026-02-23T09:53:47,68.87
2026-02-23T10:03:44,68.72
2026-02-23T10:13:41,68.54
2026-02-23T10:23:38,68.39
2026-02-23T10:33:34,68.27
2026-02-23T10:43:31,68.2
2026-02-23T10:53:28,67.97
2026-02-23T11:03:25,67.84
2026-02-23T11:13:22,67.69
2026-02-23T11:23:19,67.55
2026-02-23T11:33:15,67.58
2026-02-23T11:43:12,67.27
2026-02-23T11:53:08,67.15
2026-02-23T12:03:05,65.43
2026-02-23T12:13:01,56.05
2026-02-23T12:22:57,54.33
2026-02-23T12:32:53,66.5
2026-02-23T12:42:50,57.22
2026-02-23T12:52:46,67.76
2026-02-23T13:02:43,57.33
2026-02-23T13:12:40,68.47
2026-02-23T13:22:37,63.9
2026-02-23T13:32:33,66.99
2026-02-23T13:42:30,64.14
2026-02-23T13:52:27,69.55
2026-02-23T14:02:24,61.3
2026-02-23T14:12:20,71.26
2026-02-23T14:22:17,61.73
2026-02-23T14:32:14,71.43
2026-02-23T14:42:11,63
2026-02-23T14:52:07,69.85
2026-02-23T15:02:04,65.25
2026-02-23T15:12:00,65.52
2026-02-23T15:21:57,64.68
