datetime,value
2026-02-23T00:06:58,28.43
2026-02-23T00:16:55,28.43
2026-02-23T00:26:52,28.43
2026-02-23T00:36:49,28.39
2026-02-23T00:46:46,28.39
2026-02-23T00:56:42,28.38
2026-02-23T01:06:39,28.42
2026-02-23T01:16:36,28.39
2026-02-23T01:26:33,28.4
2026-02-23T01:36:30,28.39
2026-02-23T01:46:26,28.38
2026-02-23T01:56:23,28.38
2026-02-23T02:06:20,28.39
2026-02-23T02:16:16,28.39
2026-02-23T02:26:13,28.39
2026-02-23T02:36:10,28.36
2026-02-23T02:46:07,28.38
2026-02-23T02:56:03,28.36
2026-02-23T03:06:00,28.35
2026-02-23T03:15:57,28.36
2026-02-23T03:25:54,28.35
2026-02-23T03:35:50,28.36
2026-02-23T03:45:47,28.34
2026-02-23T03:55:44,28.34
2026-02-23T04:05:41,28.34
2026-02-23T04:15:37,28.34
2026-02-23T04:25:34,28.32
2026-02-23T04:35:31,28.32
2026-02-23T04:45:28,28.29
2026-02-23T04:55:25,28.32
2026-02-23T05:05:22,28.28
2026-02-23T05:15:19,28.3
2026-02-23T05:25:16,28.29
2026-02-23T05:35:12,28.29
2026-02-23T05:45:08,28.26
2026-02-23T05:55:05,28.28
2026-02-23T06:05:02,28.25
2026-02-23T06:14:59,28.28
2026-02-23T06:24:56,28.23
2026-02-23T06:34:52,28.26
2026-02-23T06:44:49,28.25
2026-02-23T06:54:46,28.23
2026-02-23T07:04:42,28.23
2026-02-23T07:14:39,28.23
2026-02-23T07:24:35,28.22
2026-02-23T07:34:32,28.22
2026-02-23T07:44:29,28.23
2026-02-23T07:54:26,28.23
2026-02-23T08:04:23,28.2
2026-02-23T08:14:19,28.22
2026-02-23T08:24:16,28.22
2026-02-23T08:34:13,28.25
2026-02-23T08:44:10,28.22
2026-02-23T08:54:07,28.22
2026-02-23T09:04:03,28.23
2026-02-23T09:14:00,28.2
2026-02-23T09:23:57,28.25
2026-02-23T09:33:54,28.23
2026-02-23T09:43:51,28.22
2026-02-23T09:53:47,28.23
2026-02-23T10:03:44,28.23
2026-02-23T10:13:41,28.25
2026-02-23T10:23:38,28.23
2026-02-23T10:33:34,28.23
2026-02-23T10:43:31,28.28
2026-02-23T10:53:28,28.26
2026-02-23T11:03:25,28.26
2026-02-23T11:13:22,28.25
2026-02-23T11:23:19,28.25
2026-02-23T11:33:15,28.3
2026-02-23T11:43:12,28.3
2026-02-23T11:53:08,28.32
2026-02-23T12:03:05,27.65
2026-02-23T12:13:01,25.77
2026-02-23T12:22:57,24.37
2026-02-23T12:32:53,24.54
2026-02-23T12:42:50,24.21
2026-02-23T12:52:46,24.27
2026-02-23T13:02:43,23.99
2026-02-23T13:12:40,24
2026-02-23T13:22:37,24.41
2026-02-23T13:32:33,23.9
2026-02-23T13:42:30,24.35
2026-02-23T13:52:27,24.09
2026-02-23T14:02:24,23.99
2026-02-23T14:12:20,24.28
2026-02-23T14:22:17,24.23
2026-02-23T14:32:14,24.28
2026-02-23T14:42:10,24.16
2026-02-23T14:52:07,24.06
2026-02-23T15:02:04,24.32
2026-02-23T15:12:00,24.02
2026-02-23T15:21:57,24.09
