datetime,value
2026-02-23T00:01:33,72.59
2026-02-23T00:11:30,73.31
2026-02-23T00:21:30,73.43
2026-02-23T00:31:24,74.46
2026-02-23T00:41:22,74.93
2026-02-23T00:51:18,74.86
2026-02-23T01:01:15,76.49
2026-02-23T01:11:12,76.62
2026-02-23T01:21:09,77.13
2026-02-23T01:31:06,77.53
2026-02-23T01:41:05,77.87
2026-02-23T01:51:01,77.89
2026-02-23T02:00:57,77.87
2026-02-23T02:10:54,79.72
2026-02-23T02:20:51,78.87
2026-02-23T02:30:48,79.38
2026-02-23T02:40:46,79.27
2026-02-23T02:50:42,79.6
2026-02-23T03:00:39,80.32
2026-02-23T03:10:36,80.11
2026-02-23T03:20:33,80.94
2026-02-23T03:30:31,80.75
2026-02-23T03:40:28,81.85
2026-02-23T03:50:24,81.62
2026-02-23T04:00:21,80.71
2026-02-23T04:10:18,81.52
2026-02-23T04:20:16,81.75
2026-02-23T04:30:12,81.75
2026-02-23T04:40:08,81.87
2026-02-23T04:50:06,82.29
2026-02-23T05:00:04,81.65
2026-02-23T05:10:00,82.08
2026-02-23T05:19:57,82.28
2026-02-23T05:29:54,82.22
2026-02-23T05:39:51,82.43
2026-02-23T05:49:49,82.55
2026-02-23T05:59:46,82.4
2026-02-23T06:09:42,82.37
2026-02-23T06:19:40,83.05
2026-02-23T06:29:37,83.43
2026-02-23T06:49:33,82.7
2026-02-23T06:59:29,80.78
2026-02-23T07:09:26,78.83
2026-02-23T07:19:24,76.18
2026-02-23T07:29:22,72.09
2026-02-23T08:09:16,61.87
2026-02-23T08:19:11,59.49
2026-02-23T08:29:11,56.94
2026-02-23T08:49:10,55.7
2026-02-23T08:59:02,53.82
2026-02-23T09:38:55,51.24
2026-02-23T10:28:39,61.02
2026-02-23T11:38:25,58.96
2026-02-23T12:08:20,45.71
2026-02-23T14:17:43,44.63
2026-02-23T14:27:45,46.26
2026-02-23T14:57:42,37
