datetime,value
2026-02-23T00:01:35,47
2026-02-23T00:11:31,54
2026-02-23T00:21:31,52
2026-02-23T00:31:25,49
2026-02-23T00:41:23,46
2026-02-23T00:51:19,41
2026-02-23T01:01:17,42
2026-02-23T01:11:12,51
2026-02-23T01:21:10,53
2026-02-23T01:31:09,49
2026-02-23T01:41:05,56
2026-02-23T01:51:01,51
2026-02-23T02:00:58,50
2026-02-23T02:10:55,56
2026-02-23T02:20:53,51
2026-02-23T02:30:49,57
2026-02-23T02:40:47,47
2026-02-23T02:50:43,61
2026-02-23T03:00:41,52
2026-02-23T03:10:37,56
2026-02-23T03:20:35,48
2026-02-23T03:30:31,49
2026-02-23T03:40:28,57
2026-02-23T03:50:25,56
2026-02-23T04:00:23,61
2026-02-23T04:10:19,50
2026-02-23T04:20:17,62
2026-02-23T04:30:13,58
2026-02-23T04:40:09,56
2026-02-23T04:50:07,54
2026-02-23T05:00:05,49
2026-02-23T05:10:03,57
2026-02-23T05:19:58,59
2026-02-23T05:29:57,61
2026-02-23T05:39:53,53
2026-02-23T05:49:49,56
2026-02-23T05:59:46,60
2026-02-23T06:09:46,56
2026-02-23T06:19:40,56
2026-02-23T06:29:37,63
2026-02-23T06:39:51,61
2026-02-23T06:49:34,54
2026-02-23T06:59:29,60
2026-02-23T07:09:27,63
2026-02-23T07:19:24,51
2026-02-23T07:29:22,69
2026-02-23T08:09:21,60
2026-02-23T08:19:11,72
2026-02-23T08:29:12,56
2026-02-23T08:49:14,63
2026-02-23T08:59:04,56
2026-02-23T09:38:56,49
2026-02-23T10:09:30,60
2026-02-23T10:19:34,49
2026-02-23T10:28:47,50
2026-02-23T10:39:06,49
2026-02-23T11:38:53,58
2026-02-23T11:58:45,62
2026-02-23T12:08:21,56
2026-02-23T13:28:31,57
2026-02-23T13:38:32,55
2026-02-23T14:37:57,58
2026-02-23T15:27:31,60
