datetime,value
2026-02-23T00:01:35,39
2026-02-23T00:11:31,37
2026-02-23T00:21:30,39
2026-02-23T00:31:25,39
2026-02-23T00:41:23,39
2026-02-23T00:51:18,35
2026-02-23T01:01:17,34
2026-02-23T01:11:12,40
2026-02-23T01:21:10,42
2026-02-23T01:31:08,35
2026-02-23T01:41:05,40
2026-02-23T01:51:01,37
2026-02-23T02:00:57,40
2026-02-23T02:10:55,40
2026-02-23T02:20:51,40
2026-02-23T02:30:49,41
2026-02-23T02:40:47,40
2026-02-23T02:50:42,44
2026-02-23T03:00:40,41
2026-02-23T03:10:37,39
2026-02-23T03:20:35,41
2026-02-23T03:30:31,42
2026-02-23T03:40:28,41
2026-02-23T03:50:25,41
2026-02-23T04:00:22,44
2026-02-23T04:10:19,43
2026-02-23T04:20:17,42
2026-02-23T04:30:13,42
2026-02-23T04:40:09,44
2026-02-23T04:50:06,42
2026-02-23T05:00:05,42
2026-02-23T05:10:03,42
2026-02-23T05:19:58,46
2026-02-23T05:29:57,46
2026-02-23T05:39:53,42
2026-02-23T05:49:49,44
2026-02-23T05:59:46,46
2026-02-23T06:09:45,45
2026-02-23T06:19:40,39
2026-02-23T06:29:37,46
2026-02-23T06:39:51,47
2026-02-23T06:49:33,42
2026-02-23T06:59:29,45
2026-02-23T07:09:27,44
2026-02-23T07:19:24,44
2026-02-23T07:29:22,49
2026-02-23T08:09:21,45
2026-02-23T08:19:11,50
2026-02-23T08:29:12,42
2026-02-23T08:49:13,46
2026-02-23T08:59:03,41
2026-02-23T09:38:56,40
2026-02-23T10:28:43,43
2026-02-23T10:39:03,41
2026-02-23T11:38:31,42
2026-02-23T11:48:50,45
2026-02-23T11:58:44,46
2026-02-23T12:08:21,41
2026-02-23T14:27:58,47
2026-02-23T14:37:57,49
2026-02-23T14:57:50,50
2026-02-23T15:27:31,46
