datetime,value
2026-02-23T00:01:33,24.89
2026-02-23T00:11:30,24.65
2026-02-23T00:21:29,24.74
2026-02-23T00:31:24,24.43
2026-02-23T00:41:22,24.3
2026-02-23T00:51:18,24.13
2026-02-23T01:01:15,23.97
2026-02-23T01:11:12,23.86
2026-02-23T01:21:09,23.85
2026-02-23T01:31:06,23.83
2026-02-23T01:41:04,23.52
2026-02-23T01:51:00,23.58
2026-02-23T02:00:57,23.4
2026-02-23T02:10:54,23.2
2026-02-23T02:20:51,23.21
2026-02-23T02:30:48,23.16
2026-02-23T02:40:46,23.1
2026-02-23T02:50:42,23.07
2026-02-23T03:00:39,23.03
2026-02-23T03:10:36,22.89
2026-02-23T03:20:33,22.93
2026-02-23T03:30:31,22.95
2026-02-23T03:40:27,22.88
2026-02-23T03:50:24,22.92
2026-02-23T04:00:21,22.88
2026-02-23T04:10:18,22.59
2026-02-23T04:20:15,22.47
2026-02-23T04:30:12,22.51
2026-02-23T04:40:08,22.61
2026-02-23T04:50:06,22.54
2026-02-23T05:00:03,22.54
2026-02-23T05:10:00,22.58
2026-02-23T05:19:57,22.56
2026-02-23T05:29:54,22.47
2026-02-23T05:39:51,22.48
2026-02-23T05:49:48,22.5
2026-02-23T05:59:46,22.45
2026-02-23T06:09:42,22.41
2026-02-23T06:19:40,22.37
2026-02-23T06:29:37,22.33
2026-02-23T06:49:33,22.63
2026-02-23T06:59:28,23.4
2026-02-23T07:09:26,24.16
2026-02-23T07:19:24,25.27
2026-02-23T07:29:22,26.36
2026-02-23T08:09:16,30.12
2026-02-23T08:19:10,30.88
2026-02-23T08:29:09,31.88
2026-02-23T08:49:10,32.05
2026-02-23T08:59:02,33.35
2026-02-23T09:38:53,34.59
2026-02-23T10:28:38,32.88
2026-02-23T12:08:20,38.15
2026-02-23T14:17:41,40.28
2026-02-23T15:27:30,42.13
