datetime,value
2026-02-23T00:01:34,225
2026-02-23T00:11:30,225
2026-02-23T00:21:30,180
2026-02-23T00:31:25,225
2026-02-23T00:41:22,225
2026-02-23T00:51:18,225
2026-02-23T01:01:16,225
2026-02-23T01:11:12,225
2026-02-23T01:21:10,270
2026-02-23T01:31:06,270
2026-02-23T01:41:05,315
2026-02-23T01:51:01,270
2026-02-23T02:00:57,270
2026-02-23T02:10:55,315
2026-02-23T02:20:51,315
2026-02-23T02:30:48,292.5
2026-02-23T02:40:46,270
2026-02-23T02:50:42,270
2026-02-23T03:00:39,270
2026-02-23T03:10:36,270
2026-02-23T03:20:33,292.5
2026-02-23T03:30:31,292.5
2026-02-23T03:40:28,292.5
2026-02-23T03:50:24,225
2026-02-23T04:00:21,270
2026-02-23T04:10:19,270
2026-02-23T04:20:16,270
2026-02-23T04:30:12,270
2026-02-23T04:40:09,270
2026-02-23T04:50:06,270
2026-02-23T05:00:05,270
2026-02-23T05:10:00,270
2026-02-23T05:19:58,270
2026-02-23T05:29:55,270
2026-02-23T05:39:52,270
2026-02-23T05:49:49,270
2026-02-23T05:59:46,270
2026-02-23T06:09:43,270
2026-02-23T06:19:40,270
2026-02-23T06:29:37,270
2026-02-23T06:39:51,270
2026-02-23T06:49:33,270
2026-02-23T06:59:29,270
2026-02-23T07:09:26,270
2026-02-23T07:19:24,270
2026-02-23T07:29:22,225
2026-02-23T08:09:19,225
2026-02-23T08:19:11,225
2026-02-23T08:29:12,270
2026-02-23T08:49:11,270
2026-02-23T08:59:02,315
2026-02-23T09:38:56,90
2026-02-23T10:28:40,225
2026-02-23T10:38:57,135
2026-02-23T11:38:26,180
2026-02-23T12:08:21,135
2026-02-23T12:58:23,45
2026-02-23T13:48:11,225
2026-02-23T14:18:31,270
2026-02-23T14:27:48,225
2026-02-23T14:37:55,225
2026-02-23T14:57:44,90
2026-02-23T15:27:30,135
