datetime,value
2026-02-23T00:01:33,1.78
2026-02-23T00:11:30,0
2026-02-23T00:21:30,0
2026-02-23T00:31:25,0.48
2026-02-23T00:41:22,0
2026-02-23T00:51:18,0
2026-02-23T01:01:16,0
2026-02-23T01:11:12,0
2026-02-23T01:21:09,0.78
2026-02-23T01:31:06,0
2026-02-23T01:41:05,0
2026-02-23T01:51:01,0
2026-02-23T02:00:57,0
2026-02-23T02:10:55,0
2026-02-23T02:20:51,0
2026-02-23T02:30:48,0
2026-02-23T02:40:46,0
2026-02-23T02:50:42,0
2026-02-23T03:00:39,0
2026-02-23T03:10:36,0
2026-02-23T03:20:33,0
2026-02-23T03:30:31,0
2026-02-23T03:40:28,0
2026-02-23T03:50:24,0
2026-02-23T04:00:21,0
2026-02-23T04:10:19,0
2026-02-23T04:20:16,0
2026-02-23T04:30:12,0
2026-02-23T04:40:09,0
2026-02-23T04:50:06,0
2026-02-23T05:00:05,0
2026-02-23T05:10:00,0
2026-02-23T05:19:57,0
2026-02-23T05:29:55,0
2026-02-23T05:39:51,0
2026-02-23T05:49:49,0
2026-02-23T05:59:46,0
2026-02-23T06:09:42,0
2026-02-23T06:19:40,0
2026-02-23T06:29:37,0
2026-02-23T06:39:50,0
2026-02-23T06:49:33,0
2026-02-23T06:59:29,0
2026-02-23T07:09:26,0
2026-02-23T07:19:24,0
2026-02-23T07:29:22,0.86
2026-02-23T08:09:17,1.42
2026-02-23T08:19:11,1.34
2026-02-23T08:29:11,1.39
2026-02-23T08:49:10,0.72
2026-02-23T08:59:02,2.66
2026-02-23T09:38:56,2.87
2026-02-23T10:28:40,0
2026-02-23T11:38:25,1.7
2026-02-23T12:08:20,3.99
2026-02-23T12:58:23,2.47
2026-02-23T14:17:45,5.34
2026-02-23T14:27:46,6.96
2026-02-23T14:57:43,2.34
2026-02-23T15:08:25,2
