datetime,value
2026-02-23T00:04:31,50
2026-02-23T00:14:27,47
2026-02-23T00:24:25,48
2026-02-23T00:34:22,49
2026-02-23T00:44:19,56
2026-02-23T00:54:16,52
2026-02-23T01:04:14,53
2026-02-23T01:14:11,51
2026-02-23T01:24:08,52
2026-02-23T01:34:05,52
2026-02-23T01:44:02,50
2026-02-23T01:54:00,49
2026-02-23T02:03:57,55
2026-02-23T02:13:54,53
2026-02-23T02:23:51,53
2026-02-23T02:33:48,57
2026-02-23T02:43:46,55
2026-02-23T02:53:43,53
2026-02-23T03:03:40,59
2026-02-23T03:13:37,58
2026-02-23T03:23:35,62
2026-02-23T03:33:32,55
2026-02-23T03:43:29,48
2026-02-23T03:53:26,51
2026-02-23T04:03:23,53
2026-02-23T04:13:20,53
2026-02-23T04:23:17,51
2026-02-23T04:33:14,53
2026-02-23T04:43:12,50
2026-02-23T04:53:09,50
2026-02-23T05:03:06,58
2026-02-23T05:13:03,54
2026-02-23T05:23:01,54
2026-02-23T05:32:58,57
2026-02-23T05:42:55,48
2026-02-23T05:52:52,54
2026-02-23T06:02:49,53
2026-02-23T06:12:47,62
2026-02-23T06:22:44,60
2026-02-23T06:32:41,60
2026-02-23T06:42:38,55
2026-02-23T06:52:35,62
2026-02-23T07:02:32,61
2026-02-23T07:12:30,62
2026-02-23T07:22:27,53
2026-02-23T07:32:24,58
2026-02-23T07:42:22,59
2026-02-23T07:52:20,56
2026-02-23T08:02:18,57
2026-02-23T08:12:15,61
2026-02-23T08:22:12,53
2026-02-23T08:32:10,53
2026-02-23T08:42:08,61
2026-02-23T08:52:06,49
2026-02-23T09:02:04,53
2026-02-23T09:12:02,53
2026-02-23T09:22:00,48
2026-02-23T09:31:57,54
2026-02-23T09:41:55,48
2026-02-23T09:51:52,51
2026-02-23T10:01:49,47
2026-02-23T10:11:47,49
2026-02-23T10:21:44,49
2026-02-23T10:31:41,51
2026-02-23T10:41:39,49
2026-02-23T10:51:38,47
2026-02-23T11:01:36,53
2026-02-23T11:11:33,57
2026-02-23T11:21:30,48
2026-02-23T11:31:27,55
2026-02-23T11:41:25,57
2026-02-23T11:51:22,55
2026-02-23T12:01:19,57
2026-02-23T12:11:16,58
2026-02-23T12:21:13,60
2026-02-23T12:31:11,55
2026-02-23T12:41:08,56
2026-02-23T12:51:06,40
2026-02-23T13:01:03,52
2026-02-23T13:11:00,49
2026-02-23T13:20:56,42
2026-02-23T13:30:53,52
2026-02-23T13:40:49,60
2026-02-23T13:50:46,61
2026-02-23T14:00:44,63
2026-02-23T14:10:41,65
2026-02-23T14:20:38,62
2026-02-23T14:30:37,67
2026-02-23T14:40:33,67
2026-02-23T14:50:30,71
2026-02-23T15:00:27,62
2026-02-23T15:10:24,58
2026-02-23T15:20:20,65
