datetime,value
2026-02-23T00:04:31,42
2026-02-23T00:14:27,40
2026-02-23T00:24:25,41
2026-02-23T00:34:22,41
2026-02-23T00:44:19,45
2026-02-23T00:54:16,42
2026-02-23T01:04:14,45
2026-02-23T01:14:11,42
2026-02-23T01:24:08,43
2026-02-23T01:34:05,44
2026-02-23T01:44:02,42
2026-02-23T01:54:00,41
2026-02-23T02:03:57,46
2026-02-23T02:13:54,42
2026-02-23T02:23:51,44
2026-02-23T02:33:48,46
2026-02-23T02:43:46,45
2026-02-23T02:53:43,45
2026-02-23T03:03:40,46
2026-02-23T03:13:37,48
2026-02-23T03:23:35,51
2026-02-23T03:33:32,46
2026-02-23T03:43:29,40
2026-02-23T03:53:26,43
2026-02-23T04:03:23,45
2026-02-23T04:13:19,43
2026-02-23T04:23:17,41
2026-02-23T04:33:14,44
2026-02-23T04:43:12,43
2026-02-23T04:53:09,41
2026-02-23T05:03:06,48
2026-02-23T05:13:03,45
2026-02-23T05:23:01,46
2026-02-23T05:32:58,46
2026-02-23T05:42:55,41
2026-02-23T05:52:52,44
2026-02-23T06:02:49,44
2026-02-23T06:12:46,50
2026-02-23T06:22:43,49
2026-02-23T06:32:41,49
2026-02-23T06:42:38,45
2026-02-23T06:52:35,50
2026-02-23T07:02:32,50
2026-02-23T07:12:30,50
2026-02-23T07:22:27,44
2026-02-23T07:32:24,48
2026-02-23T07:42:22,48
2026-02-23T07:52:20,46
2026-02-23T08:02:18,47
2026-02-23T08:12:15,49
2026-02-23T08:22:12,44
2026-02-23T08:32:10,43
2026-02-23T08:42:08,50
2026-02-23T08:52:06,42
2026-02-23T09:02:04,44
2026-02-23T09:12:02,44
2026-02-23T09:22:00,41
2026-02-23T09:31:57,45
2026-02-23T09:41:55,41
2026-02-23T09:51:52,44
2026-02-23T10:01:49,39
2026-02-23T10:11:47,42
2026-02-23T10:21:44,42
2026-02-23T10:31:41,42
2026-02-23T10:41:39,41
2026-02-23T10:51:38,39
2026-02-23T11:01:36,44
2026-02-23T11:11:33,48
2026-02-23T11:21:30,41
2026-02-23T11:31:27,45
2026-02-23T11:41:25,47
2026-02-23T11:51:22,45
2026-02-23T12:01:19,48
2026-02-23T12:11:16,48
2026-02-23T12:21:13,49
2026-02-23T12:31:11,46
2026-02-23T12:41:08,46
2026-02-23T12:51:06,36
2026-02-23T13:01:03,44
2026-02-23T13:11:00,41
2026-02-23T13:20:56,36
2026-02-23T13:30:53,42
2026-02-23T13:40:49,50
2026-02-23T13:50:46,49
2026-02-23T14:00:44,52
2026-02-23T14:10:41,54
2026-02-23T14:20:38,51
2026-02-23T14:30:37,58
2026-02-23T14:40:33,57
2026-02-23T14:50:30,62
2026-02-23T15:00:27,51
2026-02-23T15:10:24,49
2026-02-23T15:20:20,54
