datetime,value
2026-02-23T00:04:30,21.93
2026-02-23T00:14:27,21.57
2026-02-23T00:24:24,21.32
2026-02-23T00:34:21,21.28
2026-02-23T00:44:19,21.18
2026-02-23T00:54:16,21.31
2026-02-23T01:04:13,21.41
2026-02-23T01:14:10,21.46
2026-02-23T01:24:07,21.49
2026-02-23T01:34:05,21.41
2026-02-23T01:44:02,21.35
2026-02-23T01:53:59,21.26
2026-02-23T02:03:56,21.29
2026-02-23T02:13:53,21.18
2026-02-23T02:23:51,21.15
2026-02-23T02:33:48,21.18
2026-02-23T02:43:45,21.19
2026-02-23T02:53:42,21.19
2026-02-23T03:03:40,21.34
2026-02-23T03:13:37,21.39
2026-02-23T03:23:34,21.38
2026-02-23T03:33:31,21.26
2026-02-23T03:43:28,21.18
2026-02-23T03:53:25,21.29
2026-02-23T04:03:22,21.15
2026-02-23T04:13:19,21.01
2026-02-23T04:23:17,21.08
2026-02-23T04:33:14,21.04
2026-02-23T04:43:11,20.93
2026-02-23T04:53:08,20.83
2026-02-23T05:03:06,20.86
2026-02-23T05:13:03,20.91
2026-02-23T05:23:00,20.94
2026-02-23T05:32:58,20.98
2026-02-23T05:42:55,20.91
2026-02-23T05:52:52,20.91
2026-02-23T06:02:49,20.89
2026-02-23T06:12:46,20.87
2026-02-23T06:22:43,20.89
2026-02-23T06:32:40,20.86
2026-02-23T06:42:37,20.89
2026-02-23T06:52:35,20.83
2026-02-23T07:02:32,20.7
2026-02-23T07:12:29,20.63
2026-02-23T07:22:27,20.82
2026-02-23T07:32:24,21.22
2026-02-23T07:42:22,22.11
2026-02-23T07:52:20,23.17
2026-02-23T08:02:17,23.18
2026-02-23T08:12:15,23.22
2026-02-23T08:22:12,23.56
2026-02-23T08:32:10,24.35
2026-02-23T08:42:08,25.41
2026-02-23T08:52:06,25.93
2026-02-23T09:02:04,26.57
2026-02-23T09:12:01,27.07
2026-02-23T09:21:59,27.67
2026-02-23T09:31:57,28.45
2026-02-23T09:41:54,29.3
2026-02-23T09:51:51,27.94
2026-02-23T10:01:48,29.05
2026-02-23T10:11:46,29.62
2026-02-23T10:21:43,30.04
2026-02-23T10:31:40,30.24
2026-02-23T10:41:39,31.17
2026-02-23T10:51:37,32.96
2026-02-23T11:01:35,33.52
2026-02-23T11:11:33,33.8
2026-02-23T11:21:30,33.59
2026-02-23T11:31:27,34.35
2026-02-23T11:41:24,34.49
2026-02-23T11:51:21,33.79
2026-02-23T12:01:18,33.42
2026-02-23T12:11:15,33.46
2026-02-23T12:21:13,33.92
2026-02-23T12:31:11,34.42
2026-02-23T12:41:08,34.41
2026-02-23T12:51:06,35.32
2026-02-23T13:01:03,35.87
2026-02-23T13:10:59,35.38
2026-02-23T13:20:56,34.51
2026-02-23T13:30:52,33.8
2026-02-23T13:40:49,33.49
2026-02-23T13:50:46,33.55
2026-02-23T14:00:43,34.08
2026-02-23T14:10:41,34.04
2026-02-23T14:20:38,34.34
2026-02-23T14:30:37,35.14
2026-02-23T14:40:33,34.41
2026-02-23T14:50:29,33.6
2026-02-23T15:00:26,33.33
2026-02-23T15:10:23,33.42
2026-02-23T15:20:20,33.1
