datetime,value
2026-02-23T00:10:30,91.17
2026-02-23T00:20:26,91.44
2026-02-23T00:30:22,91.54
2026-02-23T00:40:19,91.62
2026-02-23T00:50:16,91.5
2026-02-23T01:00:12,91.59
2026-02-23T01:20:06,91.49
2026-02-23T01:30:03,91.63
2026-02-23T01:39:58,91.69
2026-02-23T01:49:55,91.81
2026-02-23T01:59:51,91.84
2026-02-23T02:09:47,91.91
2026-02-23T02:19:44,92.07
2026-02-23T02:29:41,92.01
2026-02-23T02:39:37,91.87
2026-02-23T02:49:34,91.96
2026-02-23T02:59:30,92.02
2026-02-23T03:09:27,92.02
2026-02-23T03:19:23,92.18
2026-02-23T03:29:20,92.23
2026-02-23T03:39:17,92.29
2026-02-23T03:49:14,92.4
2026-02-23T03:59:10,92.39
2026-02-23T04:09:06,92.51
2026-02-23T04:19:03,92.43
2026-02-23T04:28:59,92.56
2026-02-23T04:38:55,92.56
2026-02-23T04:48:52,92.7
2026-02-23T04:58:49,92.66
2026-02-23T05:08:46,92.62
2026-02-23T05:18:43,92.64
2026-02-23T05:28:39,92.69
2026-02-23T05:58:28,92.75
2026-02-23T06:08:25,92.69
2026-02-23T06:18:22,92.71
2026-02-23T06:28:18,92.76
2026-02-23T06:38:15,92.77
2026-02-23T06:48:12,92.81
2026-02-23T06:58:09,91.51
2026-02-23T07:08:05,91.47
2026-02-23T07:18:02,91.57
2026-02-23T07:37:55,91.42
2026-02-23T07:47:51,90.82
2026-02-23T07:57:48,89.65
2026-02-23T08:07:45,87.93
2026-02-23T08:17:43,85.96
2026-02-23T08:27:40,81.06
2026-02-23T08:37:38,75.9
2026-02-23T08:47:36,72.08
2026-02-23T08:57:33,71.63
2026-02-23T09:07:30,66.27
2026-02-23T09:17:27,63.86
2026-02-23T09:27:24,65.26
2026-02-23T09:37:20,63.43
2026-02-23T09:47:17,62.22
2026-02-23T09:57:14,64.18
2026-02-23T10:07:11,60.06
2026-02-23T10:17:07,57.15
2026-02-23T10:46:57,54.58
2026-02-23T10:56:53,56.42
2026-02-23T11:06:50,54.22
2026-02-23T11:16:47,53.89
2026-02-23T11:26:44,51.31
2026-02-23T11:36:41,50.31
2026-02-23T11:46:38,53.95
2026-02-23T12:06:31,47.73
2026-02-23T12:36:22,44.68
2026-02-23T13:16:08,43.17
2026-02-23T15:15:26,52.54
