datetime,value
2026-02-23T00:10:30,45
2026-02-23T00:20:26,38
2026-02-23T00:30:23,46
2026-02-23T00:40:19,54
2026-02-23T00:50:16,39
2026-02-23T01:00:13,42
2026-02-23T01:20:06,41
2026-02-23T01:30:03,45
2026-02-23T01:39:58,51
2026-02-23T01:49:55,45
2026-02-23T01:59:51,32
2026-02-23T02:09:48,47
2026-02-23T02:19:45,52
2026-02-23T02:29:41,46
2026-02-23T02:39:38,40
2026-02-23T02:49:34,40
2026-02-23T02:59:31,45
2026-02-23T03:09:27,47
2026-02-23T03:19:24,40
2026-02-23T03:29:21,45
2026-02-23T03:39:18,53
2026-02-23T03:49:14,45
2026-02-23T03:59:10,49
2026-02-23T04:09:06,57
2026-02-23T04:19:03,47
2026-02-23T04:28:59,48
2026-02-23T04:38:56,53
2026-02-23T04:48:53,48
2026-02-23T04:58:49,53
2026-02-23T05:08:46,52
2026-02-23T05:18:43,48
2026-02-23T05:28:39,47
2026-02-23T05:58:29,45
2026-02-23T06:08:25,52
2026-02-23T06:18:22,46
2026-02-23T06:28:19,51
2026-02-23T06:38:16,57
2026-02-23T06:48:12,54
2026-02-23T06:58:09,51
2026-02-23T07:08:05,48
2026-02-23T07:18:02,49
2026-02-23T07:37:55,52
2026-02-23T07:47:52,47
2026-02-23T07:57:49,42
2026-02-23T08:07:46,49
2026-02-23T08:17:43,42
2026-02-23T08:27:41,45
2026-02-23T08:37:39,41
2026-02-23T08:47:36,36
2026-02-23T08:57:33,29
2026-02-23T09:07:30,31
2026-02-23T09:17:27,41
2026-02-23T09:27:24,37
2026-02-23T09:37:21,40
2026-02-23T09:47:17,40
2026-02-23T09:57:14,42
2026-02-23T10:07:11,34
2026-02-23T10:17:08,33
2026-02-23T10:46:57,31
2026-02-23T10:56:54,36
2026-02-23T11:06:51,33
2026-02-23T11:16:48,32
2026-02-23T11:26:45,38
2026-02-23T11:36:41,33
2026-02-23T11:46:38,33
2026-02-23T12:06:32,34
2026-02-23T12:36:22,37
2026-02-23T13:16:08,32
2026-02-23T15:15:27,30
