datetime,value
2026-02-23T00:10:30,36
2026-02-23T00:20:26,31
2026-02-23T00:30:23,35
2026-02-23T00:40:19,39
2026-02-23T00:50:16,33
2026-02-23T01:00:12,36
2026-02-23T01:20:06,36
2026-02-23T01:30:03,33
2026-02-23T01:39:58,39
2026-02-23T01:49:55,36
2026-02-23T01:59:51,31
2026-02-23T02:09:48,36
2026-02-23T02:19:45,40
2026-02-23T02:29:41,35
2026-02-23T02:39:38,34
2026-02-23T02:49:34,35
2026-02-23T02:59:31,35
2026-02-23T03:09:27,37
2026-02-23T03:19:24,35
2026-02-23T03:29:21,34
2026-02-23T03:39:18,42
2026-02-23T03:49:14,37
2026-02-23T03:59:10,36
2026-02-23T04:09:06,39
2026-02-23T04:19:03,36
2026-02-23T04:28:59,39
2026-02-23T04:38:56,40
2026-02-23T04:48:53,40
2026-02-23T04:58:49,41
2026-02-23T05:08:46,39
2026-02-23T05:18:43,36
2026-02-23T05:28:39,38
2026-02-23T05:58:29,36
2026-02-23T06:08:25,41
2026-02-23T06:18:22,39
2026-02-23T06:28:18,39
2026-02-23T06:38:15,40
2026-02-23T06:48:12,40
2026-02-23T06:58:09,39
2026-02-23T07:08:05,40
2026-02-23T07:18:02,41
2026-02-23T07:37:55,36
2026-02-23T07:47:52,41
2026-02-23T07:57:49,36
2026-02-23T08:07:46,40
2026-02-23T08:17:43,33
2026-02-23T08:27:41,31
2026-02-23T08:37:39,30
2026-02-23T08:47:36,30
2026-02-23T08:57:33,29
2026-02-23T09:07:30,28
2026-02-23T09:17:27,35
2026-02-23T09:27:24,33
2026-02-23T09:37:21,30
2026-02-23T09:47:17,36
2026-02-23T09:57:14,33
2026-02-23T10:07:11,29
2026-02-23T10:17:07,31
2026-02-23T10:46:57,30
2026-02-23T10:56:54,32
2026-02-23T11:06:51,30
2026-02-23T11:16:48,31
2026-02-23T11:26:45,32
2026-02-23T11:36:41,32
2026-02-23T11:46:38,31
2026-02-23T12:06:32,32
2026-02-23T12:36:22,34
2026-02-23T13:16:08,30
2026-02-23T15:15:26,28
