datetime,value
2026-02-23T00:10:29,24.01
2026-02-23T00:20:26,24
2026-02-23T00:30:22,24
2026-02-23T00:40:19,23.97
2026-02-23T00:50:16,23.93
2026-02-23T01:00:12,23.98
2026-02-23T01:20:05,24.03
2026-02-23T01:30:03,24
2026-02-23T01:39:58,23.96
2026-02-23T01:49:54,23.9
2026-02-23T01:59:51,23.83
2026-02-23T02:09:47,23.8
2026-02-23T02:19:44,23.83
2026-02-23T02:29:41,23.85
2026-02-23T02:39:37,23.77
2026-02-23T02:49:34,23.74
2026-02-23T02:59:30,23.69
2026-02-23T03:09:27,23.6
2026-02-23T03:19:23,23.53
2026-02-23T03:29:20,23.46
2026-02-23T03:39:17,23.39
2026-02-23T03:49:14,23.35
2026-02-23T03:59:10,23.26
2026-02-23T04:09:06,23.22
2026-02-23T04:19:02,23.08
2026-02-23T04:28:59,23.12
2026-02-23T04:38:55,23.05
2026-02-23T04:48:52,23.07
2026-02-23T04:58:49,23.02
2026-02-23T05:08:46,22.94
2026-02-23T05:18:42,22.94
2026-02-23T05:28:39,22.89
2026-02-23T05:58:28,22.74
2026-02-23T06:08:25,22.67
2026-02-23T06:18:22,22.64
2026-02-23T06:28:18,22.63
2026-02-23T06:38:15,22.59
2026-02-23T06:48:11,22.6
2026-02-23T06:58:08,22.63
2026-02-23T07:08:04,22.78
2026-02-23T07:18:01,23.02
2026-02-23T07:37:55,23.73
2026-02-23T07:47:51,24.15
2026-02-23T07:57:48,24.76
2026-02-23T08:07:45,25.56
2026-02-23T08:17:43,26.67
2026-02-23T08:27:40,28.12
2026-02-23T08:37:38,29.33
2026-02-23T08:47:36,30.28
2026-02-23T08:57:33,30.93
2026-02-23T09:07:30,32.11
2026-02-23T09:17:27,32.31
2026-02-23T09:27:24,32.82
2026-02-23T09:37:20,33.17
2026-02-23T09:47:17,33.38
2026-02-23T09:57:14,34.15
2026-02-23T10:07:11,34.58
2026-02-23T10:17:07,34.81
2026-02-23T10:46:57,35.58
2026-02-23T10:56:53,35.85
2026-02-23T11:06:50,36.64
2026-02-23T11:16:47,36.95
2026-02-23T11:26:44,36.85
2026-02-23T11:36:41,37.6
2026-02-23T11:46:38,37.53
2026-02-23T12:06:31,38.64
2026-02-23T12:36:22,38.79
2026-02-23T13:16:08,39.1
2026-02-23T15:15:26,37.99
