datetime,value
2026-02-23T00:10:30,135
2026-02-23T00:20:26,135
2026-02-23T00:30:23,135
2026-02-23T00:40:19,135
2026-02-23T00:50:16,135
2026-02-23T01:00:12,135
2026-02-23T01:20:06,135
2026-02-23T01:30:03,135
2026-02-23T01:39:58,135
2026-02-23T01:49:55,135
2026-02-23T01:59:51,135
2026-02-23T02:09:48,135
2026-02-23T02:19:45,135
2026-02-23T02:29:41,135
2026-02-23T02:39:37,135
2026-02-23T02:49:34,135
2026-02-23T02:59:30,135
2026-02-23T03:09:27,135
2026-02-23T03:19:24,135
2026-02-23T03:29:20,135
2026-02-23T03:39:17,135
2026-02-23T03:49:14,135
2026-02-23T03:59:10,135
2026-02-23T04:09:06,135
2026-02-23T04:19:03,90
2026-02-23T04:28:59,67.5
2026-02-23T04:38:55,67.5
2026-02-23T04:48:52,67.5
2026-02-23T04:58:49,67.5
2026-02-23T05:08:46,67.5
2026-02-23T05:18:43,67.5
2026-02-23T05:28:39,135
2026-02-23T05:58:28,135
2026-02-23T06:08:25,135
2026-02-23T06:18:22,135
2026-02-23T06:28:18,135
2026-02-23T06:38:15,135
2026-02-23T06:48:12,135
2026-02-23T06:58:09,135
2026-02-23T07:08:05,135
2026-02-23T07:18:02,135
2026-02-23T07:37:55,135
2026-02-23T07:47:51,135
2026-02-23T07:57:48,135
2026-02-23T08:07:45,135
2026-02-23T08:17:43,135
2026-02-23T08:27:40,135
2026-02-23T08:37:38,135
2026-02-23T08:47:36,135
2026-02-23T08:57:33,90
2026-02-23T09:07:30,135
2026-02-23T09:17:27,135
2026-02-23T09:27:24,135
2026-02-23T09:37:20,135
2026-02-23T09:47:17,180
2026-02-23T09:57:14,225
2026-02-23T10:07:11,45
2026-02-23T10:17:07,225
2026-02-23T10:46:57,135
2026-02-23T10:56:54,270
2026-02-23T11:06:51,135
2026-02-23T11:16:47,180
2026-02-23T11:26:44,270
2026-02-23T11:36:41,337.5
2026-02-23T11:46:38,270
2026-02-23T12:06:31,45
2026-02-23T12:36:22,90
2026-02-23T13:16:08,225
2026-02-23T15:15:26,270
