datetime,value
2026-02-23T00:04:50,82.28
2026-02-23T00:14:47,82.56
2026-02-23T00:24:44,82.27
2026-02-23T00:34:41,82.77
2026-02-23T00:44:38,83.14
2026-02-23T00:54:35,83.09
2026-02-23T01:04:31,83.22
2026-02-23T01:14:28,83.26
2026-02-23T01:24:25,83.31
2026-02-23T01:34:23,83.58
2026-02-23T01:44:19,83.8
2026-02-23T01:54:16,83.73
2026-02-23T02:04:13,83.63
2026-02-23T02:14:10,83.37
2026-02-23T02:24:06,83.17
2026-02-23T02:34:03,83.22
2026-02-23T02:44:00,83.32
2026-02-23T02:53:57,83.41
2026-02-23T03:03:54,83.24
2026-02-23T03:13:51,83.57
2026-02-23T03:23:48,83.58
2026-02-23T03:33:45,84.03
2026-02-23T03:43:42,83.94
2026-02-23T03:53:39,84.4
2026-02-23T04:03:35,84.58
2026-02-23T04:13:32,84.44
2026-02-23T04:23:29,84.41
2026-02-23T04:33:26,84.45
2026-02-23T04:43:23,83.59
2026-02-23T04:53:20,83.71
2026-02-23T05:03:17,83.66
2026-02-23T05:13:14,83.99
2026-02-23T05:23:11,84.26
2026-02-23T05:33:08,84.35
2026-02-23T05:43:05,84.39
2026-02-23T05:53:02,84.35
2026-02-23T06:02:59,84.34
2026-02-23T06:12:56,84.38
2026-02-23T06:22:53,84.53
2026-02-23T06:32:50,84.71
2026-02-23T06:42:47,85.21
2026-02-23T06:52:44,85.17
2026-02-23T07:02:41,84.81
2026-02-23T07:12:38,84.24
2026-02-23T07:22:35,83.96
2026-02-23T07:32:33,83.1
2026-02-23T07:42:30,82.32
2026-02-23T07:52:27,81.48
2026-02-23T08:02:24,80.56
2026-02-23T08:12:22,80.42
2026-02-23T08:22:19,79.07
2026-02-23T08:32:15,78.56
2026-02-23T08:42:13,77.22
2026-02-23T08:52:10,75.2
2026-02-23T09:02:07,75.4
2026-02-23T09:12:05,72.15
2026-02-23T09:22:02,70.14
2026-02-23T09:32:00,68.19
2026-02-23T09:41:58,64.39
2026-02-23T09:51:56,63.02
2026-02-23T10:01:53,63.24
2026-02-23T10:11:50,60.07
2026-02-23T10:21:47,59.16
2026-02-23T10:31:44,57.95
2026-02-23T10:41:42,57.05
2026-02-23T10:51:39,57.19
2026-02-23T11:01:37,54.72
2026-02-23T11:11:34,54.76
2026-02-23T11:21:30,52.57
2026-02-23T11:31:28,51.22
2026-02-23T11:41:25,54.05
2026-02-23T11:51:21,50.32
2026-02-23T12:01:18,52.14
2026-02-23T12:11:14,52.86
2026-02-23T12:21:11,54.7
2026-02-23T12:31:08,51.7
2026-02-23T12:41:06,53.49
2026-02-23T12:51:03,52.98
2026-02-23T13:01:00,54.48
2026-02-23T13:10:57,50.92
2026-02-23T13:20:55,49.81
2026-02-23T13:30:51,48.32
2026-02-23T13:40:48,50.72
2026-02-23T13:50:45,51.64
2026-02-23T14:00:42,51.97
2026-02-23T14:10:38,52.35
2026-02-23T14:20:35,59.39
2026-02-23T14:30:30,59.75
2026-02-23T14:40:30,54.84
2026-02-23T14:50:28,54.18
2026-02-23T15:00:25,53.87
2026-02-23T15:10:22,55.65
2026-02-23T15:20:19,56.16
