datetime,value
2026-02-23T00:04:50,4.74
2026-02-23T00:14:47,3.03
2026-02-23T00:24:44,0.92
2026-02-23T00:34:41,1.99
2026-02-23T00:44:38,4.8
2026-02-23T00:54:35,5.64
2026-02-23T01:04:31,1.54
2026-02-23T01:14:28,0.14
2026-02-23T01:24:25,2.55
2026-02-23T01:34:23,6.19
2026-02-23T01:44:19,5.04
2026-02-23T01:54:16,6.19
2026-02-23T02:04:13,1.41
2026-02-23T02:14:10,2.13
2026-02-23T02:24:07,6.37
2026-02-23T02:34:03,3.24
2026-02-23T02:44:00,4.9
2026-02-23T02:53:57,3.82
2026-02-23T03:03:54,6.53
2026-02-23T03:13:51,0
2026-02-23T03:23:48,5.8
2026-02-23T03:33:45,3.67
2026-02-23T03:43:42,5.85
2026-02-23T03:53:39,4.78
2026-02-23T04:03:35,4.24
2026-02-23T04:13:32,5.72
2026-02-23T04:23:29,7.34
2026-02-23T04:33:26,7.3
2026-02-23T04:43:23,7.61
2026-02-23T04:53:20,4.92
2026-02-23T05:03:17,2.86
2026-02-23T05:13:14,2.77
2026-02-23T05:23:11,1.26
2026-02-23T05:33:08,1.19
2026-02-23T05:43:05,0.67
2026-02-23T05:53:02,1.09
2026-02-23T06:02:59,0.63
2026-02-23T06:12:56,0.51
2026-02-23T06:22:53,0
2026-02-23T06:32:50,0.79
2026-02-23T06:42:47,0
2026-02-23T06:52:44,0
2026-02-23T07:02:41,0
2026-02-23T07:12:38,0
2026-02-23T07:22:35,0
2026-02-23T07:32:33,0
2026-02-23T07:42:30,0
2026-02-23T07:52:27,0
2026-02-23T08:02:25,4.04
2026-02-23T08:12:22,1.08
2026-02-23T08:22:19,3.6
2026-02-23T08:32:15,6.55
2026-02-23T08:42:13,2.06
2026-02-23T08:52:10,0.81
2026-02-23T09:02:07,0
2026-02-23T09:12:05,1.76
2026-02-23T09:22:03,3.32
2026-02-23T09:32:00,2.55
2026-02-23T09:41:58,3.67
2026-02-23T09:51:56,1.38
2026-02-23T10:01:53,5.25
2026-02-23T10:11:50,1.46
2026-02-23T10:21:47,1.16
2026-02-23T10:31:44,2.22
2026-02-23T10:41:42,6.64
2026-02-23T10:51:39,0.27
2026-02-23T11:01:37,4.69
2026-02-23T11:11:34,1.38
2026-02-23T11:21:30,4.32
2026-02-23T11:31:28,3.3
2026-02-23T11:41:25,3.62
2026-02-23T11:51:21,3.94
2026-02-23T12:01:18,4.64
2026-02-23T12:11:14,3.1
2026-02-23T12:21:11,4.82
2026-02-23T12:31:08,5.07
2026-02-23T12:41:06,0
2026-02-23T12:51:03,2.06
2026-02-23T13:01:00,3.63
2026-02-23T13:10:57,1.43
2026-02-23T13:20:55,3.68
2026-02-23T13:30:51,2.93
2026-02-23T13:40:49,7.8
2026-02-23T13:50:45,5.2
2026-02-23T14:00:42,3.65
2026-02-23T14:10:38,3.44
2026-02-23T14:20:35,1.67
2026-02-23T14:30:30,2.19
2026-02-23T14:40:30,7.43
2026-02-23T14:50:28,3.31
2026-02-23T15:00:25,7.61
2026-02-23T15:10:22,3.27
2026-02-23T15:20:19,5.25
