datetime,value
2026-02-23T07:24:43,63.23
2026-02-23T07:34:40,65.17
2026-02-23T07:44:37,65.64
2026-02-23T07:54:34,65.14
2026-02-23T08:04:31,64.99
2026-02-23T08:14:30,65.35
2026-02-23T08:24:28,66.26
2026-02-23T08:34:22,66.4
2026-02-23T08:44:18,64.16
2026-02-23T08:54:15,63.3
2026-02-23T09:04:12,61.97
2026-02-23T09:14:10,62.01
2026-02-23T09:24:13,61.17
2026-02-23T09:34:03,59.33
2026-02-23T09:44:00,59.05
2026-02-23T09:53:57,58.02
2026-02-23T10:03:53,56.18
2026-02-23T10:13:50,49.53
2026-02-23T10:23:47,46.23
2026-02-23T10:33:43,47.76
2026-02-23T10:43:39,48
2026-02-23T10:53:36,49.55
2026-02-23T11:03:32,49.99
2026-02-23T11:13:29,54.59
2026-02-23T11:23:26,50.56
2026-02-23T11:33:23,50.55
2026-02-23T11:43:20,52.17
2026-02-23T11:53:16,53.72
2026-02-23T12:03:13,52.31
2026-02-23T12:13:10,49.9
2026-02-23T12:23:09,52.54
2026-02-23T12:33:03,51.24
2026-02-23T12:43:00,51.87
2026-02-23T12:52:57,50.44
2026-02-23T13:02:54,53.57
2026-02-23T13:12:51,51.87
2026-02-23T13:22:48,49.5
2026-02-23T13:32:45,50.97
2026-02-23T13:42:43,50.14
2026-02-23T13:52:38,48.45
2026-02-23T14:02:35,51.89
2026-02-23T14:12:32,50.07
2026-02-23T14:22:29,48.95
2026-02-23T14:32:26,49.02
2026-02-23T14:42:26,48.47
2026-02-23T14:52:19,55.92
2026-02-23T15:02:16,51.78
2026-02-23T15:12:13,49.76
2026-02-23T15:22:10,54.78
