datetime,value
2026-02-23T07:24:44,18
2026-02-23T07:34:40,20
2026-02-23T07:44:37,21
2026-02-23T07:54:34,22
2026-02-23T08:04:31,24
2026-02-23T08:14:30,23
2026-02-23T08:24:28,21
2026-02-23T08:34:22,22
2026-02-23T08:44:18,23
2026-02-23T08:54:15,21
2026-02-23T09:04:12,24
2026-02-23T09:14:10,20
2026-02-23T09:24:13,19
2026-02-23T09:34:03,21
2026-02-23T09:44:00,21
2026-02-23T09:53:57,24
2026-02-23T10:03:54,22
2026-02-23T10:13:51,21
2026-02-23T10:23:47,20
2026-02-23T10:33:44,20
2026-02-23T10:43:40,19
2026-02-23T10:53:36,20
2026-02-23T11:03:33,24
2026-02-23T11:13:29,18
2026-02-23T11:23:26,20
2026-02-23T11:33:23,22
2026-02-23T11:43:20,18
2026-02-23T11:53:17,18
2026-02-23T12:03:14,15
2026-02-23T12:13:10,14
2026-02-23T12:23:10,13
2026-02-23T12:33:04,18
2026-02-23T12:43:01,16
2026-02-23T12:52:58,18
2026-02-23T13:02:54,20
2026-02-23T13:12:51,18
2026-02-23T13:22:48,15
2026-02-23T13:32:45,20
2026-02-23T13:42:43,18
2026-02-23T13:52:39,19
2026-02-23T14:02:36,14
2026-02-23T14:12:33,21
2026-02-23T14:22:30,19
2026-02-23T14:32:26,14
2026-02-23T14:42:26,20
2026-02-23T14:52:20,20
2026-02-23T15:02:17,20
2026-02-23T15:12:13,16
2026-02-23T15:22:10,22
