datetime,value
2026-02-23T07:24:43,29.75
2026-02-23T07:34:40,29.8
2026-02-23T07:44:37,29.9
2026-02-23T07:54:34,29.99
2026-02-23T08:04:31,30.07
2026-02-23T08:14:30,30.2
2026-02-23T08:24:28,30.31
2026-02-23T08:34:21,30.44
2026-02-23T08:44:18,30.52
2026-02-23T08:54:15,30.65
2026-02-23T09:04:12,30.72
2026-02-23T09:14:10,30.82
2026-02-23T09:34:03,31.12
2026-02-23T09:44:00,31.21
2026-02-23T09:53:57,31.33
2026-02-23T10:03:53,31.4
2026-02-23T10:13:50,30.35
2026-02-23T10:23:47,29.37
2026-02-23T10:33:43,28.65
2026-02-23T10:43:39,28.13
2026-02-23T10:53:36,27.1
2026-02-23T11:03:32,26.82
2026-02-23T11:13:29,26.81
2026-02-23T11:23:26,26.62
2026-02-23T11:33:23,26.65
2026-02-23T11:43:19,26.93
2026-02-23T11:53:16,26.81
2026-02-23T12:03:13,26.44
2026-02-23T12:13:10,26.23
2026-02-23T12:23:09,26.58
2026-02-23T12:33:03,26.65
2026-02-23T12:43:00,26.65
2026-02-23T12:52:57,26.65
2026-02-23T13:02:54,26.66
2026-02-23T13:12:51,26.92
2026-02-23T13:22:48,26.85
2026-02-23T13:32:45,26.86
2026-02-23T13:42:43,26.81
2026-02-23T13:52:38,26.65
2026-02-23T14:02:35,26.87
2026-02-23T14:12:32,26.72
2026-02-23T14:22:29,26.87
2026-02-23T14:32:26,26.83
2026-02-23T14:42:26,26.73
2026-02-23T14:52:19,26.87
2026-02-23T15:02:16,26.65
2026-02-23T15:12:13,26.39
2026-02-23T15:22:10,26.6
