datetime,value
2026-02-23T10:45:09,315
2026-02-23T11:05:03,225
2026-02-23T11:15:05,315
2026-02-23T11:25:07,315
2026-02-23T11:44:53,270
2026-02-23T11:54:51,45
2026-02-23T12:04:48,135
2026-02-23T12:14:44,45
2026-02-23T12:24:42,315
2026-02-23T12:34:38,292.5
2026-02-23T12:44:35,45
2026-02-23T12:54:32,337.5
2026-02-23T13:04:28,292.5
2026-02-23T13:14:24,270
2026-02-23T13:24:22,270
2026-02-23T13:34:19,270
2026-02-23T13:44:15,315
2026-02-23T13:54:10,270
2026-02-23T14:04:05,315
2026-02-23T14:14:01,225
2026-02-23T14:23:56,135
2026-02-23T14:33:53,225
2026-02-23T14:43:52,315
2026-02-23T14:53:50,315
2026-02-23T15:13:44,270
