timestamp_local,value
2026-01-30T00:08:50,1.05
2026-01-30T00:18:47,3.69
2026-01-30T00:28:43,2.85
2026-01-30T00:38:39,1.32
2026-01-30T00:48:36,2.33
2026-01-30T00:58:32,2.07
2026-01-30T01:08:29,2.35
2026-01-30T01:18:25,2.57
2026-01-30T01:28:23,1.95
2026-01-30T01:38:19,0.83
2026-01-30T01:48:16,1.25
2026-01-30T01:58:13,1.99
2026-01-30T02:08:10,1.95
2026-01-30T02:18:06,1.37
2026-01-30T02:28:03,0.64
2026-01-30T02:37:59,1.62
2026-01-30T02:47:56,1.78
2026-01-30T02:57:53,0
2026-01-30T07:36:24,1.16
2026-01-30T08:56:01,0
2026-01-30T09:05:58,0.21
2026-01-30T09:15:55,1.37
2026-01-30T09:25:53,1.47
2026-01-30T09:35:49,1.28
2026-01-30T09:45:47,1.01
2026-01-30T09:55:44,2.95
2026-01-30T10:05:40,0.66
2026-01-30T10:15:39,0
2026-01-30T10:25:36,0
2026-01-30T10:35:33,2.04
2026-01-30T10:45:29,0.58
2026-01-30T10:55:26,1.79
2026-01-30T11:05:23,0.83
2026-01-30T11:15:20,2.86
2026-01-30T11:25:17,0.47
2026-01-30T11:35:15,2.69
2026-01-30T11:45:12,1.64
2026-01-30T11:55:09,1.56
2026-01-30T12:05:07,5.65
2026-01-30T12:15:01,3.64
2026-01-30T12:24:59,3.23
2026-01-30T12:34:58,1.61
2026-01-30T12:44:55,1.21
2026-01-30T12:54:51,2.33
2026-01-30T13:04:47,0.97
2026-01-30T13:14:44,2.72
2026-01-30T13:24:45,5.32
2026-01-30T13:34:37,0.62
2026-01-30T13:44:34,5.94
2026-01-30T13:54:31,3.95
2026-01-30T14:04:26,3.81
2026-01-30T14:14:23,5.87
2026-01-30T14:24:20,7.22
2026-01-30T14:34:18,3.4
2026-01-30T14:44:20,3.33
2026-01-30T14:54:10,11.87
2026-01-30T15:04:09,1.42
2026-01-30T15:14:05,5.64
2026-01-30T15:24:04,1.8
2026-01-30T15:33:57,6.74
2026-01-30T15:43:54,7.91
2026-01-30T15:53:49,0
2026-01-30T16:03:46,4.61
2026-01-30T16:13:41,6.84
2026-01-30T16:23:38,4.13
2026-01-30T16:33:34,2.99
2026-01-30T16:43:31,1.66
2026-01-30T16:53:28,1.9
2026-01-30T17:03:24,2.55
2026-01-30T17:13:20,3.04
