datetime,value
2026-02-23T10:45:09,0.81
2026-02-23T11:05:03,10.08
2026-02-23T11:15:04,0.97
2026-02-23T11:25:06,3.08
2026-02-23T11:44:53,2.52
2026-02-23T11:54:51,2.22
2026-02-23T12:04:47,6.58
2026-02-23T12:14:44,1.44
2026-02-23T12:24:41,0.73
2026-02-23T12:34:38,2.98
2026-02-23T12:44:34,2.69
2026-02-23T12:54:32,0.33
2026-02-23T13:04:28,1.9
2026-02-23T13:14:24,0.72
2026-02-23T13:24:22,1.42
2026-02-23T13:34:19,4.98
2026-02-23T13:44:15,3.37
2026-02-23T13:54:10,7.64
2026-02-23T14:04:05,6.23
2026-02-23T14:14:01,3.36
2026-02-23T14:23:56,5.42
2026-02-23T14:33:53,2.33
2026-02-23T14:43:52,5.08
2026-02-23T14:53:50,5.57
2026-02-23T15:13:44,10.15
