datetime,value
2026-01-30T00:00:33,75.23
2026-01-30T00:10:31,76.06
2026-01-30T00:20:27,76.54
2026-01-30T00:30:24,77.09
2026-01-30T00:40:21,77.54
2026-01-30T00:50:18,77.8
2026-01-30T01:00:15,78.22
2026-01-30T01:10:13,78.21
2026-01-30T01:20:10,78.53
2026-01-30T01:30:06,78.02
2026-01-30T01:40:03,79.42
2026-01-30T01:50:03,79.73
2026-01-30T01:59:57,79.69
2026-01-30T02:09:54,79.94
2026-01-30T02:19:51,80.62
2026-01-30T02:29:48,81.25
2026-01-30T02:39:45,81.28
2026-01-30T02:49:41,81.44
2026-01-30T02:59:39,81.53
2026-01-30T03:09:36,82.16
2026-01-30T03:19:33,81.96
2026-01-30T03:29:30,81.41
2026-01-30T03:39:27,82.95
2026-01-30T03:49:23,82.82
2026-01-30T03:59:20,82.75
2026-01-30T04:09:17,83.05
2026-01-30T04:19:15,83.11
2026-01-30T04:29:12,83.09
2026-01-30T04:39:09,83.5
2026-01-30T04:49:05,83.74
2026-01-30T04:59:02,83.82
2026-01-30T05:08:59,84.35
2026-01-30T05:18:56,83.86
2026-01-30T05:28:53,84.83
2026-01-30T05:38:50,84.84
2026-01-30T05:48:47,84.76
2026-01-30T05:58:44,85.19
2026-01-30T06:08:41,85.13
2026-01-30T06:18:38,84.95
2026-01-30T06:28:34,84.68
2026-01-30T06:38:31,84.73
2026-01-30T06:48:29,84.91
2026-01-30T06:58:26,85.13
2026-01-30T07:08:23,85.27
2026-01-30T07:18:20,85.46
2026-01-30T07:28:17,83.96
2026-01-30T07:38:15,83.16
2026-01-30T07:48:12,80.99
2026-01-30T07:58:10,79.14
2026-01-30T08:08:07,77.35
2026-01-30T08:18:05,76.26
2026-01-30T08:28:03,74.5
2026-01-30T08:38:00,73.7
2026-01-30T08:47:58,73.28
2026-01-30T08:57:55,71.26
2026-01-30T09:07:53,69.81
2026-01-30T09:17:50,67.96
2026-01-30T09:27:48,67.19
2026-01-30T09:37:45,67.79
2026-01-30T09:47:43,65.68
2026-01-30T09:57:42,62.79
2026-01-30T10:07:41,59.19
2026-01-30T10:17:37,56.62
2026-01-30T10:27:36,53.57
2026-01-30T10:37:32,52.42
2026-01-30T10:47:30,49.59
2026-01-30T10:57:28,49.41
2026-01-30T11:07:25,48.95
2026-01-30T11:17:23,47.18
2026-01-30T11:27:21,44.76
2026-01-30T11:37:17,42.81
2026-01-30T11:47:15,41.31
2026-01-30T11:57:12,40.88
2026-01-30T12:07:10,39.2
2026-01-30T12:17:08,36.27
2026-01-30T12:27:06,34.93
2026-01-30T12:37:04,34.63
2026-01-30T12:47:02,33.01
2026-01-30T12:57:00,31.55
2026-01-30T13:06:57,32.02
2026-01-30T13:16:54,33.27
2026-01-30T13:26:51,30.65
2026-01-30T13:36:49,29.84
2026-01-30T13:46:46,31.73
2026-01-30T13:56:43,29.92
2026-01-30T14:06:40,30.59
2026-01-30T14:16:31,35.99
2026-01-30T14:26:23,38.36
2026-01-30T14:36:19,39.49
2026-01-30T14:46:15,39.54
2026-01-30T14:56:11,39.5
2026-01-30T15:06:08,39.2
2026-01-30T15:16:05,40.45
2026-01-30T15:26:02,40.1
2026-01-30T15:35:59,40.62
2026-01-30T15:45:55,40.02
2026-01-30T15:55:52,40.25
2026-01-30T16:05:49,40.14
2026-01-30T16:15:46,39.44
2026-01-30T16:25:43,39.93
2026-01-30T16:35:40,42.21
2026-01-30T16:45:37,41.4
2026-01-30T16:55:33,45.04
2026-01-30T17:05:31,47.32
2026-01-30T17:15:27,46.43
2026-01-30T17:25:23,49.39
2026-01-30T17:35:20,51.1
2026-01-30T17:45:17,53.4
2026-01-30T17:55:13,54.21
2026-01-30T18:05:10,55.58
