datetime,value
2026-01-30T00:00:34,13
2026-01-30T00:10:31,16
2026-01-30T00:20:27,16
2026-01-30T00:30:24,24
2026-01-30T00:40:21,15
2026-01-30T00:50:19,19
2026-01-30T01:00:16,22
2026-01-30T01:10:13,18
2026-01-30T01:20:10,9
2026-01-30T01:30:07,21
2026-01-30T01:40:04,27
2026-01-30T01:50:03,23
2026-01-30T01:59:58,18
2026-01-30T02:09:55,20
2026-01-30T02:19:51,21
2026-01-30T02:29:48,15
2026-01-30T02:39:45,14
2026-01-30T02:49:42,14
2026-01-30T02:59:39,21
2026-01-30T03:09:36,14
2026-01-30T03:19:33,21
2026-01-30T03:29:30,20
2026-01-30T03:39:27,15
2026-01-30T03:49:24,18
2026-01-30T03:59:21,18
2026-01-30T04:09:18,27
2026-01-30T04:19:15,21
2026-01-30T04:29:12,30
2026-01-30T04:39:09,16
2026-01-30T04:49:06,28
2026-01-30T04:59:03,21
2026-01-30T05:09:00,22
2026-01-30T05:18:56,24
2026-01-30T05:28:53,32
2026-01-30T05:38:51,27
2026-01-30T05:48:48,38
2026-01-30T05:58:45,20
2026-01-30T06:08:42,25
2026-01-30T06:18:38,15
2026-01-30T06:28:35,36
2026-01-30T06:38:32,31
2026-01-30T06:48:29,39
2026-01-30T06:58:26,33
2026-01-30T07:08:23,21
2026-01-30T07:18:20,24
2026-01-30T07:28:17,14
2026-01-30T07:38:15,30
2026-01-30T07:48:12,22
2026-01-30T07:58:10,21
2026-01-30T08:08:08,29
2026-01-30T08:18:06,21
2026-01-30T08:28:03,23
2026-01-30T08:38:00,19
2026-01-30T08:47:58,18
2026-01-30T08:57:55,20
2026-01-30T09:07:53,19
2026-01-30T09:17:51,28
2026-01-30T09:27:48,19
2026-01-30T09:37:46,20
2026-01-30T09:47:43,32
2026-01-30T09:57:42,30
2026-01-30T10:07:41,20
2026-01-30T10:17:38,16
2026-01-30T10:27:36,24
2026-01-30T10:37:33,20
2026-01-30T10:47:31,18
2026-01-30T10:57:28,16
2026-01-30T11:07:25,21
2026-01-30T11:17:23,21
2026-01-30T11:27:21,20
2026-01-30T11:37:18,31
2026-01-30T11:47:16,34
2026-01-30T11:57:13,23
2026-01-30T12:07:10,32
2026-01-30T12:17:09,27
2026-01-30T12:27:07,23
2026-01-30T12:37:04,20
2026-01-30T12:47:02,30
2026-01-30T12:57:00,18
2026-01-30T13:06:57,21
2026-01-30T13:16:54,28
2026-01-30T13:26:52,23
2026-01-30T13:36:50,20
2026-01-30T13:46:46,28
2026-01-30T13:56:43,23
2026-01-30T14:06:40,21
2026-01-30T14:16:31,20
2026-01-30T14:26:23,23
2026-01-30T14:36:19,24
2026-01-30T14:46:15,15
2026-01-30T14:56:12,24
2026-01-30T15:06:08,21
2026-01-30T15:16:05,27
2026-01-30T15:26:02,20
2026-01-30T15:35:59,27
2026-01-30T15:45:56,21
2026-01-30T15:55:53,20
2026-01-30T16:05:50,21
2026-01-30T16:15:46,23
2026-01-30T16:25:43,18
2026-01-30T16:35:40,16
2026-01-30T16:45:37,25
2026-01-30T16:55:34,20
2026-01-30T17:05:31,24
2026-01-30T17:15:27,23
2026-01-30T17:25:24,27
2026-01-30T17:35:21,25
2026-01-30T17:45:17,31
2026-01-30T17:55:14,30
2026-01-30T18:05:10,23
2026-01-30T18:15:07,30
2026-01-30T18:25:04,30
2026-01-30T18:35:01,27
