datetime,value
2026-02-23T00:06:43,42
2026-02-23T00:16:39,42
2026-02-23T00:26:36,39
2026-02-23T00:36:34,41
2026-02-23T00:46:31,33
2026-02-23T00:56:28,40
2026-02-23T01:06:25,42
2026-02-23T01:16:22,36
2026-02-23T01:26:19,42
2026-02-23T01:36:16,44
2026-02-23T01:46:13,41
2026-02-23T01:56:10,40
2026-02-23T02:06:07,36
2026-02-23T02:16:04,41
2026-02-23T02:26:01,42
2026-02-23T02:35:58,42
2026-02-23T02:45:55,40
2026-02-23T02:55:52,38
2026-02-23T03:05:49,38
2026-02-23T03:15:46,41
2026-02-23T03:25:43,44
2026-02-23T03:35:40,46
2026-02-23T03:45:36,45
2026-02-23T03:55:33,41
2026-02-23T04:05:30,40
2026-02-23T04:15:27,41
2026-02-23T04:25:25,37
2026-02-23T04:35:22,45
2026-02-23T04:45:19,43
2026-02-23T04:55:16,40
2026-02-23T05:05:13,39
2026-02-23T05:15:10,40
2026-02-23T05:25:06,35
2026-02-23T05:35:04,37
2026-02-23T05:45:01,38
2026-02-23T05:54:58,38
2026-02-23T06:04:55,45
2026-02-23T06:14:52,42
2026-02-23T06:24:49,39
2026-02-23T06:34:46,43
2026-02-23T06:44:43,43
2026-02-23T06:54:40,43
2026-02-23T07:04:37,41
2026-02-23T07:14:35,42
2026-02-23T07:24:32,42
2026-02-23T07:34:29,41
2026-02-23T07:44:26,37
2026-02-23T07:54:24,37
2026-02-23T08:04:22,40
2026-02-23T08:14:19,35
2026-02-23T08:24:16,35
2026-02-23T08:34:14,35
2026-02-23T08:44:11,38
2026-02-23T08:54:08,35
2026-02-23T09:04:06,43
2026-02-23T09:14:02,49
2026-02-23T09:24:00,50
2026-02-23T09:33:57,44
2026-02-23T09:53:53,42
2026-02-23T10:03:50,45
2026-02-23T10:13:47,41
2026-02-23T10:23:44,39
2026-02-23T10:33:41,36
2026-02-23T10:43:38,36
2026-02-23T10:53:35,39
2026-02-23T11:03:33,40
2026-02-23T11:13:33,34
2026-02-23T11:23:28,38
2026-02-23T11:33:25,37
2026-02-23T11:43:22,41
2026-02-23T11:53:19,40
2026-02-23T12:03:16,37
2026-02-23T12:13:13,36
2026-02-23T12:23:10,32
2026-02-23T12:33:08,37
2026-02-23T12:43:06,35
2026-02-23T12:53:03,37
2026-02-23T13:03:01,32
2026-02-23T13:12:58,37
2026-02-23T13:22:55,37
2026-02-23T13:32:52,31
2026-02-23T13:42:49,30
2026-02-23T13:52:47,32
2026-02-23T14:02:44,29
2026-02-23T14:12:41,29
2026-02-23T14:22:37,25
2026-02-23T14:32:34,30
2026-02-23T14:42:31,21
2026-02-23T14:52:28,24
2026-02-23T15:02:25,30
2026-02-23T15:12:22,20
2026-02-23T15:22:19,28
