timestamp_local,781C3CA635F4_temp_value
2026-01-30T00:00:33,20.65
2026-01-30T00:10:31,20.54
2026-01-30T00:20:27,20.35
2026-01-30T00:30:24,20.07
2026-01-30T00:40:21,20.1
2026-01-30T00:50:18,19.9
2026-01-30T01:00:15,19.69
2026-01-30T01:10:13,19.75
2026-01-30T01:20:09,19.69
2026-01-30T01:30:06,19.78
2026-01-30T01:40:03,19.27
2026-01-30T01:50:00,19.24
2026-01-30T01:59:57,19.27
2026-01-30T02:09:54,18.96
2026-01-30T02:19:51,18.76
2026-01-30T02:29:48,18.55
2026-01-30T02:39:45,18.47
2026-01-30T02:49:41,18.48
2026-01-30T02:59:39,18.55
2026-01-30T03:09:36,18.38
2026-01-30T03:19:33,18.52
2026-01-30T03:29:30,18.42
2026-01-30T03:39:27,18.11
2026-01-30T03:49:23,18.2
2026-01-30T03:59:20,18.04
2026-01-30T04:09:17,18.08
2026-01-30T04:19:15,18.31
2026-01-30T04:29:12,17.96
2026-01-30T04:39:08,17.77
2026-01-30T04:49:05,17.76
2026-01-30T04:59:02,17.62
2026-01-30T05:08:59,17.59
2026-01-30T05:18:56,17.49
2026-01-30T05:28:53,17.43
2026-01-30T05:38:50,17.53
2026-01-30T05:48:47,17.58
2026-01-30T05:58:44,17.64
2026-01-30T06:08:41,17.58
2026-01-30T06:18:38,17.61
2026-01-30T06:28:34,17.52
2026-01-30T06:38:31,17.39
2026-01-30T06:48:29,17.25
2026-01-30T06:58:26,17.28
2026-01-30T07:08:23,17.31
2026-01-30T07:18:20,17.46
2026-01-30T07:28:17,17.85
2026-01-30T07:38:15,18.15
2026-01-30T07:48:12,18.62
2026-01-30T07:58:10,19.14
2026-01-30T08:08:07,19.64
2026-01-30T08:18:05,20.45
2026-01-30T08:28:03,20.78
2026-01-30T08:38:00,20.99
2026-01-30T08:47:58,21.22
2026-01-30T08:57:55,21.69
2026-01-30T09:07:53,22.32
2026-01-30T09:17:50,22.76
2026-01-30T09:27:48,23.49
2026-01-30T09:37:45,24.07
2026-01-30T09:47:43,25.21
2026-01-30T09:57:42,26.59
2026-01-30T10:07:41,27.76
2026-01-30T10:17:37,28.34
2026-01-30T10:27:36,29.66
2026-01-30T10:37:32,29.9
2026-01-30T10:47:30,30.87
2026-01-30T10:57:28,30.97
2026-01-30T11:07:25,31.26
2026-01-30T11:17:22,32.34
2026-01-30T11:27:21,33.43
2026-01-30T11:37:17,34.53
2026-01-30T11:47:15,35.28
2026-01-30T11:57:12,35.38
2026-01-30T12:07:10,35.77
2026-01-30T12:17:08,36.85
2026-01-30T12:27:06,37.53
2026-01-30T12:37:04,37.69
2026-01-30T12:47:02,38.08
2026-01-30T12:57:00,39.65
2026-01-30T13:06:57,39.47
2026-01-30T13:16:54,38.78
2026-01-30T13:26:51,40.97
2026-01-30T13:36:49,41.51
2026-01-30T13:46:46,40.11
2026-01-30T13:56:43,41.57
2026-01-30T14:06:40,40.22
2026-01-30T14:16:31,36.65
2026-01-30T14:26:23,34.28
2026-01-30T14:36:19,33.33
2026-01-30T14:46:15,33.26
2026-01-30T14:56:11,33.13
2026-01-30T15:06:08,33.18
2026-01-30T15:16:05,33.11
2026-01-30T15:26:02,32.95
2026-01-30T15:35:59,32.79
2026-01-30T15:45:55,32.7
2026-01-30T15:55:52,32.7
2026-01-30T16:05:49,32.74
2026-01-30T16:15:46,32.77
2026-01-30T16:25:42,32.56
2026-01-30T16:35:40,32.56
2026-01-30T16:45:37,32.33
2026-01-30T16:55:33,32
2026-01-30T17:05:31,31.58
2026-01-30T17:15:27,30.97
2026-01-30T17:25:23,30.41
2026-01-30T17:35:20,29.64
