datetime,value
2026-02-23T00:06:43,22.67
2026-02-23T00:16:39,22.65
2026-02-23T00:26:36,22.65
2026-02-23T00:36:33,22.62
2026-02-23T00:46:31,22.6
2026-02-23T00:56:27,22.53
2026-02-23T01:06:24,22.46
2026-02-23T01:16:22,22.44
2026-02-23T01:26:18,22.37
2026-02-23T01:36:16,22.27
2026-02-23T01:46:12,22.27
2026-02-23T01:56:10,22.29
2026-02-23T02:06:07,22.2
2026-02-23T02:16:04,22.12
2026-02-23T02:26:01,22.07
2026-02-23T02:35:58,22.02
2026-02-23T02:45:55,22
2026-02-23T02:55:52,22.03
2026-02-23T03:05:48,22.07
2026-02-23T03:15:46,22.05
2026-02-23T03:25:43,21.89
2026-02-23T03:35:40,21.98
2026-02-23T03:45:36,21.87
2026-02-23T03:55:33,21.74
2026-02-23T04:05:30,21.68
2026-02-23T04:15:27,21.64
2026-02-23T04:25:24,21.66
2026-02-23T04:35:21,21.72
2026-02-23T04:45:19,21.58
2026-02-23T04:55:16,21.61
2026-02-23T05:05:12,21.66
2026-02-23T05:15:09,21.72
2026-02-23T05:25:06,21.64
2026-02-23T05:35:03,21.57
2026-02-23T05:45:00,21.48
2026-02-23T05:54:57,21.41
2026-02-23T06:04:55,21.31
2026-02-23T06:14:52,21.26
2026-02-23T06:24:48,21.23
2026-02-23T06:34:45,21.34
2026-02-23T06:44:43,21.26
2026-02-23T06:54:40,21.2
2026-02-23T07:04:37,21.24
2026-02-23T07:14:34,21.53
2026-02-23T07:24:32,21.74
2026-02-23T07:34:29,22.05
2026-02-23T07:44:26,22.42
2026-02-23T07:54:24,22.74
2026-02-23T08:04:21,23.06
2026-02-23T08:14:18,23.27
2026-02-23T08:24:16,23.65
2026-02-23T08:34:14,24.27
2026-02-23T08:44:10,24.56
2026-02-23T08:54:08,24.81
2026-02-23T09:04:05,25.07
2026-02-23T09:14:02,25.35
2026-02-23T09:24:00,25.74
2026-02-23T09:33:57,26.18
2026-02-23T09:53:53,28.05
2026-02-23T10:03:49,27.82
2026-02-23T10:13:47,28.42
2026-02-23T10:23:43,28.48
2026-02-23T10:33:41,28.67
2026-02-23T10:43:38,29.04
2026-02-23T10:53:35,29.32
2026-02-23T11:03:32,29.68
2026-02-23T11:13:32,32.2
2026-02-23T11:23:28,31.21
2026-02-23T11:33:24,31.16
2026-02-23T11:43:22,31.76
2026-02-23T11:53:19,32.23
2026-02-23T12:03:16,32.09
2026-02-23T12:13:12,32.7
2026-02-23T12:23:10,33.18
2026-02-23T12:33:08,33.98
2026-02-23T12:43:06,34.95
2026-02-23T12:53:03,35.97
2026-02-23T13:03:01,36.26
2026-02-23T13:12:57,36.18
2026-02-23T13:22:54,36.17
2026-02-23T13:32:52,36.81
2026-02-23T13:42:49,37.82
2026-02-23T13:52:47,37.81
2026-02-23T14:02:43,37.64
2026-02-23T14:12:40,37.82
2026-02-23T14:22:37,37.49
2026-02-23T14:32:34,37.33
2026-02-23T14:42:31,36.87
2026-02-23T14:52:28,36.68
2026-02-23T15:02:25,36.44
2026-02-23T15:12:21,36.41
2026-02-23T15:22:18,36.18
