timestamp_local,781C3CA635F4_wind_direct_value
2026-01-30T00:00:33,45
2026-01-30T00:10:31,90
2026-01-30T00:20:27,90
2026-01-30T00:30:24,247.5
2026-01-30T00:40:21,270
2026-01-30T00:50:18,270
2026-01-30T01:00:15,270
2026-01-30T01:10:13,180
2026-01-30T01:20:10,270
2026-01-30T01:30:07,270
2026-01-30T01:40:04,270
2026-01-30T01:50:03,270
2026-01-30T01:59:57,270
2026-01-30T02:09:54,270
2026-01-30T02:19:51,270
2026-01-30T02:29:48,270
2026-01-30T02:39:45,270
2026-01-30T02:49:42,270
2026-01-30T02:59:39,270
2026-01-30T03:09:36,270
2026-01-30T03:19:33,90
2026-01-30T03:29:30,270
2026-01-30T03:39:27,270
2026-01-30T03:49:24,270
2026-01-30T03:59:20,270
2026-01-30T04:09:17,315
2026-01-30T04:19:15,135
2026-01-30T04:29:12,270
2026-01-30T04:39:09,270
2026-01-30T04:49:06,270
2026-01-30T04:59:02,270
2026-01-30T05:08:59,270
2026-01-30T05:18:56,270
2026-01-30T05:28:53,270
2026-01-30T05:38:51,270
2026-01-30T05:48:48,270
2026-01-30T05:58:44,270
2026-01-30T06:08:41,270
2026-01-30T06:18:38,135
2026-01-30T06:28:35,135
2026-01-30T06:38:32,225
2026-01-30T06:48:29,270
2026-01-30T06:58:26,270
2026-01-30T07:08:23,270
2026-01-30T07:18:20,270
2026-01-30T07:28:17,135
2026-01-30T07:38:15,135
2026-01-30T07:48:12,90
2026-01-30T07:58:10,90
2026-01-30T08:08:08,45
2026-01-30T08:18:05,270
2026-01-30T08:28:03,45
2026-01-30T08:38:00,90
2026-01-30T08:47:58,90
2026-01-30T08:57:55,135
2026-01-30T09:07:53,135
2026-01-30T09:17:50,45
2026-01-30T09:27:48,135
2026-01-30T09:37:45,135
2026-01-30T09:47:43,135
2026-01-30T09:57:42,270
2026-01-30T10:07:41,135
2026-01-30T10:17:38,135
2026-01-30T10:27:36,135
2026-01-30T10:37:32,90
2026-01-30T10:47:30,90
2026-01-30T10:57:28,135
2026-01-30T11:07:25,135
2026-01-30T11:17:23,135
2026-01-30T11:27:21,90
2026-01-30T11:37:17,45
2026-01-30T11:47:16,45
2026-01-30T11:57:13,90
2026-01-30T12:07:10,45
2026-01-30T12:17:09,90
2026-01-30T12:27:06,135
2026-01-30T12:37:04,112.5
2026-01-30T12:47:02,135
2026-01-30T12:57:00,135
2026-01-30T13:06:57,135
2026-01-30T13:16:54,180
2026-01-30T13:26:51,270
2026-01-30T13:36:49,135
2026-01-30T13:46:46,135
2026-01-30T13:56:43,90
2026-01-30T14:06:40,135
2026-01-30T14:16:31,135
2026-01-30T14:26:23,0
2026-01-30T14:36:19,90
2026-01-30T14:46:15,135
2026-01-30T14:56:12,90
2026-01-30T15:06:08,270
2026-01-30T15:16:05,135
2026-01-30T15:26:02,135
2026-01-30T15:35:59,90
2026-01-30T15:45:56,135
2026-01-30T15:55:52,135
2026-01-30T16:05:49,90
2026-01-30T16:15:46,0
2026-01-30T16:25:43,90
2026-01-30T16:35:40,135
2026-01-30T16:45:37,135
2026-01-30T16:55:33,180
2026-01-30T17:05:31,270
2026-01-30T17:15:27,270
2026-01-30T17:25:24,270
2026-01-30T17:35:21,270
